id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
1630,2009.0,Javier Margas,Javier,Margas,1969-05-10,Chile,Chile,,D,Defender,8,18.0,3.0,7.0,1.0,1.0,4.0,1.0,7.0,1.0,
1596,279027.0,Silvio Maric,Silvio,Maric,1975-03-20,Croatia,Croatia,23.0,M,Midfielder,8,13.0,0.0,4.0,,,5.0,,4.0,,
1728,2161.0,Carlos Marinelli,Carlos,Marinelli,1982-03-14,Argentina,Argentina,,M,Midfielder,8,2.0,0.0,1.0,,,1.0,,,,
393,95660.0,Andy Marriott,Andy,Marriott,1970-10-11,England,Wales,28.0,G,Goalkeeper,8,1.0,0.0,,,,1.0,,,,
812,1994.0,Chris Marsden,Chris,Marsden,1969-01-03,England,England,,M,Midfielder,8,21.0,6.0,3.0,,1.0,9.0,,9.0,6.0,
426,2782.0,Ian Marshall,Ian,Marshall,1966-03-20,England,England,,D,Defender,8,21.0,0.0,3.0,,,10.0,,8.0,1.0,
146,3209.0,Nigel Martyn,Nigel,Martyn,1966-08-11,England,England,25.0,G,Goalkeeper,8,38.0,13.0,6.0,,,11.0,,21.0,2.0,
259,5078.0,Dominic Matteo,Dominic,Matteo,1974-04-28,Scotland,Scotland,,D,Defender,8,32.0,12.0,8.0,,6.0,8.0,,16.0,2.0,
1411,2414.0,Matthew Jones,Matthew,Jones,1980-09-01,Wales,Wales,17.0,M,Midfielder,8,11.0,3.0,1.0,,2.0,3.0,,7.0,2.0,
1414,1679.0,Lee Matthews,Lee,Matthews,1979-01-16,England,England,,F,Forward,8,,,,,,,,,,
67,1004.0,David May,David,May,1970-06-24,England,England,,D,Defender,8,1.0,0.0,,,,,,1.0,,
1046,30368.0,Alan Maybury,Alan,Maybury,1978-08-08,Ireland,Ireland,2.0,D,Defender,8,,,,,,,,,,
238,2428.0,Gary McAllister,Gary,McAllister,1964-12-25,Scotland,Scotland,,M,Midfielder,8,38.0,7.0,8.0,11.0,4.0,18.0,,12.0,2.0,
1670,2078.0,Stuart McCall,Stuart,McCall,1964-06-10,Scotland,Scotland,,M,Midfielder,8,34.0,6.0,8.0,1.0,2.0,18.0,,8.0,6.0,
75291,182719.0,Tim McCann,Tim,McCann,1980-03-22,Northern Ireland,Northern Ireland,45.0,D,Defender,8,,,,,,,,,,
1756,4415.0,George McCartney,George,McCartney,1981-04-29,Northern Ireland,Northern Ireland,3.0,D,Defender,8,,,,,,,,,,
1438,1714.0,Jamie McClen,Jamie,McClen,1979-05-13,England,England,,M,Midfielder,8,9.0,0.0,2.0,,,3.0,,4.0,2.0,
1776,2225.0,Dave McEwen,Dave,McEwen,1977-11-02,England,England,,F,Forward,8,1.0,0.0,1.0,,,,,,,
1653,2047.0,Brian McGovern,Brian,McGovern,1980-04-28,Ireland,Ireland,,D,Defender,8,1.0,0.0,,,,1.0,,,,
1662,9788.0,John McGrath,John,McGrath,1980-03-27,Ireland,Ireland,17.0,M,Midfielder,8,,,,,,,,,,
1448,1731.0,Mark McKeever,Mark,McKeever,1978-11-16,Northern Ireland,Ireland,,M,Midfielder,8,2.0,0.0,1.0,,,,,1.0,,
1407,112547.0,Stephen McPhail,Stephen,McPhail,1979-12-09,Ireland,Ireland,37.0,M,Midfielder,8,24.0,6.0,5.0,2.0,4.0,7.0,,12.0,,
75288,182621.0,Gary McPhee,Gary,McPhee,1980-04-18,Scotland,Scotland,30.0,F,Forward,8,,,,,,,,,,
1542,117130.0,Gary McSheffrey,Gary,McSheffrey,1982-08-13,England,England,10.0,F,Left Winger,8,3.0,0.0,1.0,,,1.0,,1.0,,
1278,98252.0,Paul McVeigh,Paul,McVeigh,1977-12-06,Northern Ireland,Northern Ireland,,F,Forward,8,,,,,,,,,,
1712,2144.0,Erik Meijer,Erik,Meijer,1969-08-02,Netherlands,Netherlands,,F,Forward,8,21.0,2.0,8.0,,1.0,4.0,,9.0,2.0,
