id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,formation_place,accurate_back_zone_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_miss,att_freekick_total,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obxd_left,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,draws,duel_lost,duel_won,effective_clearance,final_third_entries,fouled_final_third,fouls,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_openplay,goal_fastbreak,hand_ball,head_pass,interception,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,shot_fastbreak,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,total_att_assist,total_back_zone_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_fwd_zone_pass,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,freekick_cross,goal_assist_deadball,goal_assist_setplay,interceptions_in_box,total_corners_intobox,attempts_ibox,attempts_obox,att_cmiss_high_right,att_corner,att_goal_high_left,att_ibox_post,att_lg_left,att_obx_left,att_pen_goal,att_pen_target,att_post_right,hit_woodwork,penalty_won,post_scoring_att,touches_in_opp_box,accurate_freekick_cross,accurate_goal_kicks,clearance_off_line,goal_kicks,att_goal_high_centre,att_lg_centre,penalty_conceded,att_cmiss_high_left,att_hd_post,att_post_high,dangerous_play,own_goals,red_card,total_chipped_pass,att_post_left,att_freekick_target,att_obox_post,second_yellow,att_obx_right,accurate_keeper_throws,ball_recovery,dive_catch,dive_save,good_high_claim,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,att_lg_right,last_man_tackle,att_obxd_right,att_freekick_goal,att_pen_post,back_pass,att_pen_miss,unsuccessful_touch,leftside_pass,att_obp_goal,fwd_pass,att_freekick_post,rescinded_red_card,accurate_chipped_pass,rightside_pass
2116,141689.0,Juan Sebastián Verón,Juan Sebastián,Verón,1975-03-09,Argentina,Argentina,11.0,M,Centre Central Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,173740.0,Bjarni Vidarsson,Bjarni,Vidarsson,1988-03-05,Iceland,Iceland,26.0,M,Midfielder,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2935,17798.0,Nemanja Vidic,Nemanja,Vidic,1981-10-21,Yugoslavia,Serbia,15.0,D,Centre Central Defender,15,148.0,640.0,,,192.0,87.0,832.0,10.0,15.0,47.0,25.0,98.0,137.0,4.0,,15.0,,1.0,1.0,2.0,,,,,,1.0,,1.0,3.0,9.0,2.0,14.0,3.0,3.0,9.0,3.0,,,,4.0,,1.0,4.0,1.0,1.0,,1.0,1.0,,2.0,7.0,,2.0,5.0,,,1.0,1.0,1.0,,1.0,4.0,13.0,10.0,,,,3.0,63.0,137.0,166.0,93.0,2.0,35.0,25.0,3.0,15.0,11.0,4.0,,,,,,11.0,11.0,11.0,238.0,132.0,2.0,34.0,2142.0,1.0,3.0,7.0,60.0,8.0,95.0,32.0,8.0,3.0,303.0,239.0,,10.0,1.0,41.0,45.0,4.0,748.0,230.0,,,,,101.0,321.0,140.0,,1069.0,21.0,3.0,,39.0,11.0,1402.0,10.0,51.0,20.0,,3.0,33.0,7.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,4712.0,Mark Viduka,Mark,Viduka,1975-10-09,Australia,Australia,36.0,F,Forward,15,209.0,131.0,1.0,1.0,348.0,34.0,478.0,1.0,39.0,34.0,29.0,141.0,161.0,33.0,1.0,22.0,5.0,7.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,6.0,2.0,10.0,1.0,13.0,4.0,13.0,15.0,9.0,3.0,1.0,9.0,8.0,3.0,3.0,6.0,5.0,3.0,1.0,10.0,3.0,1.0,16.0,49.0,9.0,10.0,36.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,7.0,81.0,1.0,1.0,4.0,3.0,6.0,176.0,97.0,9.0,100.0,19.0,28.0,22.0,14.0,32.0,23.0,9.0,12.0,3.0,3.0,1.0,2.0,10.0,1.0,1.0,34.0,21.0,12.0,4.0,2082.0,11.0,26.0,26.0,45.0,2.0,73.0,89.0,53.0,3.0,248.0,243.0,3.0,25.0,1.0,184.0,34.0,37.0,154.0,14.0,44.0,7.0,7.0,3.0,320.0,531.0,40.0,18.0,678.0,58.0,9.0,7.0,17.0,2.0,936.0,87.0,32.0,11.0,14.0,19.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,125080.0,Moritz Volz,Moritz,Volz,1983-01-21,Germany,Germany,2.0,D,Left/Right Full Back,15,110.0,164.0,6.0,6.0,228.0,22.0,386.0,66.0,9.0,10.0,29.0,216.0,138.0,9.0,,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,2.0,2.0,3.0,,,5.0,2.0,1.0,,2.0,1.0,4.0,,4.0,1.0,,9.0,14.0,2.0,4.0,11.0,1.0,,,,1.0,,3.0,4.0,77.0,3.0,,30.0,9.0,11.0,137.0,157.0,53.0,138.0,13.0,28.0,24.0,2.0,42.0,36.0,6.0,1.0,1.0,1.0,,,9.0,18.0,18.0,115.0,52.0,12.0,15.0,2029.0,3.0,7.0,6.0,59.0,6.0,45.0,155.0,38.0,4.0,284.0,269.0,1.0,6.0,,117.0,37.0,10.0,210.0,68.0,34.0,41.0,41.0,1.0,226.0,416.0,55.0,1.0,585.0,16.0,10.0,5.0,89.0,76.0,999.0,54.0,47.0,6.0,11.0,9.0,71.0,3.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,277556.0,Theo Walcott,Theo,Walcott,1989-03-16,England,England,32.0,F,Right Winger,15,37.0,33.0,9.0,9.0,127.0,6.0,151.0,5.0,1.0,,16.0,40.0,34.0,9.0,1.0,3.0,2.0,2.0,,,,1.0,,,,,,,,,,,3.0,,2.0,2.0,,1.0,2.0,,,3.0,,3.0,2.0,,4.0,1.0,,7.0,14.0,,2.0,12.0,,,,,,3.0,,5.0,24.0,,7.0,31.0,10.0,4.0,52.0,41.0,3.0,18.0,6.0,3.0,5.0,,7.0,5.0,2.0,,3.0,3.0,,1.0,,3.0,3.0,12.0,10.0,4.0,,640.0,6.0,7.0,3.0,,,14.0,56.0,16.0,,103.0,102.0,1.0,6.0,,86.0,,13.0,41.0,4.0,46.0,43.0,41.0,1.0,112.0,194.0,10.0,3.0,192.0,14.0,4.0,11.0,9.0,5.0,340.0,21.0,11.0,8.0,21.0,14.0,8.0,,1.0,,,,,6.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,3823.0,Ian Walker,Ian,Walker,1971-10-31,England,England,12.0,G,Goalkeeper,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269,261317.0,Simon Walton,Simon,Walton,1987-09-13,England,England,4.0,M,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,16179.0,Tony Warner,Tony,Warner,1974-05-11,England,Trinidad & Tobago,34.0,G,Goalkeeper,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279,93980.0,Stephen Warnock,Stephen,Warnock,1981-12-12,England,England,15.0,D,Left Full Back,15,42.0,171.0,3.0,3.0,193.0,52.0,361.0,66.0,4.0,4.0,14.0,106.0,88.0,13.0,,2.0,,,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,,3.0,1.0,,,,2.0,,,3.0,,1.0,2.0,5.0,,,2.0,,,,,,,,1.0,26.0,2.0,,12.0,5.0,3.0,46.0,79.0,33.0,157.0,2.0,13.0,14.0,1.0,21.0,18.0,3.0,1.0,2.0,2.0,1.0,,,16.0,16.0,157.0,77.0,5.0,10.0,1222.0,9.0,6.0,1.0,,5.0,124.0,14.0,18.0,1.0,204.0,194.0,2.0,3.0,,102.0,,15.0,214.0,43.0,16.0,18.0,18.0,2.0,166.0,305.0,97.0,,501.0,5.0,1.0,,43.0,99.0,763.0,14.0,19.0,6.0,13.0,4.0,33.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
