id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_right,att_goal_high_centre,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_ibox_goal,att_ibox_miss,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_pen_goal,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_low_centre,att_sv_low_right,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,final_third_entries,formation_place,fouls,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_openplay,goal_kicks,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_through_ball,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,att_hd_miss,att_hd_total,total_sub_on,att_freekick_miss,att_freekick_total,att_ibox_blocked,att_ibox_target,att_sv_low_left,dangerous_play,fouled_final_third,total_offside,att_bx_centre,att_lf_goal,foul_throw_in,last_man_tackle,own_goals,shield_ball_oop,six_yard_block,att_hd_target,att_bx_left,att_fastbreak,att_goal_high_left,att_hd_goal,att_miss_high_left,goal_assist_intentional,goal_fastbreak,shot_fastbreak,total_pull_back,accurate_goal_kicks,accurate_pull_back,att_lg_centre,clearance_off_line,penalty_conceded,red_card,second_yellow,att_freekick_target,att_hd_post,att_ibox_post,att_post_high,goal_assist_deadball,goal_assist_setplay,hit_woodwork,post_scoring_att,accurate_freekick_cross,att_post_left,error_lead_to_shot,freekick_cross,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,total_high_claim,total_keeper_sweeper,att_sv_high_right,att_cmiss_right,att_cmiss_left,penalty_won,total_fastbreak,att_freekick_goal,attempts_obox,head_pass,open_play_pass,successful_open_play_pass,goals_openplay,attempts_ibox,att_obx_left,touches_in_opp_box,att_obox_post,att_obp_goal,att_post_right,penalty_save,stand_save,att_cmiss_high,att_cmiss_high_right,att_pen_target,att_obxd_left,att_obxd_right,back_pass,att_obx_right,att_freekick_post,fwd_pass,att_cmiss_high_left,att_lg_left,leftside_pass,att_pen_miss,att_pen_post
2239,11596.0,Joseph Yobo,Joseph,Yobo,1980-09-06,Nigeria,Nigeria,26.0,D,Centre/Right Central Defender,18,161.0,33.0,,,,,87.0,17.0,1.0,51.0,248.0,1.0,,6.0,36.0,17.0,102.0,91.0,,,,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,43.0,4.0,2.0,4.0,3.0,,,1.0,3.0,5.0,24.0,84.0,4.0,89.0,46.0,1.0,91.0,125.0,11.0,14.0,1.0,22.0,15.0,7.0,,,,,95.0,34.0,6.0,34.0,143.0,68.0,6.0,12.0,1184.0,7.0,,,2.0,11.0,38.0,26.0,17.0,,202.0,122.0,,30.0,13.0,1.0,31.0,,182.0,65.0,169.0,4.0,,1.0,1.0,95.0,,180.0,63.0,1.0,113.0,361.0,5.0,2.0,35.0,1.0,,675.0,9.0,9.0,6.0,4.0,,19.0,2.0,,,3.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,6078.0,Luke Young,Luke,Young,1979-07-19,England,England,21.0,D,Left/Right Full Back,18,182.0,23.0,,7.0,7.0,1.0,175.0,10.0,,19.0,350.0,,131.0,20.0,18.0,16.0,134.0,118.0,6.0,,,,,,,,,1.0,1.0,2.0,,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,,53.0,7.0,1.0,14.0,7.0,,12.0,7.0,8.0,5.0,61.0,76.0,7.0,35.0,17.0,,137.0,0.0,19.0,14.0,,15.0,14.0,1.0,,,,1.0,33.0,31.0,2.0,30.0,134.0,67.0,5.0,8.0,1288.0,6.0,3.0,3.0,2.0,8.0,59.0,76.0,27.0,2.0,199.0,169.0,,35.0,18.0,1.0,87.0,6.0,216.0,45.0,65.0,5.0,,19.0,19.0,145.0,2.0,278.0,53.0,,63.0,475.0,4.0,2.0,48.0,2.0,151.0,895.0,26.0,6.0,6.0,4.0,3.0,38.0,4.0,,1.0,2.0,,,,2.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654,47197.0,Pablo Zabaleta,Pablo,Zabaleta,1985-01-16,Argentina,Argentina,5.0,D,Right Full Back,18,384.0,46.0,,17.0,17.0,1.0,431.0,18.0,6.0,66.0,798.0,1.0,219.0,35.0,32.0,27.0,153.0,145.0,16.0,,,,,,,,,3.0,,6.0,1.0,3.0,,1.0,3.0,,3.0,,6.0,,,,,6.0,1.0,,,,,118.0,12.0,6.0,33.0,7.0,,40.0,29.0,16.0,10.0,130.0,176.0,12.0,47.0,36.0,,206.0,0.0,35.0,23.0,,24.0,21.0,3.0,1.0,1.0,,,66.0,71.0,6.0,71.0,234.0,126.0,4.0,17.0,2101.0,10.0,9.0,8.0,,6.0,63.0,308.0,65.0,4.0,439.0,387.0,4.0,69.0,45.0,6.0,201.0,17.0,451.0,96.0,99.0,18.0,,70.0,70.0,311.0,3.0,673.0,81.0,6.0,129.0,1054.0,12.0,1.0,104.0,3.0,264.0,1910.0,61.0,33.0,13.0,7.0,10.0,79.0,8.0,,,4.0,,,3.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778,98127.0,Amr Zaki,Amr,Zaki,1983-04-01,Egypt,Egypt,30.0,F,Forward,18,11.0,2.0,,,,1.0,55.0,,8.0,7.0,66.0,,,24.0,5.0,6.0,34.0,18.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,2.0,2.0,,,1.0,3.0,,,,,,12.0,,1.0,,,,6.0,,11.0,2.0,52.0,16.0,,,,,3.0,0.0,9.0,2.0,,5.0,5.0,,,,,2.0,,2.0,,2.0,3.0,2.0,3.0,,227.0,,1.0,,1.0,,21.0,18.0,1.0,,42.0,42.0,4.0,3.0,5.0,3.0,30.0,1.0,12.0,2.0,,12.0,,6.0,6.0,40.0,5.0,75.0,,9.0,7.0,81.0,5.0,2.0,2.0,,,149.0,21.0,7.0,1.0,2.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,18814.0,Bobby Zamora,Bobby,Zamora,1981-01-16,England,England,25.0,F,Centre Striker,18,123.0,13.0,,5.0,5.0,49.0,432.0,,146.0,12.0,550.0,4.0,4.0,65.0,51.0,27.0,185.0,184.0,47.0,,,,1.0,,2.0,3.0,5.0,15.0,6.0,32.0,3.0,3.0,6.0,3.0,3.0,3.0,7.0,2.0,16.0,3.0,,3.0,3.0,12.0,6.0,1.0,1.0,9.0,1.0,64.0,,13.0,10.0,4.0,2.0,24.0,10.0,80.0,7.0,229.0,129.0,,11.0,8.0,,68.0,243.0,66.0,27.0,8.0,26.0,24.0,2.0,4.0,4.0,,8.0,23.0,21.0,1.0,21.0,36.0,25.0,10.0,2.0,2229.0,1.0,19.0,32.0,24.0,1.0,58.0,193.0,52.0,,436.0,411.0,8.0,6.0,50.0,24.0,232.0,51.0,153.0,26.0,36.0,20.0,,34.0,34.0,413.0,156.0,711.0,3.0,194.0,22.0,830.0,61.0,11.0,13.0,12.0,5.0,1288.0,120.0,61.0,10.0,4.0,16.0,11.0,3.0,6.0,16.0,,1.0,3.0,10.0,14.0,2.0,,2.0,35.0,2.0,2.0,,,,1.0,1.0,7.0,,1.0,2.0,2.0,7.0,3.0,,1.0,2.0,,,,1.0,,,,,1.0,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
3624,12054.0,Kamil Zayatte,Kamil,Zayatte,1985-03-07,Guinea,Guinea,18.0,D,Centre Central Defender,18,186.0,20.0,,1.0,1.0,3.0,142.0,22.0,2.0,38.0,327.0,,14.0,43.0,89.0,23.0,212.0,152.0,4.0,,,,,,1.0,1.0,2.0,5.0,,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,,2.0,,,1.0,,2.0,5.0,,,2.0,,103.0,4.0,3.0,9.0,4.0,,1.0,6.0,12.0,8.0,100.0,163.0,4.0,118.0,61.0,,158.0,0.0,31.0,21.0,2.0,38.0,33.0,5.0,1.0,1.0,2.0,,126.0,75.0,9.0,74.0,220.0,86.0,11.0,24.0,1872.0,6.0,2.0,3.0,4.0,16.0,42.0,86.0,34.0,4.0,396.0,290.0,,71.0,32.0,6.0,61.0,5.0,254.0,45.0,224.0,12.0,,7.0,7.0,178.0,10.0,330.0,102.0,2.0,123.0,577.0,13.0,2.0,50.0,,27.0,1137.0,27.0,17.0,4.0,7.0,1.0,37.0,3.0,5.0,7.0,2.0,,1.0,2.0,2.0,,1.0,,2.0,2.0,,,3.0,2.0,7.0,1.0,2.0,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2056,5471.0,Boudewijn Zenden,Boudewijn,Zenden,1976-08-15,Netherlands,Netherlands,7.0,M,Left/Centre Central Midfielder,18,55.0,9.0,7.0,14.0,7.0,3.0,121.0,1.0,6.0,15.0,162.0,,4.0,5.0,9.0,20.0,55.0,40.0,5.0,1.0,,,1.0,,,1.0,2.0,2.0,5.0,17.0,,2.0,1.0,,5.0,,3.0,3.0,11.0,,,,1.0,3.0,3.0,,1.0,2.0,2.0,32.0,1.0,7.0,2.0,,13.0,9.0,18.0,16.0,6.0,34.0,33.0,1.0,4.0,2.0,,49.0,0.0,8.0,1.0,2.0,10.0,9.0,1.0,,,,,6.0,16.0,2.0,15.0,34.0,22.0,9.0,4.0,503.0,,4.0,2.0,8.0,3.0,48.0,17.0,29.0,1.0,122.0,113.0,,23.0,9.0,5.0,52.0,6.0,62.0,22.0,13.0,4.0,13.0,44.0,31.0,93.0,11.0,203.0,7.0,6.0,30.0,221.0,20.0,,15.0,2.0,7.0,408.0,14.0,8.0,5.0,1.0,6.0,13.0,1.0,,,19.0,,2.0,2.0,3.0,1.0,,,,,2.0,1.0,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3860,25849.0,Yuri Zhirkov,Yuri,Zhirkov,1983-08-20,Russia,Russia,18.0,M,Left Winger,18,153.0,11.0,,13.0,13.0,,275.0,9.0,8.0,8.0,415.0,,99.0,7.0,7.0,17.0,68.0,42.0,21.0,,,,,,,,,1.0,2.0,4.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,50.0,4.0,,5.0,1.0,1.0,33.0,6.0,9.0,3.0,51.0,83.0,3.0,23.0,6.0,,68.0,0.0,17.0,10.0,,12.0,12.0,,2.0,2.0,,1.0,10.0,21.0,1.0,18.0,72.0,39.0,2.0,8.0,953.0,,9.0,14.0,2.0,2.0,162.0,5.0,25.0,1.0,172.0,163.0,4.0,27.0,19.0,2.0,157.0,23.0,187.0,24.0,31.0,22.0,1.0,41.0,40.0,195.0,2.0,365.0,28.0,9.0,22.0,511.0,4.0,5.0,46.0,1.0,110.0,874.0,25.0,22.0,12.0,8.0,13.0,36.0,4.0,,,7.0,,,,2.0,1.0,,,,,,1.0,,,2.0,,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3662,277928.0,Ron-Robert Zieler,Ron-Robert,Zieler,1989-02-12,Germany,Germany,16.0,G,Goalkeeper,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3991,115049.0,Ronald Zubar,Ronald,Zubar,1985-09-20,France,France,23.0,D,Centre Central Defender,18,239.0,29.0,1.0,12.0,12.0,6.0,328.0,22.0,7.0,57.0,555.0,,199.0,35.0,52.0,23.0,210.0,132.0,9.0,1.0,,,,,1.0,,1.0,4.0,,7.0,2.0,,4.0,1.0,2.0,,5.0,,6.0,1.0,,1.0,,4.0,2.0,2.0,,,,76.0,10.0,4.0,17.0,5.0,1.0,31.0,27.0,14.0,10.0,100.0,153.0,10.0,88.0,50.0,,182.0,0.0,29.0,23.0,1.0,31.0,26.0,5.0,2.0,2.0,,2.0,88.0,56.0,4.0,55.0,203.0,92.0,9.0,24.0,2061.0,6.0,6.0,6.0,4.0,4.0,14.0,215.0,64.0,2.0,418.0,359.0,4.0,44.0,28.0,9.0,154.0,12.0,288.0,53.0,147.0,13.0,1.0,60.0,60.0,277.0,16.0,572.0,92.0,9.0,115.0,800.0,17.0,1.0,70.0,2.0,242.0,1547.0,51.0,25.0,4.0,6.0,8.0,58.0,3.0,3.0,6.0,,,,2.0,3.0,1.0,,,,1.0,,,2.0,1.0,7.0,,3.0,,,,,2.0,2.0,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,35.0,24.0,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,
