id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,backward_pass,ball_recovery,blocked_cross,challenge_lost,crosses_18yardplus,dispossessed,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,head_clearance,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,rightside_pass,successful_final_third_passes,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_long_balls,total_pass,total_sub_on,total_tackle,total_throws,touches,was_fouled,won_contest,won_tackle,yellow_card,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,accurate_layoffs,accurate_through_ball,att_assist_openplay,att_bx_centre,att_bx_right,att_cmiss_high,att_goal_high_left,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_obox_blocked,att_obox_miss,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_right,big_chance_missed,blocked_scoring_att,clean_sheet,crosses_18yard,draws,fouled_final_third,foul_throw_in,freekick_cross,goals,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,interception,interceptions_in_box,interception_won,last_man_tackle,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,overrun,shot_off_target,six_yard_block,total_att_assist,total_flick_on,total_layoffs,total_offside,total_scoring_att,total_through_ball,turnover,unsuccessful_touch,wins,won_corners,accurate_flick_on,att_cmiss_right,att_miss_right,att_obox_target,big_chance_created,total_sub_off,att_assist_setplay,att_bx_left,att_setpiece,error_lead_to_shot,shield_ball_oop,att_freekick_miss,att_freekick_total,att_goal_low_centre,att_hd_target,att_hd_total,att_rf_goal,att_sv_low_left,big_chance_scored,corner_taken,goal_assist_setplay,penalty_conceded,att_hd_miss,clearance_off_line,error_lead_to_goal,red_card,saves,accurate_keeper_sweeper,att_sv_high_centre,total_keeper_sweeper,accurate_corners_intobox,accurate_pull_back,att_fastbreak,att_goal_low_right,att_hd_goal,att_lf_target,att_miss_high_left,shot_fastbreak,total_corners_intobox,total_fastbreak,total_pull_back,accurate_goal_kicks,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,stand_catch,stand_save,total_high_claim,att_cmiss_left,hit_woodwork,att_goal_low_left,att_goal_high_right,att_ibox_post,att_post_left,att_sv_high_left,post_scoring_att,att_cmiss_high_right,att_freekick_goal,att_freekick_target,att_obox_goal,att_obox_post,att_obx_left,att_pen_goal,att_obp_goal,own_goals,att_lg_centre,att_post_high,penalty_save,att_goal_high_centre,att_sv_high_right,dangerous_play,goal_assist_deadball,att_post_right,goal_fastbreak,att_cmiss_high_left,penalty_won,head_pass,open_play_pass,successful_open_play_pass,att_hd_post,att_obxd_right,att_pen_miss,second_yellow,att_rf_miss,att_pen_target,att_obx_right,attempts_obox,att_obxd_left,attempts_ibox,touches_in_opp_box,att_lg_left,att_lg_right,att_freekick_post,att_lf_miss,back_pass,att_pen_post
2279,93980.0,Stephen Warnock,Stephen,Warnock,1981-12-12,England,England,15.0,D,Left Full Back,19,317.0,42.0,301.0,6.0,42.0,612.0,132.0,28.0,21.0,19.0,186.0,128.0,74.0,83.0,7.0,18.0,8.0,4.0,81.0,104.0,7.0,44.0,26.0,143.0,57.0,22.0,350.0,19.0,34.0,30.0,4.0,49.0,54.0,201.0,120.0,9.0,18.0,1710.0,4.0,218.0,25.0,30.0,2.0,290.0,258.0,2.0,43.0,38.0,300.0,124.0,367.0,74.0,76.0,20.0,22.0,22.0,186.0,433.0,31.0,88.0,778.0,,55.0,175.0,1235.0,17.0,11.0,34.0,8.0,6.0,6.0,,13.0,,7.0,,,,,1.0,,,,,5.0,1.0,1.0,,1.0,3.0,4.0,2.0,,,,,,2.0,4.0,14.0,5.0,,,,,,2.0,1.0,2.0,,52.0,1.0,41.0,,4.0,7.0,,6.0,1.0,3.0,,11.0,,13.0,1.0,5.0,1.0,14.0,14.0,5.0,5.0,,,1.0,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,257563.0,Ben Watson,Ben,Watson,1985-07-09,England,England,26.0,M,Centre Central Midfielder,19,533.0,69.0,631.0,11.0,127.0,1126.0,8.0,16.0,21.0,29.0,211.0,119.0,163.0,193.0,9.0,30.0,7.0,27.0,106.0,106.0,9.0,27.0,8.0,276.0,380.0,28.0,504.0,23.0,40.0,36.0,4.0,27.0,340.0,253.0,163.0,11.0,14.0,2122.0,1.0,174.0,217.0,65.0,3.0,436.0,407.0,3.0,82.0,108.0,372.0,260.0,600.0,130.0,56.0,15.0,125.0,46.0,396.0,904.0,47.0,194.0,1379.0,6.0,55.0,8.0,1837.0,20.0,10.0,42.0,3.0,38.0,8.0,3.0,34.0,5.0,21.0,2.0,,,,2.0,2.0,,,,,2.0,4.0,4.0,2.0,10.0,17.0,10.0,4.0,22.0,2.0,1.0,,4.0,3.0,10.0,11.0,3.0,,26.0,3.0,,1.0,1.0,1.0,,73.0,3.0,59.0,1.0,15.0,28.0,7.0,4.0,,11.0,,43.0,5.0,37.0,,22.0,8.0,23.0,23.0,7.0,9.0,1.0,,,4.0,5.0,3.0,21.0,2.0,1.0,,,2.0,7.0,1.0,,,3.0,,2.0,94.0,,,,1.0,,,,,1.0,,31.0,,1.0,1.0,,,,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803,130682.0,Andreas Weimann,Andreas,Weimann,1991-08-05,Austria,Austria,14.0,F,Left/Centre/Right Second Striker,19,1.0,,2.0,,,3.0,,,,1.0,2.0,4.0,2.0,,,,,1.0,2.0,,,,,,0.0,1.0,,,,,,,,,,,,3.0,,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,2.0,,,3.0,1.0,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4187,10330.0,Robbie Weir,Robbie,Weir,1988-12-09,Northern Ireland,Northern Ireland,15.0,M,Central Midfielder,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3660,183576.0,Vladimír Weiss,Vladimír,Weiss,1989-11-30,Slovakia,Slovakia,7.0,M,Midfielder,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,259569.0,Danny Welbeck,Danny,Welbeck,1990-11-26,England,England,18.0,F,Centre Striker,19,109.0,7.0,353.0,,8.0,459.0,4.0,55.0,32.0,26.0,153.0,107.0,156.0,89.0,,14.0,3.0,43.0,181.0,147.0,,8.0,5.0,56.0,0.0,23.0,151.0,21.0,27.0,24.0,3.0,8.0,97.0,30.0,19.0,8.0,2.0,1767.0,1.0,128.0,51.0,26.0,3.0,288.0,281.0,8.0,19.0,62.0,174.0,204.0,126.0,10.0,15.0,72.0,9.0,9.0,278.0,461.0,4.0,13.0,578.0,5.0,53.0,5.0,957.0,38.0,24.0,41.0,2.0,3.0,3.0,,45.0,6.0,20.0,29.0,4.0,1.0,1.0,7.0,6.0,16.0,8.0,1.0,6.0,3.0,3.0,4.0,6.0,5.0,15.0,44.0,7.0,33.0,1.0,3.0,4.0,13.0,4.0,6.0,9.0,16.0,,,6.0,5.0,1.0,,1.0,2.0,30.0,,23.0,,12.0,9.0,18.0,1.0,18.0,23.0,2.0,21.0,51.0,53.0,7.0,54.0,9.0,41.0,41.0,9.0,16.0,13.0,2.0,9.0,4.0,2.0,11.0,,1.0,3.0,,,,,1.0,4.0,13.0,2.0,6.0,2.0,1.0,,,6.0,,,,,,,,,,7.0,2.0,3.0,1.0,2.0,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,2.0,1.0,,,,1.0,1.0,,,,,1.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
4038,312072.0,Wellington Silva,Wellington,Alves da Silva,1993-01-06,Brazil,Brazil,11.0,M,Midfielder,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,161184.0,David Wheater,David,Wheater,1987-02-14,England,England,31.0,D,Centre Central Defender,19,57.0,16.0,46.0,7.0,20.0,103.0,9.0,13.0,24.0,7.0,49.0,35.0,10.0,32.0,1.0,4.0,,1.0,25.0,51.0,1.0,30.0,20.0,43.0,0.0,7.0,98.0,5.0,7.0,6.0,1.0,48.0,34.0,65.0,35.0,4.0,6.0,535.0,7.0,11.0,18.0,11.0,,124.0,82.0,,22.0,10.0,29.0,25.0,80.0,32.0,72.0,3.0,,,56.0,91.0,27.0,40.0,171.0,2.0,20.0,15.0,322.0,4.0,3.0,16.0,3.0,,,,1.0,,2.0,2.0,1.0,,,1.0,,2.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,,,1.0,,1.0,,,,,,,,14.0,4.0,12.0,,,2.0,,8.0,,2.0,1.0,2.0,4.0,1.0,,4.0,,5.0,5.0,2.0,2.0,3.0,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,289829.0,Glenn Whelan,Glenn,Whelan,1984-01-13,Ireland,Ireland,26.0,M,Centre Defensive Midfielder,19,226.0,47.0,269.0,7.0,71.0,491.0,1.0,9.0,9.0,29.0,131.0,103.0,94.0,101.0,7.0,21.0,5.0,18.0,73.0,77.0,7.0,8.0,7.0,132.0,304.0,27.0,232.0,14.0,25.0,23.0,2.0,9.0,146.0,119.0,64.0,13.0,4.0,1347.0,,112.0,93.0,24.0,2.0,196.0,188.0,4.0,42.0,55.0,154.0,127.0,244.0,93.0,16.0,4.0,23.0,11.0,207.0,405.0,22.0,107.0,626.0,15.0,48.0,1.0,842.0,16.0,4.0,38.0,2.0,4.0,2.0,,13.0,1.0,11.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,2.0,1.0,3.0,5.0,8.0,18.0,13.0,5.0,20.0,2.0,,1.0,7.0,3.0,6.0,6.0,2.0,,,,,1.0,,1.0,2.0,33.0,2.0,27.0,,8.0,7.0,5.0,9.0,1.0,9.0,,15.0,3.0,13.0,,21.0,2.0,10.0,10.0,10.0,7.0,,1.0,2.0,4.0,1.0,6.0,3.0,1.0,1.0,,,2.0,2.0,,,,,1.0,,13.0,,,,,,,,,,,2.0,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,141969.0,Dean Whitehead,Dean,Whitehead,1982-01-12,England,England,4.0,M,Centre Central Midfielder,19,345.0,43.0,449.0,11.0,65.0,791.0,7.0,36.0,13.0,37.0,245.0,211.0,149.0,166.0,2.0,33.0,10.0,42.0,161.0,137.0,2.0,22.0,10.0,211.0,259.0,46.0,423.0,31.0,40.0,34.0,6.0,25.0,258.0,168.0,99.0,17.0,2.0,2897.0,,115.0,165.0,50.0,3.0,406.0,375.0,4.0,73.0,89.0,229.0,229.0,407.0,95.0,53.0,11.0,22.0,20.0,360.0,674.0,46.0,109.0,1059.0,6.0,71.0,8.0,1474.0,50.0,3.0,51.0,6.0,3.0,3.0,1.0,17.0,,14.0,9.0,,,,1.0,2.0,4.0,3.0,1.0,3.0,6.0,4.0,2.0,6.0,8.0,16.0,13.0,4.0,21.0,3.0,,4.0,7.0,7.0,9.0,7.0,8.0,,1.0,2.0,1.0,1.0,1.0,1.0,4.0,73.0,2.0,54.0,,10.0,8.0,7.0,20.0,4.0,12.0,,18.0,8.0,18.0,1.0,26.0,1.0,28.0,28.0,13.0,4.0,5.0,,,2.0,1.0,1.0,3.0,,1.0,1.0,2.0,,,1.0,1.0,2.0,,2.0,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
