id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_centre,att_bx_right,att_cmiss_high,att_fastbreak,att_hd_miss,att_hd_total,att_ibox_miss,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_obox_blocked,att_obox_miss,att_obx_centre,att_openplay,att_rf_total,backward_pass,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_shot,final_third_entries,formation_place,fouls,foul_throw_in,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_openplay,head_clearance,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,rightside_pass,shot_fastbreak,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,pen_goals_conceded,total_sub_on,accurate_cross,accurate_cross_nocorner,att_bx_left,att_cmiss_left,att_freekick_miss,att_freekick_total,att_goal_high_left,att_goal_low_centre,att_goal_low_right,att_hd_goal,att_hd_target,att_ibox_blocked,att_ibox_goal,att_ibox_target,att_lf_goal,att_lf_target,att_lg_centre,att_miss_high_left,att_obox_target,att_one_on_one,att_rf_goal,att_rf_target,att_setpiece,att_sv_low_centre,att_sv_low_left,att_sv_low_right,big_chance_created,big_chance_missed,big_chance_scored,fouled_final_third,goals,goals_openplay,hand_ball,ontarget_scoring_att,overrun,poss_won_att_3rd,red_card,six_yard_block,total_offside,yellow_card,accurate_corners_intobox,accurate_freekick_cross,accurate_through_ball,att_cmiss_right,att_freekick_target,att_miss_right,att_sv_high_centre,att_sv_high_left,att_sv_high_right,corner_taken,freekick_cross,goal_assist_intentional,hit_woodwork,interceptions_in_box,second_goal_assist,total_corners_intobox,total_pull_back,total_through_ball,accurate_keeper_throws,att_cmiss_high_right,goal_kicks,head_pass,keeper_throws,open_play_pass,penalty_conceded,successful_open_play_pass,accurate_pull_back,att_freekick_goal,att_goal_high_centre,att_goal_low_left,att_obox_goal,clearance_off_line,dangerous_play,goal_fastbreak,error_lead_to_goal,last_man_tackle,shield_ball_oop,att_cmiss_high_left,att_goal_high_right,att_hd_post,att_ibox_post,att_post_high,att_post_right,penalty_won,post_scoring_att,accurate_goal_kicks,accurate_keeper_sweeper,back_pass,cross_not_claimed,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_obp_goal,att_obxd_left,att_post_left,second_yellow,touches_in_opp_box,att_obxd_right,att_obx_right,att_obox_post,att_obx_left,attempts_obox,goal_assist_setplay,att_pen_goal,att_freekick_post,goal_assist_deadball,att_pen_miss,own_goals,dive_catch,penalty_faced,penalty_save,att_pen_target,attempts_ibox,att_pen_post,att_lg_right,att_lg_left
3527,143268.0,Wilson Palacios,Wilson,Palacios,1984-07-29,Honduras,Honduras,8.0,M,Centre Defensive Midfielder,21,13.0,,,13.0,,,,26.0,,1.0,,4.0,5.0,4.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,9.0,,1.0,,,,,2.0,3.0,3.0,4.0,,,,,6.0,0.0,,,12.0,,1.0,1.0,,,,1.0,,,11.0,2.0,1.0,1.0,,46.0,,1.0,,,2.0,1.0,1.0,9.0,8.0,3.0,6.0,7.0,,,6.0,1.0,15.0,,1.0,,,,,9.0,,17.0,,,,32.0,1.0,,4.0,,41.0,,,,,,,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130,304719.0,Andre Wisdom,Andre,Wisdom,1993-05-09,England,England,,D,Defender,21,236.0,4.0,3.0,197.0,1.0,2.0,13.0,433.0,85.0,13.0,19.0,12.0,67.0,65.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,105.0,55.0,3.0,1.0,7.0,5.0,7.0,2.0,9.0,5.0,35.0,58.0,3.0,25.0,12.0,2.0,68.0,0.0,6.0,1.0,180.0,12.0,11.0,10.0,1.0,1.0,1.0,24.0,13.0,10.0,182.0,76.0,51.0,1.0,12.0,1015.0,1.0,2.0,2.0,4.0,4.0,149.0,5.0,119.0,100.0,43.0,12.0,21.0,1.0,5.0,92.0,4.0,260.0,12.0,44.0,6.0,9.0,9.0,2.0,106.0,5.0,237.0,7.0,2.0,19.0,488.0,6.0,2.0,29.0,105.0,734.0,5.0,5.0,4.0,6.0,6.0,4.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3756,300570.0,Chris Wood,Chris,Wood,1991-12-07,New Zealand,New Zealand,20.0,F,Centre Striker,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4156,286422.0,Scott Wootton,Scott,Wootton,1991-09-12,England,England,31.0,D,Centre Central Defender,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,25111.0,Richard Wright,Richard,Wright,1977-11-05,England,England,,G,Goalkeeper,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,144542.0,Jordan Wynter,Jordan,Wynter,1993-11-24,England,England,4.0,D,Centre Central Defender,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,268780.0,Xisco,Francisco,Jiménez Tejada,1986-06-26,Spain,Spain,18.0,F,Centre Striker,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4673,181656.0,Claudio Yacob,Claudio,Yacob,1987-07-18,Argentina,Argentina,24.0,M,Centre Defensive Midfielder,21,564.0,37.0,,524.0,9.0,38.0,71.0,1088.0,1.0,33.0,39.0,30.0,253.0,192.0,7.0,,1.0,,,,1.0,3.0,2.0,1.0,,3.0,2.0,2.0,6.0,10.0,11.0,10.0,134.0,117.0,9.0,2.0,30.0,7.0,,,13.0,6.0,136.0,177.0,9.0,40.0,22.0,1.0,138.0,120.0,60.0,,381.0,29.0,41.0,33.0,8.0,,,43.0,45.0,30.0,356.0,174.0,123.0,12.0,14.0,2483.0,2.0,3.0,4.0,15.0,112.0,86.0,25.0,227.0,187.0,57.0,59.0,373.0,,8.0,159.0,7.0,608.0,72.0,80.0,4.0,,,,215.0,1.0,636.0,24.0,38.0,99.0,1244.0,14.0,8.0,109.0,1.0,1575.0,14.0,14.0,26.0,12.0,3.0,,90.0,2.0,1.0,,,,1.0,,,,,,,2.0,,,2.0,,,,1.0,2.0,,,2.0,,,,1.0,,,,3.0,,,1.0,4.0,,1.0,,,,7.0,,,,2.0,,2.0,1.0,1.0,1.0,,,,,2.0,,,,1.0,1.0,1.0,1.0,4.0,1.0,40.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4544,25732.0,Mapou Yanga-Mbiwa,Mapou,Yanga-Mbiwa,1989-05-15,Central African Republic,France,2.0,D,Centre Central Defender,21,218.0,10.0,,104.0,4.0,2.0,27.0,322.0,21.0,18.0,21.0,14.0,86.0,52.0,3.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,34.0,65.0,4.0,,4.0,2.0,2.0,1.0,7.0,2.0,48.0,78.0,4.0,59.0,27.0,,37.0,0.0,12.0,,183.0,11.0,21.0,18.0,3.0,,,44.0,20.0,16.0,63.0,105.0,59.0,6.0,12.0,1037.0,11.0,3.0,,5.0,82.0,7.0,11.0,147.0,114.0,46.0,19.0,124.0,,1.0,28.0,3.0,239.0,29.0,92.0,20.0,3.0,3.0,,55.0,1.0,168.0,22.0,2.0,58.0,404.0,1.0,1.0,33.0,25.0,640.0,7.0,7.0,11.0,6.0,13.0,2.0,25.0,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,5.0,,50.0,,43.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4528,172039.0,Samed Yesil,Samed,Yesil,1994-05-25,Germany,Germany,,F,Forward,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
