id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,formation_place,mins_played,total_sub_on,wins,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,att_assist_openplay,att_bx_centre,att_cmiss_high,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_miss_high,att_miss_left,att_miss_right,att_obox_blocked,att_obx_centre,att_openplay,att_rf_goal,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yardplus,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_shot,final_third_entries,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,head_clearance,head_pass,interception,interceptions_in_box,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,own_goals,passes_left,passes_right,penalty_conceded,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shield_ball_oop,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_tackle,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,won_corners,won_tackle,yellow_card,dispossessed,won_contest,accurate_goal_kicks,accurate_keeper_throws,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,total_high_claim,cross_not_claimed,stand_catch,total_keeper_sweeper,att_assist_setplay,att_bx_right,att_cmiss_right,att_hd_post,att_ibox_post,att_post_high,big_chance_created,crosses_18yard,goal_assist,goal_assist_intentional,goal_assist_setplay,hit_woodwork,post_scoring_att,total_sub_off,accurate_corners_intobox,accurate_freekick_cross,accurate_through_ball,att_freekick_miss,att_freekick_target,att_freekick_total,att_obox_miss,att_obox_target,att_rf_target,att_sv_high_centre,clearance_off_line,corner_taken,fouled_final_third,foul_throw_in,freekick_cross,goal_assist_deadball,goal_assist_openplay,second_goal_assist,total_corners_intobox,total_through_ball,assist_own_goal,att_bx_left,att_cmiss_left,att_fastbreak,att_goal_high_left,att_goal_high_right,att_miss_high_right,att_obp_goal,att_pen_goal,att_post_right,att_sv_high_left,dangerous_play,goals_openplay,hand_ball,penalty_won,shot_fastbreak,total_fastbreak,total_pull_back,accurate_pull_back,att_one_on_one,attempts_obox,att_cmiss_high_right,att_goal_high_centre,att_lg_centre,att_miss_high_left,att_obox_goal,att_sv_high_right,times_tackled,winning_goal,assist_pass_lost,error_lead_to_goal,att_obxd_left,att_obx_right,assist_attempt_saved,assist_free_kick_won,att_obxd_right,att_cmiss_high_left,att_obox_post,att_post_left,goal_fastbreak,assist_penalty_won,att_obx_left,att_freekick_goal,red_card,second_yellow,att_pen_target,assist_blocked_shot,accurate_keeper_sweeper,dive_catch,att_freekick_post,att_corner,penalty_faced,penalty_save,stand_save,assist_post,att_pen_post,att_lg_left,att_lg_right,back_pass,att_pen_miss
1353,47414.0,John Terry,John,Terry,1980-12-07,England,England,26.0,D,Centre Central Defender,27,38.0,228.0,3420.0,,26.0,1126.0,33.0,1.0,1.0,2.0,312.0,15.0,3.0,63.0,1437.0,2.0,37.0,99.0,4.0,209.0,207.0,1.0,7.0,14.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,11.0,2.0,5.0,7.0,5.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,111.0,129.0,4.0,3.0,1.0,10.0,3.0,10.0,17.0,2.0,9.0,56.0,159.0,1.0,217.0,131.0,3.0,103.0,13.0,649.0,38.0,5.0,32.0,27.0,5.0,131.0,174.0,32.0,1.0,32.0,1.0,364.0,274.0,193.0,3.0,22.0,24.0,3.0,4.0,10.0,1575.0,30.0,1.0,1.0,176.0,26.0,1.0,12.0,3.0,177.0,177.0,3.0,89.0,37.0,10.0,480.0,4.0,7.0,2.0,78.0,1408.0,7.0,7.0,1184.0,56.0,217.0,1.0,2.0,2.0,135.0,3.0,422.0,60.0,3.0,129.0,1.0,1604.0,20.0,43.0,2.0,2000.0,1.0,5.0,5.0,19.0,2.0,37.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,30902.0,Jerome Thomas,Jerome,Thomas,1983-03-23,England,England,14.0,M,Left/Right Winger,27,1.0,0.0,6.0,1.0,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,3.0,,,,,2.0,2.0,1.0,,,2.0,2.0,,,,2.0,4.0,2.0,,,,,1.0,1.0,1.0,2.0,,5.0,,,,,4.0,,,,9.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4334,39265.0,Tom Thorpe,Tom,Thorpe,1993-01-13,England,England,32.0,D,Defender,27,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4798,159370.0,Tiago Ilori,Tiago,Abiola Delfim Almeida Ilori,1993-02-26,England,Portugal,14.0,D,Centre Central Defender,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4652,50090.0,Dwight Tiendalli,Dwight,Tiendalli,1985-10-21,Netherlands,Netherlands,3.0,D,Left/Right Full Back,27,3.0,2.0,128.0,2.0,2.0,41.0,,,,,18.0,,,,59.0,7.0,2.0,4.0,1.0,15.0,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,10.0,,,1.0,1.0,,2.0,,1.0,,8.0,15.0,1.0,5.0,3.0,,4.0,2.0,18.0,1.0,,5.0,4.0,1.0,3.0,2.0,4.0,,4.0,,24.0,4.0,1.0,1.0,,,1.0,1.0,,62.0,1.0,,,,15.0,,,,15.0,15.0,,7.0,3.0,1.0,8.0,,,,5.0,56.0,1.0,2.0,43.0,1.0,5.0,2.0,1.0,1.0,8.0,,24.0,1.0,,1.0,,66.0,,8.0,12.0,104.0,,,,2.0,,5.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509,189256.0,Tom Beadling,Thomas,Beadling,1996-01-16,Australia,Australia,16.0,M,Centre Defensive Midfielder,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517,51519.0,James Tomkins,James,Tomkins,1989-03-29,England,England,5.0,D,Defender,27,22.0,106.0,1852.0,2.0,8.0,383.0,30.0,3.0,3.0,1.0,174.0,34.0,,59.0,554.0,3.0,32.0,101.0,7.0,166.0,132.0,,6.0,10.0,1.0,,,1.0,1.0,7.0,4.0,13.0,3.0,1.0,9.0,4.0,,,,2.0,5.0,2.0,,,,,4.0,6.0,2.0,1.0,1.0,50.0,79.0,5.0,,2.0,16.0,3.0,11.0,3.0,3.0,7.0,61.0,171.0,2.0,208.0,133.0,1.0,160.0,18.0,385.0,20.0,1.0,27.0,24.0,3.0,133.0,107.0,34.0,5.0,34.0,,184.0,217.0,101.0,7.0,14.0,15.0,,10.0,5.0,684.0,16.0,,,42.0,96.0,1.0,34.0,2.0,192.0,192.0,,53.0,26.0,16.0,117.0,4.0,10.0,1.0,81.0,522.0,11.0,10.0,418.0,56.0,208.0,3.0,4.0,4.0,185.0,2.0,322.0,116.0,,169.0,,736.0,18.0,47.0,3.0,1128.0,,3.0,3.0,22.0,1.0,31.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4722,17426.0,Aleksandar Tonev,Aleksandar,Tonev,1990-02-03,Bulgaria,Bulgaria,27.0,M,Midfielder,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,31365.0,Fernando Torres,Fernando,Torres,1984-03-20,Spain,Spain,9.0,F,Centre Striker,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,138364.0,Yaya Touré,Yaya,Touré,1983-05-13,Cote D’Ivoire,Cote D’Ivoire,42.0,M,Central Midfielder,27,29.0,180.0,2355.0,2.0,21.0,700.0,82.0,3.0,3.0,8.0,1447.0,,55.0,112.0,2144.0,3.0,31.0,37.0,18.0,144.0,103.0,1.0,31.0,21.0,3.0,2.0,4.0,2.0,,1.0,1.0,2.0,12.0,5.0,9.0,8.0,3.0,3.0,17.0,16.0,4.0,6.0,13.0,53.0,71.0,7.0,69.0,2.0,7.0,1.0,5.0,243.0,170.0,2.0,3.0,1.0,33.0,25.0,30.0,10.0,2.0,2.0,138.0,134.0,1.0,22.0,19.0,1.0,311.0,33.0,730.0,27.0,10.0,24.0,19.0,5.0,19.0,81.0,16.0,2.0,16.0,,757.0,270.0,200.0,6.0,2.0,2.0,14.0,19.0,27.0,2358.0,5.0,7.0,,278.0,350.0,,116.0,2.0,365.0,365.0,11.0,45.0,114.0,33.0,682.0,1.0,37.0,1.0,693.0,2097.0,13.0,33.0,753.0,160.0,22.0,61.0,6.0,6.0,851.0,21.0,1665.0,7.0,55.0,168.0,,2412.0,89.0,29.0,3.0,2777.0,2.0,24.0,24.0,18.0,17.0,23.0,5.0,38.0,51.0,,,,,,,,,,,,,,,,,,1.0,11.0,4.0,,2.0,2.0,6.0,4.0,1.0,1.0,,3.0,3.0,5.0,,,7.0,4.0,,6.0,25.0,9.0,13.0,2.0,,,5.0,,,,1.0,5.0,,19.0,,2.0,2.0,2.0,2.0,,6.0,,2.0,,,,8.0,2.0,,2.0,2.0,,,,1.0,,,,2.0,5.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
