id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_cmiss_high,att_goal_low_left,att_hd_miss,att_hd_total,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_obox_miss,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_pass,challenge_lost,clearance_off_line,corner_taken,crosses_18yard,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,losses,lost_corners,mins_played,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shield_ball_oop,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_freekick_cross,accurate_launches,accurate_pull_back,accurate_through_ball,att_assist_setplay,att_bx_left,att_bx_right,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_post,att_freekick_target,att_freekick_total,att_goal_low_centre,att_goal_low_right,att_ibox_blocked,att_lf_goal,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_post,att_obox_target,att_obxd_left,att_one_on_one,att_post_high,att_sv_high_centre,att_sv_high_left,att_sv_low_left,blocked_cross,blocked_scoring_att,clean_sheet,crosses_18yardplus,effective_blocked_cross,freekick_cross,goals_conceded_obox,goal_assist_deadball,goal_assist_setplay,hand_ball,hit_woodwork,interceptions_in_box,long_pass_own_to_opp_success,offtarget_att_assist,overrun,pen_goals_conceded,post_scoring_att,second_goal_assist,shot_fastbreak,six_yard_block,total_corners_intobox,total_fastbreak,total_pull_back,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,stand_catch,total_high_claim,total_keeper_sweeper,att_miss_high_left,offside_provoked,penalty_conceded,red_card,assist_blocked_shot,att_goal_high_centre,att_goal_high_right,att_hd_goal,att_ibox_post,att_post_right,error_lead_to_shot,assist_attempt_saved,att_cmiss_high_right,att_corner,att_hd_target,att_goal_high_left,att_pen_goal,own_goals,error_lead_to_goal,assist_own_goal,goal_fastbreak,assist_penalty_won,att_hd_post,att_post_left,att_sv_high_right,penalty_won,second_yellow,last_man_tackle,att_lg_centre,assist_pass_lost,att_cmiss_high_left,assist_handball_won,att_obxd_right,foul_throw_in,cross_not_claimed,dive_catch,penalty_faced,stand_save,dangerous_play,penalty_save,att_obx_left,assist_post,att_obp_goal,att_pen_target,assist_free_kick_won,att_obx_right,att_pen_post,back_pass,att_lg_left,att_pen_miss,att_lg_right
25312,288634.0,Nikola Vlasic,Nikola,Vlasic,1997-10-04,Croatia,Croatia,11.0,M,Centre Attacking Midfielder,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4007,284068.0,Sam Vokes,Sam,Vokes,1989-10-21,Wales,Wales,9.0,F,Centre Striker,210,38.0,4.0,98.0,19.0,1.0,136.0,,108.0,125.0,20.0,2.0,132.0,85.0,20.0,2.0,8.0,14.0,1.0,1.0,6.0,12.0,3.0,10.0,4.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,13.0,,0.0,6.0,6.0,2.0,1.0,48.0,10.0,1.0,3.0,,6.0,0.0,,,1.0,13.0,3.0,133.0,139.0,17.0,15.0,43.0,1.0,14.0,96.0,10.0,3.0,20.0,15.0,2.0,,,,15.0,157.0,,,44.0,20.0,13.0,1.0,914.0,4.0,7.0,264.0,1.0,35.0,39.0,16.0,175.0,175.0,4.0,,6.0,6.0,80.0,,11.0,53.0,132.0,1.0,2.0,8.0,52.0,9.0,17.0,3.0,1.0,1.0,97781.6908874512,132.0,97.0,217.0,,25.0,3.0,7.0,268.0,22.0,8.0,10.0,4.0,1.0,,399.0,40.0,27.0,27.0,9.0,0.0,4.0,3.0,3.0,2.0,,,,,25.0,,,,,,,1.0,1.0,2.0,,,,,,,,2.0,3.0,,3.0,1.0,,,,,,,1.0,,,,4.0,,,,,5.0,,,1.0,,,9.0,4.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398,166315.0,Michel Vorm,Michel,Vorm,1983-10-20,Netherlands,Netherlands,13.0,G,Goalkeeper,210,32.0,,2.0,,5.0,34.0,,,1.0,2.0,,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,1.0,2.0,,,,,20.0,2.0,,4.0,4.0,,,,,,,,,12.0,7.0,2.0,2.0,180.0,,,32.0,,,,,11.0,11.0,,,,,12.0,,,,27.0,,,,37.0,,2.0,,,,9179.6728515625,,,7.0,7.0,,14.0,,44.0,,,,,,,75.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,6.0,1.0,17.0,1.0,4.0,1.0,10.0,1.0,17.0,17.0,1.0,6.0,3.0,9.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851,135169.0,Matej Vydra,Matej,Vydra,1992-05-01,Czech Republic,Czech Republic,27.0,F,Centre Striker,210,13.0,2.0,34.0,4.0,1.0,47.0,1.0,12.0,5.0,13.0,3.0,46.0,32.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,24.0,8.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,8.0,1.0,34.0,11.0,6.0,3.0,4.0,1.0,7.0,24.0,3.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,3.0,10.0,1.0,1.0,9.0,1.0,10.0,1.0,313.0,2.0,3.0,68.0,1.0,9.0,13.0,8.0,57.0,57.0,2.0,2.0,4.0,6.0,16.0,1.0,3.0,21.0,42.0,3.0,1.0,2.0,18.0,3.0,6.0,7.0,1.0,1.0,43934.74639892579,39.0,3.0,56.0,2.0,5.0,4.0,2.0,73.0,6.0,3.0,10.0,2.0,1.0,1.0,138.0,16.0,18.0,18.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,277556.0,Theo Walcott,Theo,Walcott,1989-03-16,England,England,32.0,F,Right Winger,210,114.0,12.0,316.0,25.0,6.0,418.0,3.0,46.0,16.0,37.0,5.0,157.0,93.0,37.0,6.0,19.0,16.0,1.0,2.0,1.0,2.0,5.0,11.0,14.0,2.0,7.0,3.0,2.0,2.0,2.0,6.0,37.0,4.0,13.0,34.0,1.0,8.0,6.0,144.0,112.0,3.0,9.0,3.0,43.0,14.0,,2.0,40.0,37.0,9.0,134.0,98.0,6.0,3.0,61.0,14.0,10.0,169.0,24.0,5.0,33.0,29.0,4.0,2.0,2.0,2.0,3.0,61.0,22.0,22.0,177.0,31.0,14.0,5.0,2122.0,14.0,21.0,572.0,1.0,19.0,245.0,54.0,351.0,351.0,15.0,35.0,62.0,43.0,86.0,,13.0,192.0,415.0,16.0,,21.0,152.0,29.0,6.0,59.0,53.0,53.0,248210.77282714844,279.0,15.0,477.0,8.0,26.0,22.0,19.0,576.0,43.0,16.0,13.0,27.0,1.0,3.0,985.0,117.0,78.0,78.0,26.0,,14.0,31.0,21.0,17.0,1.0,,12.0,12.0,6.0,,,,,,3.0,15.0,1.0,2.0,3.0,,,,,,1.0,2.0,7.0,1.0,5.0,2.0,,,2.0,,5.0,,1.0,,1.0,2.0,9.0,2.0,13.0,2.0,,4.0,,,,,1.0,14.0,7.0,8.0,2.0,,,3.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3955,50015.0,Kyle Walker,Kyle,Walker,1990-05-28,England,England,2.0,D,Right Full Back,210,864.0,66.0,1293.0,,117.0,2153.0,170.0,25.0,45.0,33.0,10.0,118.0,83.0,2.0,19.0,23.0,,,1.0,,,,,,,,,3.0,3.0,7.0,18.0,14.0,1.0,3.0,21.0,,1.0,,315.0,170.0,1.0,1.0,,49.0,14.0,1.0,1.0,42.0,12.0,2.0,82.0,117.0,50.0,25.0,308.0,4.0,15.0,699.0,30.0,1.0,17.0,15.0,1.0,1.0,,1.0,25.0,97.0,36.0,36.0,1104.0,259.0,3.0,8.0,2777.0,16.0,4.0,2361.0,5.0,81.0,732.0,81.0,379.0,379.0,11.0,89.0,70.0,49.0,271.0,10.0,8.0,574.0,2129.0,14.0,1.0,24.0,927.0,116.0,50.0,34.0,59.0,59.0,307967.8126220703,691.0,,1521.0,50.0,,203.0,4.0,2389.0,21.0,1.0,3.0,40.0,4.0,193.0,2957.0,33.0,25.0,25.0,14.0,0.0,28.0,18.0,16.0,26.0,3.0,0.0,4.0,4.0,,,10.0,1.0,1.0,,,2.0,,,,,,,2.0,2.0,,,1.0,,1.0,8.0,1.0,,3.0,1.0,,,1.0,0.0,1.0,8.0,9.0,17.0,16.0,8.0,1.0,2.0,,,,1.0,3.0,199.0,8.0,5.0,4.0,1.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13815,187645.0,Kyle Walker-Peters,Kyle,Walker-Peters,1997-04-13,England,England,2.0,D,Right Full Back,210,62.0,5.0,98.0,1.0,3.0,156.0,25.0,9.0,3.0,6.0,4.0,40.0,16.0,1.0,1.0,4.0,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,65.0,20.0,,1.0,,12.0,1.0,,,7.0,3.0,1.0,19.0,29.0,4.0,2.0,14.0,2.0,4.0,61.0,4.0,,4.0,3.0,,3.0,1.0,3.0,2.0,14.0,4.0,4.0,50.0,21.0,1.0,1.0,374.0,5.0,,186.0,1.0,2.0,77.0,8.0,49.0,49.0,1.0,11.0,8.0,12.0,12.0,,2.0,46.0,154.0,4.0,,7.0,73.0,13.0,4.0,11.0,7.0,7.0,45843.46044921875,57.0,,122.0,3.0,1.0,8.0,1.0,188.0,2.0,,2.0,7.0,,30.0,288.0,7.0,3.0,3.0,10.0,,4.0,9.0,2.0,4.0,1.0,,4.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,2.0,,2.0,,1.0,,,,,,12.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15119,311977.0,Anton Walkes,Anton,Walkes,1997-02-08,England,England,5.0,D,Defender,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,136908.0,Jonathan Walters,Jonathan,Walters,1983-09-20,Ireland,Ireland,39.0,F,Centre Striker,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14164,159994.0,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,1997-11-26,England,England,29.0,D,Right Full Back,210,341.0,19.0,522.0,2.0,34.0,851.0,283.0,30.0,43.0,35.0,17.0,284.0,183.0,7.0,2.0,11.0,2.0,,,,,,3.0,,,1.0,1.0,,2.0,1.0,2.0,8.0,,,8.0,,,,135.0,206.0,4.0,,,87.0,10.0,0.0,,46.0,37.0,7.0,128.0,249.0,129.0,59.0,157.0,1.0,23.0,655.0,35.0,,46.0,38.0,,3.0,2.0,3.0,59.0,72.0,84.0,84.0,300.0,209.0,15.0,37.0,3135.0,10.0,,1161.0,16.0,4.0,467.0,68.0,540.0,540.0,7.0,134.0,65.0,87.0,75.0,2.0,4.0,289.0,847.0,33.0,,14.0,465.0,74.0,129.0,90.0,56.0,56.0,351549.9833984375,386.0,4.0,756.0,105.0,2.0,150.0,2.0,1165.0,9.0,,,129.0,1.0,342.0,2286.0,30.0,43.0,43.0,16.0,,13.0,61.0,17.0,90.0,4.0,,12.0,12.0,,,23.0,,1.0,,,5.0,,,,,,,,,,,4.0,,1.0,1.0,,,,,,,,,,32.0,5.0,12.0,10.0,32.0,,8.0,,,1.0,,7.0,110.0,4.0,11.0,4.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,0.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
