id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_corner,att_freekick_miss,att_freekick_total,att_goal_low_left,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_high,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,final_third_entries,fouled_final_third,fouls,freekick_cross,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,total_pull_back,accurate_flick_on,att_bx_left,att_bx_right,att_fastbreak,att_goal_high_left,att_hd_target,att_ibox_goal,att_lf_goal,att_miss_high_right,att_obox_post,att_obxd_left,att_one_on_one,att_post_left,att_sv_low_left,big_chance_scored,clean_sheet,hit_woodwork,outfielder_block,overrun,post_scoring_att,shot_fastbreak,total_fastbreak,total_flick_on,accurate_cross_nocorner,accurate_through_ball,assist_blocked_shot,att_goal_low_centre,att_hd_goal,att_post_high,att_sv_high_centre,att_sv_high_left,goal_fastbreak,shield_ball_oop,six_yard_block,foul_throw_in,hand_ball,interceptions_in_box,penalty_conceded,accurate_freekick_cross,assist_pass_lost,att_assist_setplay,att_cmiss_high_left,att_freekick_goal,att_freekick_target,att_goal_high_centre,att_goal_high_right,att_ibox_post,att_lg_centre,att_miss_high_left,att_pen_goal,att_pen_post,att_pen_target,att_sv_high_right,goal_assist_deadball,goal_assist_setplay,penalty_won,second_goal_assist,times_tackled,winning_goal,accurate_pull_back,clearance_off_line,att_cmiss_high_right,assist_penalty_won,gk_smother,att_goal_low_right,att_obx_left,assist_own_goal,accurate_goal_kicks,goal_kicks,own_goals,last_man_tackle,assist_attempt_saved,assist_free_kick_won,assist_handball_won,dangerous_play,att_obx_right,red_card,second_yellow,att_obxd_right,att_post_right,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_hd_post,att_freekick_post,assist_post,att_obp_goal,att_lg_right,fifty_fifty,rescinded_red_card
4007,284068.0,Sam Vokes,Sam,Vokes,1989-10-21,Wales,Wales,9.0,F,Centre Striker,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15013,275388.0,Jake Vokins,Jake,Vokins,2000-03-17,England,England,,D,Defender,274,17.0,2.0,,,29.0,,1.0,3.0,46.0,11.0,,,1.0,,10.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,18.0,1.0,,,,2.0,,,,1.0,,1.0,1.0,2.0,3.0,,1.0,,,,11.0,,,,18.0,1.0,,1.0,1.0,,,,,,,2.0,,,1.0,6.0,2.0,,,90.0,,1.0,0.0,,57.0,25.0,1.0,4.0,,18.0,18.0,1.0,,,2.0,21.0,1.0,14.0,45.0,,1.0,18.0,3.0,1.0,1.0,,1.0,1.0,23.0,41.0,2.0,1.0,7.0,,58.0,1.0,,,2.0,,12.0,83.0,1.0,2.0,2.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398,166315.0,Michel Vorm,Michel,Vorm,1983-10-20,Netherlands,Netherlands,13.0,G,Goalkeeper,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22040,278039.0,Mario Vrancic,Mario,Vrancic,1989-05-23,Croatia,Bosnia & Herzegovina,8.0,M,Centre Central Midfielder,274,165.0,19.0,0.0,0.0,189.0,1.0,4.0,16.0,354.0,2.0,9.0,8.0,20.0,10.0,62.0,36.0,5.0,9.0,7.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,7.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,9.0,9.0,1.0,2.0,5.0,1.0,0.0,2.0,71.0,46.0,1.0,2.0,1.0,14.0,5.0,11.0,1.0,2.0,1.0,10.0,4.0,46.0,53.0,1.0,3.0,2.0,1.0,1.0,86.0,3.0,13.0,2.0,167.0,6.0,1.0,19.0,17.0,2.0,1.0,0.0,0.0,0.0,2.0,32.0,10.0,10.0,74.0,74.0,41.0,15.0,2.0,628.0,1.0,3.0,4.0,3.0,442.0,79.0,39.0,27.0,1.0,129.0,129.0,3.0,15.0,28.0,14.0,140.0,6.0,101.0,348.0,9.0,7.0,183.0,56.0,3.0,8.0,1.0,6.0,5.0,156.0,275.0,9.0,4.0,49.0,1.0,452.0,14.0,4.0,14.0,27.0,3.0,2.0,579.0,9.0,9.0,9.0,13.0,1.0,5.0,4.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851,135169.0,Matej Vydra,Matej,Vydra,1992-05-01,Czech Republic,Czech Republic,27.0,F,Centre Striker,274,17.0,0.0,,,84.0,,11.0,,101.0,1.0,47.0,19.0,19.0,1.0,83.0,55.0,16.0,2.0,7.0,12.0,,1.0,1.0,1.0,,,,2.0,3.0,1.0,6.0,7.0,3.0,7.0,,2.0,2.0,,,,1.0,1.0,16.0,1.0,4.0,8.0,1.0,3.0,3.0,47.0,16.0,1.0,7.0,,9.0,1.0,3.0,,3.0,,7.0,6.0,70.0,41.0,,6.0,4.0,,,4.0,3.0,1.0,,14.0,7.0,2.0,7.0,6.0,1.0,2.0,1.0,,1.0,4.0,37.0,1.0,1.0,34.0,3.0,1.0,7.0,,812.0,,3.0,5.0,10.0,136.0,24.0,23.0,5.0,1.0,78.0,78.0,5.0,2.0,9.0,9.0,41.0,7.0,49.0,101.0,4.0,8.0,26.0,0.0,6.0,18.0,,3.0,3.0,64.0,113.0,0.0,13.0,0.0,3.0,136.0,18.0,5.0,12.0,4.0,2.0,1.0,257.0,39.0,19.0,19.0,12.0,6.0,6.0,2.0,3.0,,,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,277556.0,Theo Walcott,Theo,Walcott,1989-03-16,England,England,32.0,F,Right Winger,274,78.0,6.0,,11.0,177.0,,9.0,3.0,244.0,8.0,16.0,7.0,25.0,7.0,104.0,50.0,23.0,8.0,16.0,7.0,,1.0,1.0,7.0,,,0.0,,1.0,9.0,6.0,6.0,1.0,1.0,2.0,4.0,2.0,3.0,,2.0,2.0,8.0,21.0,1.0,7.0,29.0,3.0,5.0,1.0,92.0,51.0,7.0,5.0,,33.0,12.0,12.0,2.0,29.0,11.0,22.0,5.0,74.0,54.0,,1.0,,,,37.0,4.0,9.0,,111.0,17.0,2.0,19.0,15.0,4.0,2.0,3.0,3.0,3.0,,29.0,8.0,8.0,121.0,21.0,8.0,10.0,2.0,1297.0,,9.0,10.0,10.0,353.0,10.0,140.0,44.0,2.0,222.0,222.0,4.0,16.0,31.0,33.0,30.0,9.0,118.0,243.0,13.0,19.0,98.0,19.0,1.0,32.0,2.0,42.0,40.0,189.0,298.0,8.0,9.0,15.0,10.0,354.0,31.0,16.0,8.0,13.0,5.0,10.0,616.0,70.0,38.0,38.0,17.0,10.0,17.0,12.0,8.0,1.0,4.0,2.0,1.0,10.0,1.0,1.0,,2.0,,,1.0,,,,1.0,1.0,,1.0,0.0,3.0,1.0,1.0,1.0,9.0,11.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3955,50015.0,Kyle Walker,Kyle,Walker,1990-05-28,England,England,2.0,D,Right Full Back,274,692.0,69.0,,10.0,1035.0,5.0,,125.0,1717.0,174.0,33.0,30.0,29.0,17.0,133.0,57.0,4.0,10.0,14.0,2.0,,,,3.0,,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,3.0,,5.0,2.0,9.0,9.0,,2.0,11.0,1.0,1.0,,338.0,144.0,1.0,1.0,7.0,36.0,5.0,17.0,1.0,40.0,14.0,15.0,2.0,99.0,96.0,7.0,35.0,15.0,,1.0,257.0,4.0,27.0,,482.0,28.0,1.0,24.0,18.0,6.0,1.0,4.0,3.0,4.0,15.0,81.0,28.0,28.0,906.0,175.0,121.0,7.0,6.0,2395.0,5.0,3.0,15.0,3.0,1910.0,69.0,556.0,71.0,2.0,336.0,336.0,6.0,73.0,65.0,36.0,213.0,6.0,506.0,1691.0,9.0,18.0,753.0,105.0,35.0,31.0,,54.0,54.0,604.0,1240.0,41.0,,193.0,3.0,1939.0,14.0,6.0,1.0,28.0,1.0,189.0,2441.0,33.0,22.0,22.0,15.0,20.0,23.0,9.0,18.0,5.0,5.0,2.0,,1.0,,,,1.0,1.0,2.0,,,,,1.0,1.0,10.0,,6.0,5.0,,,,5.0,10.0,1.0,,1.0,,,,,,2.0,,,1.0,2.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13815,187645.0,Kyle Walker-Peters,Kyle,Walker-Peters,1997-04-13,England,England,2.0,D,Right Full Back,274,190.0,10.0,,1.0,240.0,2.0,,14.0,429.0,91.0,19.0,9.0,13.0,3.0,83.0,44.0,1.0,2.0,6.0,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,2.0,,,,2.0,3.0,,,2.0,,,,140.0,75.0,2.0,,4.0,26.0,2.0,14.0,,12.0,7.0,9.0,4.0,53.0,77.0,4.0,22.0,10.0,,2.0,61.0,2.0,7.0,,168.0,10.0,,12.0,11.0,1.0,,,,,10.0,28.0,17.0,17.0,185.0,69.0,30.0,3.0,9.0,946.0,6.0,2.0,4.0,,519.0,4.0,169.0,31.0,,169.0,169.0,4.0,42.0,29.0,26.0,39.0,1.0,118.0,417.0,9.0,6.0,228.0,37.0,22.0,26.0,,19.0,19.0,154.0,323.0,20.0,,45.0,2.0,532.0,3.0,2.0,3.0,21.0,,112.0,832.0,15.0,12.0,12.0,26.0,6.0,22.0,7.0,13.0,1.0,,,,1.0,,,,,,,,,,,,,2.0,,5.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,136908.0,Jonathan Walters,Jonathan,Walters,1983-09-20,Ireland,Ireland,39.0,F,Centre Striker,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8159,301231.0,Christian Walton,Christian,Walton,1995-11-09,England,England,28.0,G,Goalkeeper,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
