id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info
4874,186988.0,Joël Veltman,Joël,Veltman,1992-01-15,Netherlands,Netherlands,34.0,D,Centre/Right Full Back
32602,162022.0,Michael Verrips,Michael,Verrips,1996-12-03,Netherlands,Netherlands,21.0,G,Goalkeeper
4666,188573.0,Jan Vertonghen,Jan,Vertonghen,1987-04-24,Belgium,Belgium,5.0,D,Centre Full Back
20109,287385.0,Jannik Vestergaard,Jannik,Vestergaard,1992-08-03,Denmark,Denmark,23.0,D,Centre Central Defender
67634,314799.0,Vitinha,Vítor,Machado Ferreira,2000-02-13,Portugal,Portugal,,M,Centre Attacking Midfielder
15013,275388.0,Jake Vokins,Jake,Vokins,2000-03-17,England,England,,D,Defender
4398,166315.0,Michel Vorm,Michel,Vorm,1983-10-20,Netherlands,Netherlands,13.0,G,Goalkeeper
4851,135169.0,Matej Vydra,Matej,Vydra,1992-05-01,Czech Republic,Czech Republic,27.0,F,Centre Striker
2839,277556.0,Theo Walcott,Theo,Walcott,1989-03-16,England,England,32.0,F,Right Winger
14467,31600.0,Jake Walker,Jake,Walker,2000-11-03,England,England,46.0,D,Defender
13815,187645.0,Kyle Walker-Peters,Kyle,Walker-Peters,1997-04-13,England,England,2.0,D,Right Full Back
8159,301231.0,Christian Walton,Christian,Walton,1995-11-09,England,England,28.0,G,Goalkeeper
14164,159994.0,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,1997-11-26,England,England,29.0,D,Right Full Back
3929,128164.0,Joel Ward,Joel,Ward,1989-10-29,England,England,,D,Defender
4617,6447.0,James Ward-Prowse,James,Ward-Prowse,1994-11-01,England,England,8.0,M,Centre Central Midfielder
8658,226363.0,Ollie Watkins,Ollie,Watkins,1995-12-30,England,England,11.0,F,Left/Centre/Right Second Striker
51238,314451.0,Caleb Watts,Caleb,Watts,2002-01-16,England,Australia,,M,Centre Central Midfielder
9426,160892.0,Adam Webster,Adam,Webster,1995-01-04,England,England,4.0,D,Centre Central Defender
31046,281055.0,Jensen Weir,Jensen,Weir,2002-01-31,England,England,16.0,M,Centre Central Midfielder
3452,259569.0,Danny Welbeck,Danny,Welbeck,1990-11-26,England,England,18.0,F,Centre Striker
66578,290943.0,Reece Welch,Reece,Welch,2003-09-19,England,England,,D,Defender
23599,186682.0,Timo Werner,Timo,Werner,1996-03-06,Germany,Germany,11.0,F,Centre Striker
15580,289894.0,Wesley Moraes,Wesley,Moraes Ferreira da Silva,1996-11-26,Brazil,Brazil,7.0,F,Centre Striker
4489,42970.0,Ashley Westwood,Ashley,Westwood,1990-04-01,England,England,18.0,M,Centre Central Midfielder
14548,284417.0,Ben White,Ben,White,1997-10-08,England,England,4.0,D,Centre/Right Central Defender
15111,90970.0,Alfie Whiteman,Alfie,Whiteman,1998-10-02,England,England,,G,Goalkeeper
