id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,own_goals
180,3,26.0,10.0,11.0,3.0,7.0,8.0,2.0,,,
926,3,,,,,,,,,,
526,3,,,,,,,,,,
611,3,11.0,0.0,3.0,,7.0,1.0,1.0,1.0,,
3,3,27.0,6.0,8.0,3.0,12.0,7.0,3.0,1.0,1.0,
734,3,13.0,0.0,5.0,,7.0,1.0,1.0,,,
876,3,18.0,3.0,7.0,4.0,6.0,5.0,1.0,,,
555,3,24.0,11.0,10.0,,3.0,11.0,5.0,,,
600,3,14.0,1.0,3.0,1.0,8.0,3.0,1.0,1.0,,
727,3,1.0,0.0,1.0,,,,,,,
125,3,41.0,14.0,12.0,1.0,16.0,13.0,5.0,6.0,,
924,3,17.0,5.0,4.0,2.0,2.0,11.0,3.0,,1.0,
62,3,16.0,1.0,6.0,3.0,7.0,3.0,1.0,2.0,,
687,3,4.0,0.0,1.0,,2.0,1.0,2.0,,,
83,3,34.0,8.0,6.0,6.0,5.0,23.0,1.0,1.0,,
167,3,40.0,13.0,11.0,8.0,18.0,11.0,7.0,6.0,,
128,3,37.0,12.0,10.0,,10.0,17.0,4.0,1.0,1.0,
566,3,37.0,11.0,12.0,5.0,10.0,15.0,3.0,14.0,,
199,3,2.0,0.0,1.0,,1.0,,,,,
226,3,,,,,,,,,,
810,3,9.0,1.0,3.0,,4.0,2.0,,,,
863,3,,,,,,,,,,
403,3,,,,,,,,,,
53,3,1.0,0.0,1.0,,,,,,,
260,3,31.0,12.0,9.0,,6.0,16.0,1.0,6.0,,
44,3,30.0,2.0,5.0,3.0,20.0,5.0,8.0,1.0,,
243,3,5.0,1.0,,,3.0,2.0,2.0,,,
331,3,4.0,1.0,2.0,,,2.0,,,,
461,3,,,,,,,,,,
460,3,37.0,9.0,9.0,4.0,11.0,17.0,8.0,6.0,,
760,3,,,,,,,,,,
195,3,11.0,2.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,
98,3,,,,,,,,,,
710,3,33.0,11.0,11.0,,6.0,16.0,,3.0,,
187,3,37.0,7.0,11.0,2.0,14.0,12.0,3.0,7.0,,
590,3,39.0,10.0,9.0,2.0,16.0,14.0,4.0,8.0,,
74,3,40.0,15.0,8.0,1.0,7.0,25.0,2.0,2.0,1.0,
523,3,35.0,8.0,16.0,,10.0,9.0,12.0,,,
805,3,20.0,2.0,7.0,6.0,7.0,6.0,3.0,3.0,,
589,3,,,,,,,,,,
539,3,4.0,0.0,2.0,2.0,2.0,,,,,
569,3,38.0,6.0,13.0,9.0,11.0,14.0,,6.0,,
548,3,,,,,,,,,,
194,3,34.0,9.0,10.0,12.0,9.0,15.0,2.0,5.0,,
269,3,38.0,15.0,9.0,7.0,8.0,21.0,,5.0,,
38,3,42.0,14.0,17.0,,13.0,12.0,3.0,1.0,1.0,
400,3,,,,,,,,,,
838,3,11.0,2.0,2.0,,6.0,3.0,,,,
795,3,31.0,10.0,9.0,1.0,13.0,9.0,1.0,1.0,,
408,3,10.0,0.0,4.0,2.0,2.0,4.0,1.0,1.0,,
509,3,38.0,9.0,12.0,2.0,15.0,11.0,6.0,7.0,,
327,3,,,,,,,,,,
9,3,31.0,9.0,6.0,,13.0,12.0,5.0,,,
513,3,37.0,8.0,11.0,11.0,14.0,12.0,2.0,3.0,,
332,3,22.0,3.0,6.0,1.0,4.0,12.0,4.0,1.0,,
136,3,12.0,1.0,5.0,,5.0,2.0,1.0,,,
661,3,,,,,,,,,,
819,3,4.0,0.0,2.0,,2.0,,1.0,,,
457,3,,,,,,,,,,
478,3,26.0,6.0,9.0,1.0,11.0,6.0,5.0,,,
318,3,,,,,,,,,,
319,3,35.0,18.0,7.0,2.0,6.0,22.0,11.0,,,1.0
915,3,,,,,,,,,,
852,3,,,,,,,,,,
127,3,20.0,6.0,7.0,2.0,7.0,6.0,2.0,2.0,,
25,3,23.0,6.0,6.0,4.0,10.0,7.0,1.0,4.0,,
256,3,34.0,10.0,13.0,,15.0,6.0,10.0,1.0,,1.0
109,3,25.0,2.0,10.0,2.0,10.0,5.0,4.0,1.0,,1.0
396,3,16.0,4.0,5.0,,5.0,6.0,,1.0,,
942,3,34.0,9.0,9.0,6.0,7.0,18.0,8.0,5.0,,
865,3,,,,,,,,,,
808,3,6.0,0.0,2.0,1.0,4.0,,1.0,,,
945,3,1.0,1.0,,1.0,,1.0,1.0,,,
32,3,30.0,6.0,9.0,,12.0,9.0,2.0,,1.0,1.0
789,3,33.0,12.0,8.0,,13.0,12.0,7.0,5.0,,
76,3,,,,,,,,,,
155,3,18.0,5.0,4.0,,8.0,6.0,2.0,,,
779,3,,,,,,,,,,
948,3,,,,,,,,,,
775,3,36.0,10.0,13.0,2.0,9.0,14.0,3.0,,1.0,1.0
791,3,5.0,2.0,2.0,,2.0,1.0,2.0,,,
866,3,,,,,,,,,,
445,3,19.0,3.0,5.0,,7.0,7.0,5.0,1.0,,
376,3,36.0,8.0,12.0,2.0,16.0,8.0,7.0,1.0,,
565,3,4.0,0.0,,,2.0,2.0,,,,
663,3,,,,,,,,,,
227,3,,,,,,,,,,
285,3,30.0,7.0,9.0,,12.0,9.0,7.0,,,1.0
15,3,3.0,0.0,1.0,,2.0,,1.0,,,
950,3,,,,,,,,,,
342,3,21.0,11.0,5.0,12.0,3.0,13.0,4.0,6.0,1.0,
246,3,26.0,2.0,3.0,1.0,17.0,6.0,1.0,1.0,,
722,3,16.0,6.0,5.0,,5.0,6.0,1.0,,,
749,3,6.0,2.0,2.0,,2.0,2.0,,,,
491,3,15.0,0.0,5.0,1.0,8.0,2.0,,1.0,,
616,3,,,,,,,,,,
879,3,4.0,0.0,,,4.0,,1.0,,,1.0
130,3,35.0,12.0,13.0,,13.0,9.0,8.0,1.0,,
390,3,40.0,12.0,7.0,15.0,7.0,26.0,6.0,10.0,,
66,3,,,,,,,,,,
215,3,10.0,1.0,1.0,2.0,5.0,4.0,1.0,,,
880,3,,,,,,,,,,
263,3,23.0,6.0,8.0,,5.0,10.0,2.0,1.0,,
594,3,7.0,2.0,1.0,1.0,3.0,3.0,1.0,,,
39,3,28.0,9.0,10.0,,10.0,8.0,3.0,3.0,,
88,3,,,,,,,,,,
205,3,10.0,0.0,,,9.0,1.0,,,,
532,3,7.0,0.0,2.0,,2.0,3.0,,1.0,,
545,3,1.0,0.0,,,,1.0,,,,
881,3,33.0,3.0,5.0,5.0,23.0,5.0,2.0,4.0,,
939,3,,,,,,,,,,
241,3,3.0,1.0,2.0,,,1.0,,1.0,,
468,3,4.0,0.0,2.0,,2.0,,,,,
847,3,36.0,10.0,12.0,2.0,11.0,13.0,3.0,5.0,,
148,3,23.0,5.0,5.0,1.0,9.0,9.0,4.0,,1.0,
562,3,1.0,0.0,1.0,,,,,,,
112,3,32.0,7.0,9.0,1.0,15.0,8.0,6.0,3.0,2.0,
181,3,38.0,13.0,17.0,3.0,12.0,9.0,8.0,,,
712,3,28.0,10.0,8.0,1.0,6.0,14.0,3.0,2.0,,
882,3,10.0,0.0,2.0,,7.0,1.0,4.0,,,
287,3,21.0,3.0,8.0,,10.0,3.0,1.0,2.0,,2.0
867,3,,,,,,,,,,
506,3,25.0,4.0,6.0,4.0,11.0,8.0,1.0,,,
266,3,18.0,2.0,7.0,,5.0,6.0,1.0,,,
397,3,3.0,1.0,,,2.0,1.0,1.0,,,
892,3,6.0,0.0,,,5.0,1.0,1.0,,,
501,3,27.0,7.0,5.0,2.0,4.0,18.0,3.0,,,
733,3,27.0,8.0,7.0,2.0,15.0,5.0,4.0,,,
912,3,,,,,,,,,,
664,3,28.0,5.0,9.0,11.0,12.0,7.0,,1.0,,
204,3,26.0,2.0,4.0,4.0,17.0,5.0,3.0,,1.0,1.0
174,3,38.0,14.0,15.0,2.0,12.0,11.0,6.0,,,
228,3,38.0,14.0,11.0,3.0,8.0,19.0,6.0,2.0,,
677,3,5.0,1.0,2.0,,3.0,,,,,
764,3,8.0,1.0,2.0,,5.0,1.0,,,,
208,3,13.0,1.0,3.0,,8.0,2.0,3.0,,1.0,
700,3,,,,,,,,,,
957,3,1.0,0.0,,,1.0,,,,,
894,3,5.0,0.0,,,4.0,1.0,,,,
139,3,26.0,3.0,8.0,3.0,13.0,5.0,,1.0,,
295,3,23.0,9.0,8.0,3.0,6.0,9.0,3.0,2.0,,
248,3,32.0,7.0,8.0,4.0,8.0,16.0,6.0,3.0,,
535,3,28.0,5.0,13.0,,8.0,7.0,5.0,1.0,,
409,3,,,,,,,,,,
893,3,29.0,3.0,9.0,2.0,15.0,5.0,8.0,,1.0,2.0
796,3,4.0,0.0,2.0,,1.0,1.0,1.0,,,
452,3,36.0,8.0,8.0,2.0,14.0,14.0,3.0,1.0,1.0,
750,3,38.0,12.0,11.0,,15.0,12.0,2.0,1.0,1.0,1.0
853,3,1.0,0.0,,,1.0,,,,,
404,3,37.0,9.0,10.0,5.0,9.0,18.0,6.0,7.0,,
11,3,39.0,11.0,11.0,,16.0,12.0,7.0,2.0,,
922,3,,,,,,,,,,
896,3,28.0,3.0,7.0,2.0,17.0,4.0,6.0,3.0,1.0,
978,3,6.0,1.0,1.0,,4.0,1.0,,,,1.0
80,3,27.0,10.0,6.0,5.0,4.0,17.0,3.0,6.0,2.0,
201,3,41.0,3.0,6.0,1.0,28.0,7.0,3.0,2.0,,
493,3,9.0,5.0,3.0,,3.0,3.0,,,,
739,3,23.0,2.0,7.0,1.0,10.0,6.0,,1.0,,1.0
291,3,27.0,6.0,11.0,,9.0,7.0,6.0,1.0,1.0,1.0
107,3,19.0,7.0,5.0,6.0,7.0,7.0,3.0,3.0,1.0,
455,3,3.0,0.0,,,3.0,,1.0,,,
502,3,,,,,,,,,,
29,3,31.0,6.0,7.0,18.0,14.0,10.0,9.0,3.0,,
59,3,37.0,7.0,11.0,6.0,16.0,10.0,3.0,5.0,,
207,3,10.0,1.0,1.0,,8.0,1.0,4.0,,,1.0
889,3,18.0,7.0,5.0,12.0,2.0,11.0,,2.0,,
496,3,27.0,8.0,11.0,1.0,6.0,10.0,3.0,2.0,,
901,3,23.0,1.0,6.0,,15.0,2.0,4.0,,,
150,3,13.0,2.0,3.0,,6.0,4.0,2.0,1.0,,
641,3,38.0,10.0,11.0,1.0,8.0,19.0,2.0,3.0,,
963,3,23.0,6.0,7.0,3.0,6.0,10.0,3.0,,,
785,3,42.0,12.0,11.0,,18.0,13.0,4.0,,,1.0
985,3,,,,,,,,,,
124,3,28.0,8.0,8.0,,11.0,9.0,2.0,1.0,,
949,3,,,,,,,,,,
886,3,12.0,2.0,5.0,,2.0,5.0,2.0,,,
921,3,2.0,0.0,,,,2.0,,,,
679,3,31.0,9.0,10.0,,11.0,10.0,2.0,2.0,,
495,3,34.0,9.0,9.0,,15.0,10.0,1.0,,1.0,
142,3,6.0,0.0,2.0,,4.0,,,,1.0,
372,3,38.0,10.0,11.0,,18.0,9.0,5.0,,,
891,3,36.0,4.0,11.0,,20.0,5.0,,,,
971,3,31.0,10.0,7.0,3.0,12.0,12.0,5.0,,1.0,1.0
752,3,4.0,0.0,1.0,,2.0,1.0,,,,
