id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,own_goals,red_card
847,5,34.0,15.0,9.0,2.0,9.0,16.0,4.0,,,
1178,5,30.0,3.0,11.0,11.0,9.0,10.0,9.0,2.0,,
242,5,9.0,0.0,3.0,,4.0,2.0,1.0,,,
406,5,5.0,0.0,3.0,,1.0,1.0,2.0,,,
111,5,35.0,6.0,10.0,5.0,15.0,10.0,5.0,3.0,,
1075,5,2.0,0.0,,,2.0,,1.0,,,
390,5,25.0,8.0,11.0,11.0,7.0,7.0,4.0,6.0,,
881,5,16.0,3.0,5.0,,8.0,3.0,3.0,,1.0,
939,5,,,,,,,,,,
1209,5,2.0,1.0,1.0,,,1.0,,,,
583,5,36.0,11.0,10.0,,11.0,15.0,1.0,,,
1154,5,,,,,,,,,,
1174,5,14.0,3.0,4.0,1.0,5.0,5.0,3.0,1.0,,
1131,5,,,,,,,,,,
1289,5,19.0,0.0,9.0,3.0,6.0,4.0,3.0,2.0,,
894,5,22.0,7.0,6.0,2.0,7.0,9.0,3.0,2.0,,1.0
893,5,,,,,,,,,,
712,5,2.0,1.0,1.0,,1.0,,,,,1.0
1069,5,,,,,,,,,,
896,5,17.0,4.0,3.0,,8.0,6.0,2.0,,1.0,
174,5,29.0,7.0,9.0,1.0,12.0,8.0,4.0,,,
241,5,3.0,0.0,1.0,,1.0,1.0,,,,
1235,5,8.0,1.0,7.0,1.0,1.0,,4.0,2.0,,
1292,5,2.0,0.0,,,1.0,1.0,,,,
397,5,11.0,4.0,2.0,1.0,5.0,4.0,1.0,,,
1244,5,25.0,5.0,7.0,1.0,10.0,8.0,9.0,1.0,,1.0
1132,5,31.0,11.0,8.0,2.0,6.0,17.0,11.0,4.0,,
532,5,,,,,,,,,,
1274,5,8.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,,1.0
248,5,22.0,4.0,8.0,3.0,9.0,5.0,5.0,2.0,,
501,5,11.0,0.0,4.0,2.0,5.0,2.0,1.0,,,
80,5,28.0,8.0,12.0,2.0,8.0,8.0,3.0,3.0,,
1103,5,1.0,0.0,,,,1.0,,,,
263,5,31.0,8.0,9.0,3.0,6.0,16.0,5.0,,,
107,5,31.0,6.0,11.0,3.0,8.0,12.0,8.0,1.0,,
912,5,,,,,,,,,,
764,5,,,,,,,,,,
1282,5,9.0,3.0,2.0,,3.0,4.0,2.0,,,
922,5,,,,,,,,,,
11,5,38.0,14.0,11.0,,8.0,19.0,5.0,3.0,1.0,
1200,5,2.0,0.0,,1.0,,2.0,,,,
796,5,15.0,1.0,3.0,,9.0,3.0,,1.0,,
1151,5,23.0,3.0,6.0,8.0,8.0,9.0,,9.0,,
889,5,7.0,3.0,1.0,,3.0,3.0,2.0,,,
1166,5,10.0,2.0,4.0,,2.0,4.0,,1.0,,
1030,5,32.0,6.0,12.0,2.0,12.0,8.0,7.0,,,
228,5,29.0,15.0,10.0,,9.0,10.0,7.0,,,
404,5,32.0,5.0,14.0,1.0,13.0,5.0,7.0,1.0,,
1234,5,5.0,0.0,4.0,,1.0,,,,,
1033,5,34.0,8.0,13.0,,13.0,8.0,6.0,,,
29,5,35.0,9.0,11.0,23.0,7.0,17.0,10.0,4.0,,1.0
1040,5,1.0,0.0,,,1.0,,,,,
354,5,21.0,2.0,4.0,,12.0,5.0,6.0,1.0,,
924,5,27.0,9.0,8.0,2.0,8.0,11.0,6.0,2.0,,
876,5,,,,,,,,,,
664,5,33.0,6.0,14.0,3.0,9.0,10.0,1.0,1.0,,
1206,5,2.0,0.0,1.0,,,1.0,1.0,,,
1285,5,3.0,1.0,1.0,,2.0,,,,,
1070,5,29.0,3.0,9.0,,13.0,7.0,4.0,,1.0,
245,5,35.0,7.0,13.0,6.0,13.0,9.0,8.0,2.0,,1.0
1167,5,,,,,,,,,,
600,5,33.0,11.0,9.0,2.0,9.0,15.0,,11.0,,
926,5,2.0,0.0,1.0,,1.0,,,,,
566,5,16.0,3.0,2.0,3.0,8.0,6.0,4.0,2.0,,
112,5,34.0,17.0,10.0,2.0,9.0,15.0,8.0,6.0,,
1219,5,,,,,,,,,,
502,5,26.0,5.0,7.0,1.0,11.0,8.0,3.0,,,
59,5,37.0,18.0,10.0,17.0,11.0,16.0,2.0,6.0,,
753,5,,,,,,,,,,
269,5,35.0,10.0,11.0,4.0,7.0,17.0,,6.0,,
518,5,,,,,,,,,,
1135,5,4.0,0.0,1.0,,1.0,2.0,,1.0,,
1179,5,5.0,0.0,2.0,1.0,1.0,2.0,,1.0,,
932,5,30.0,1.0,9.0,8.0,12.0,9.0,2.0,2.0,,
1173,5,16.0,3.0,4.0,2.0,5.0,7.0,1.0,,,
1272,5,2.0,0.0,,,2.0,,,,,
1172,5,34.0,5.0,12.0,6.0,13.0,9.0,3.0,3.0,,
493,5,4.0,0.0,1.0,,3.0,,,,,
569,5,35.0,6.0,11.0,5.0,15.0,9.0,1.0,8.0,,
1237,5,,,,,,,,,,
997,5,,,,,,,,,,
506,5,7.0,1.0,2.0,1.0,3.0,2.0,,5.0,,
555,5,15.0,5.0,3.0,,8.0,4.0,3.0,,,
1181,5,16.0,0.0,7.0,2.0,6.0,3.0,,,,
128,5,22.0,6.0,6.0,1.0,4.0,12.0,4.0,,,
167,5,12.0,6.0,2.0,5.0,4.0,6.0,2.0,,,
1150,5,28.0,6.0,9.0,9.0,9.0,10.0,5.0,4.0,,
1185,5,5.0,0.0,2.0,,2.0,1.0,1.0,,,
181,5,34.0,8.0,12.0,5.0,13.0,9.0,7.0,,1.0,1.0
38,5,36.0,10.0,11.0,,15.0,10.0,1.0,2.0,,
3,5,28.0,11.0,9.0,3.0,5.0,14.0,4.0,1.0,1.0,2.0
125,5,37.0,10.0,14.0,2.0,9.0,14.0,7.0,1.0,,
562,5,,,,,,,,,,
1158,5,5.0,0.0,1.0,,4.0,,,1.0,,
1145,5,,,,,,,,,,
1273,5,,,,,,,,,,
1084,5,24.0,1.0,7.0,4.0,5.0,12.0,2.0,5.0,,
351,5,,,,,,,,,,
611,5,15.0,1.0,5.0,2.0,5.0,5.0,1.0,,,
687,5,,,,,,,,,,
1251,5,6.0,0.0,4.0,,1.0,1.0,,,,
838,5,,,,,,,,,,
590,5,16.0,6.0,6.0,1.0,2.0,8.0,1.0,4.0,,
509,5,16.0,4.0,7.0,1.0,6.0,3.0,1.0,,,
243,5,32.0,9.0,9.0,1.0,6.0,17.0,11.0,1.0,,1.0
1266,5,,,,,,,,,,
331,5,36.0,11.0,12.0,8.0,5.0,19.0,6.0,8.0,,
710,5,19.0,8.0,6.0,,2.0,11.0,4.0,3.0,,
194,5,25.0,5.0,6.0,5.0,7.0,12.0,3.0,4.0,,
1005,5,1.0,0.0,,,1.0,,,,,
523,5,18.0,5.0,5.0,,6.0,7.0,3.0,,,1.0
1227,5,25.0,3.0,7.0,5.0,11.0,7.0,,3.0,,
471,5,12.0,7.0,3.0,,5.0,4.0,5.0,1.0,,
327,5,2.0,0.0,1.0,,,1.0,,,,
1205,5,23.0,2.0,4.0,6.0,8.0,11.0,,2.0,,
74,5,36.0,10.0,14.0,2.0,13.0,9.0,2.0,,1.0,
1247,5,28.0,2.0,8.0,4.0,11.0,9.0,4.0,7.0,,
991,5,29.0,8.0,9.0,12.0,8.0,12.0,5.0,9.0,,1.0
1112,5,35.0,9.0,12.0,2.0,15.0,8.0,10.0,,,
795,5,29.0,7.0,10.0,1.0,11.0,8.0,3.0,,,
260,5,38.0,12.0,11.0,2.0,8.0,19.0,2.0,8.0,,
810,5,,,,,,,,,,
