id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
1630,8,18.0,3.0,7.0,1.0,1.0,4.0,1.0,7.0,1.0,
75291,8,,,,,,,,,,
1653,8,1.0,0.0,,,,1.0,,,,
1506,8,,,,,,,,,,
1411,8,11.0,3.0,1.0,,2.0,3.0,,7.0,2.0,
67,8,1.0,0.0,,,,,,1.0,,
1448,8,2.0,0.0,1.0,,,,,1.0,,
238,8,38.0,7.0,8.0,11.0,4.0,18.0,,12.0,2.0,
75288,8,,,,,,,,,,
812,8,21.0,6.0,3.0,,1.0,9.0,,9.0,6.0,
1189,8,,,,,,,,,,
1776,8,1.0,0.0,1.0,,,,,,,
393,8,1.0,0.0,,,,1.0,,,,
1304,8,,,,,,,,,,
259,8,32.0,12.0,8.0,,6.0,8.0,,16.0,2.0,
1662,8,,,,,,,,,,
1278,8,,,,,,,,,,
768,8,22.0,3.0,4.0,1.0,,10.0,1.0,8.0,7.0,
1046,8,,,,,,,,,,
1728,8,2.0,0.0,1.0,,,1.0,,,,
1646,8,14.0,0.0,2.0,,2.0,12.0,,,3.0,
1756,8,,,,,,,,,,
1596,8,13.0,0.0,4.0,,,5.0,,4.0,,
23,8,32.0,4.0,11.0,5.0,8.0,8.0,,13.0,2.0,
1576,8,1.0,0.0,1.0,,,,,,,
1670,8,34.0,6.0,8.0,1.0,2.0,18.0,,8.0,6.0,
1712,8,21.0,2.0,8.0,,1.0,4.0,,9.0,2.0,
1684,8,,,,,,,,,,
1674,8,21.0,4.0,6.0,5.0,3.0,11.0,,4.0,1.0,
1419,8,,,,,,,,,,
146,8,38.0,13.0,6.0,,,11.0,,21.0,2.0,
1400,8,1.0,0.0,,,,1.0,,,,
1243,8,9.0,3.0,1.0,,,5.0,,3.0,,
1029,8,,,,,,,,,,
426,8,21.0,0.0,3.0,,,10.0,,8.0,1.0,
1407,8,24.0,6.0,5.0,2.0,4.0,7.0,,12.0,,
1817,8,4.0,0.0,,1.0,,2.0,,2.0,1.0,
1677,8,5.0,1.0,1.0,,1.0,2.0,,2.0,,
1542,8,3.0,0.0,1.0,,,1.0,,1.0,,
1798,8,3.0,0.0,2.0,,1.0,1.0,,,1.0,
1423,8,23.0,0.0,6.0,3.0,2.0,4.0,,13.0,3.0,
1414,8,,,,,,,,,,
1794,8,23.0,0.0,3.0,5.0,1.0,16.0,,4.0,1.0,
1438,8,9.0,0.0,2.0,,,3.0,,4.0,2.0,
102,8,13.0,1.0,4.0,,,7.0,1.0,2.0,,
1027,8,30.0,7.0,9.0,3.0,2.0,6.0,,15.0,4.0,
1432,8,,,,,,,,,,
1620,8,2.0,1.0,,,,1.0,,1.0,,1.0
1654,8,,,,,,,,,,
1618,8,,,,,,,,,,
1815,8,,,,,,,,,,
1703,8,,,,,,,,,,
1664,8,36.0,7.0,8.0,1.0,,19.0,,9.0,2.0,1.0
1631,8,2.0,0.0,,,,1.0,,1.0,,
1816,8,,,,,,,,,,
1551,8,8.0,0.0,2.0,,,4.0,,2.0,1.0,
1743,8,1.0,0.0,,,,1.0,,,1.0,
231,8,6.0,0.0,1.0,,,5.0,,,1.0,
1396,8,4.0,2.0,1.0,,,,,3.0,,
855,8,18.0,2.0,6.0,,2.0,3.0,,9.0,2.0,
1717,8,,,,,,,,,,
1689,8,8.0,0.0,,,,6.0,,2.0,,
34,8,,,,,,,,,,
958,8,31.0,7.0,8.0,3.0,3.0,14.0,,9.0,3.0,
320,8,21.0,6.0,5.0,1.0,,9.0,,7.0,5.0,
931,8,16.0,2.0,2.0,,1.0,7.0,,7.0,5.0,1.0
1214,8,,,,,,,,,,
1226,8,1.0,0.0,,,,1.0,,,,
122,8,3.0,0.0,,,,2.0,,1.0,,
1250,8,3.0,1.0,,1.0,,1.0,,2.0,2.0,
9865,8,,,,,,,,,,
313,8,,,,,,,,,,
1299,8,31.0,3.0,5.0,7.0,8.0,6.0,,20.0,1.0,
1116,8,,,,,,,,,,
953,8,29.0,5.0,5.0,,1.0,17.0,,7.0,4.0,
1401,8,10.0,0.0,3.0,,1.0,4.0,,3.0,1.0,
1208,8,27.0,2.0,9.0,11.0,3.0,6.0,,12.0,2.0,
1779,8,36.0,6.0,6.0,1.0,2.0,24.0,,6.0,12.0,
48,8,,,,,,,,,,
1252,8,,,,,,,,,,
1782,8,2.0,0.0,1.0,,,1.0,,,,
686,8,,,,,,,,,,
