id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
1209,11,,,,,,,,,,
1971,11,,,,,,,,,,
1309,11,33.0,4.0,7.0,8.0,3.0,17.0,9.0,2.0,,
2310,11,12.0,2.0,2.0,,,7.0,3.0,,,
2117,11,34.0,8.0,6.0,25.0,4.0,5.0,23.0,3.0,,
2304,11,,,,,,,,,,
2228,11,,,,,,,,,,
2047,11,4.0,0.0,1.0,,,3.0,,,,
2269,11,,,,,,,,,,
1830,11,,,,,,,,,,
80,11,25.0,5.0,3.0,1.0,2.0,12.0,10.0,3.0,,
922,11,27.0,2.0,5.0,,2.0,17.0,5.0,2.0,,
1179,11,,,,,,,,,,
1836,11,34.0,4.0,8.0,10.0,4.0,6.0,20.0,1.0,,
2279,11,,,,,,,,,,
2236,11,1.0,0.0,,,,1.0,,1.0,,
1725,11,,,,,,,,,,
1909,11,33.0,3.0,5.0,20.0,3.0,16.0,12.0,6.0,,
2333,11,,,,,,,,,,
2282,11,,,,,,,,,,
2116,11,25.0,6.0,7.0,2.0,3.0,3.0,15.0,1.0,1.0,
1070,11,5.0,0.0,4.0,,,1.0,,,,
2070,11,19.0,5.0,4.0,,,9.0,6.0,1.0,,
1997,11,,,,,,,,,,
1534,11,,,,,,,,,,
720,11,18.0,2.0,5.0,5.0,1.0,5.0,8.0,1.0,,
1059,11,,,,,,,,,,
1428,11,6.0,0.0,1.0,,,3.0,2.0,1.0,,1.0
1936,11,6.0,1.0,,,,3.0,3.0,3.0,,
2171,11,4.0,0.0,1.0,,,2.0,1.0,,,
896,11,17.0,2.0,4.0,,2.0,9.0,4.0,2.0,,
2299,11,,,,,,,,,,
1132,11,24.0,3.0,7.0,3.0,3.0,3.0,14.0,5.0,,1.0
776,11,30.0,3.0,8.0,,1.0,13.0,9.0,3.0,,
59,11,33.0,5.0,11.0,8.0,3.0,9.0,13.0,1.0,,
1585,11,14.0,0.0,3.0,,,6.0,5.0,,,1.0
2056,11,21.0,0.0,7.0,1.0,5.0,5.0,9.0,2.0,,
332,11,18.0,5.0,4.0,,1.0,2.0,12.0,1.0,,
501,11,7.0,0.0,2.0,,,3.0,2.0,,,
2221,11,,,,,,,,,,
2151,11,,,,,,,,,,
2084,11,2.0,0.0,,,,2.0,,,,
2239,11,24.0,7.0,3.0,,,10.0,11.0,,,1.0
1558,11,31.0,6.0,8.0,,1.0,9.0,14.0,6.0,,2.0
2339,11,,,,,,,,,,
1713,11,4.0,0.0,,,,4.0,,,,
1565,11,28.0,9.0,4.0,,2.0,13.0,11.0,3.0,,
2058,11,13.0,0.0,2.0,3.0,2.0,3.0,8.0,3.0,,
2218,11,,,,,,,,,,
1847,11,,,,,,,,,,
2052,11,1.0,0.0,,,,1.0,,,,
1672,11,2.0,0.0,,,,2.0,,,,
723,11,11.0,3.0,2.0,2.0,1.0,5.0,4.0,2.0,,
72,11,10.0,1.0,2.0,,1.0,5.0,3.0,2.0,,
2245,11,14.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,,1.0
1726,11,,,,,,,,,,
2336,11,,,,,,,,,,
755,11,31.0,4.0,10.0,,1.0,14.0,7.0,2.0,,
1727,11,12.0,1.0,3.0,2.0,4.0,3.0,6.0,3.0,,2.0
1553,11,12.0,1.0,4.0,4.0,,4.0,4.0,,,
2259,11,,,,,,,,,,
1589,11,14.0,5.0,3.0,1.0,,2.0,9.0,1.0,,
2192,11,3.0,0.0,1.0,,,1.0,1.0,,,
1464,11,32.0,5.0,6.0,,,16.0,10.0,4.0,,
11,11,18.0,0.0,7.0,,,10.0,1.0,2.0,,
2128,11,1.0,0.0,1.0,,,,,,,
2188,11,21.0,4.0,6.0,,,9.0,6.0,10.0,,1.0
1759,11,7.0,2.0,2.0,,,4.0,1.0,,,
1151,11,38.0,7.0,10.0,14.0,7.0,9.0,19.0,,,
915,11,35.0,11.0,8.0,,2.0,10.0,17.0,4.0,,
1634,11,30.0,5.0,9.0,1.0,2.0,14.0,7.0,4.0,,
1472,11,,,,,,,,,,
1559,11,5.0,0.0,1.0,,,,4.0,,,
1175,11,24.0,7.0,4.0,3.0,1.0,8.0,12.0,1.0,,
2318,11,,,,,,,,,,
1146,11,36.0,6.0,8.0,3.0,1.0,22.0,6.0,4.0,,
2191,11,12.0,0.0,3.0,,,5.0,4.0,,,
2250,11,,,,,,,,,,
2364,11,8.0,0.0,2.0,,,3.0,3.0,,,
2311,11,,,,,,,,,,
2320,11,,,,,,,,,,
