id,year_id,appearances,clean_sheet,losses,wins,draws,goals,yellow_card,goal_assist,own_goals,red_card
2282,13,3.0,0.0,2.0,1.0,,,,,,
2505,13,,,,,,,,,,
2667,13,,,,,,,,,,
2749,13,,,,,,,,,,
2171,13,13.0,1.0,4.0,4.0,5.0,1.0,1.0,,,
2811,13,23.0,2.0,11.0,7.0,5.0,1.0,1.0,1.0,,
2370,13,,,,,,,,,,
2733,13,14.0,0.0,5.0,4.0,5.0,1.0,,,,
2719,13,24.0,2.0,8.0,11.0,5.0,2.0,1.0,4.0,,
2218,13,,,,,,,,,,
2284,13,,,,,,,,,,
2128,13,1.0,0.0,,,1.0,,,,,
2191,13,15.0,3.0,5.0,7.0,3.0,2.0,1.0,1.0,,
2799,13,3.0,1.0,1.0,1.0,1.0,,,,,
2336,13,,,,,,,,,,
2250,13,4.0,1.0,2.0,2.0,,,,,,
1236,13,,,,,,,,,,
1175,13,36.0,12.0,12.0,18.0,6.0,4.0,7.0,2.0,,
2514,13,9.0,1.0,5.0,,4.0,1.0,1.0,,,
59,13,17.0,0.0,9.0,,8.0,2.0,1.0,,,
2065,13,1.0,0.0,1.0,,,,,,,
2082,13,,,,,,,,,,
2679,13,,,,,,,,,,
1565,13,,,,,,,,,,
2239,13,27.0,3.0,11.0,12.0,4.0,,1.0,,,
1634,13,29.0,8.0,12.0,11.0,6.0,,1.0,4.0,,
2685,13,,,,,,,,,,
2671,13,,,,,,,,,,
1836,13,,,,,,,,,,
1553,13,2.0,0.0,1.0,1.0,,1.0,,,,
2614,13,,,,,,,,,,
915,13,38.0,7.0,14.0,17.0,7.0,,4.0,2.0,,
496,13,,,,,,,,,,
2742,13,,,,,,,,,,
1841,13,,,,,,,,,,
2559,13,3.0,1.0,2.0,,1.0,,,,,
2678,13,,,,,,,,,,
1307,13,,,,,,,,,,
2651,13,35.0,24.0,1.0,27.0,7.0,,,,,
1427,13,1.0,0.0,1.0,,,,,,,
2783,13,5.0,0.0,4.0,1.0,,,,,,
2413,13,15.0,5.0,,12.0,3.0,,2.0,1.0,,
2553,13,30.0,1.0,16.0,8.0,6.0,12.0,2.0,3.0,,
2608,13,,,,,,,,,,
2056,13,36.0,5.0,10.0,14.0,12.0,5.0,7.0,1.0,,
2162,13,15.0,2.0,1.0,9.0,5.0,,2.0,,,
2429,13,,,,,,,,,,
2689,13,,,,,,,,,,
755,13,24.0,3.0,10.0,4.0,10.0,1.0,1.0,,,
2457,13,,,,,,,,,,
2769,13,3.0,0.0,3.0,,,,,,,
2768,13,,,,,,,,,,
961,13,22.0,1.0,9.0,8.0,5.0,,3.0,,,
2112,13,26.0,15.0,2.0,18.0,6.0,,,,,
1464,13,36.0,11.0,15.0,12.0,9.0,2.0,4.0,2.0,,
2729,13,7.0,0.0,1.0,4.0,2.0,,,1.0,,
723,13,17.0,3.0,6.0,7.0,4.0,1.0,2.0,2.0,,
2627,13,,,,,,,,,,
1526,13,35.0,3.0,14.0,12.0,9.0,13.0,5.0,2.0,,
1494,13,35.0,14.0,5.0,22.0,8.0,2.0,7.0,1.0,1.0,
972,13,36.0,9.0,14.0,11.0,11.0,,3.0,,,
1676,13,3.0,0.0,,2.0,1.0,,,,,
2832,13,5.0,0.0,4.0,,1.0,,,1.0,,1.0
2522,13,33.0,6.0,4.0,18.0,11.0,5.0,3.0,4.0,,
2169,13,34.0,8.0,13.0,10.0,11.0,,2.0,5.0,,
1504,13,30.0,9.0,11.0,9.0,10.0,,3.0,1.0,,
2440,13,,,,,,,,,,
2711,13,29.0,6.0,14.0,9.0,6.0,6.0,7.0,,,2.0
2805,13,5.0,0.0,2.0,1.0,2.0,,2.0,,,
2732,13,,,,,,,,,,
1726,13,,,,,,,,,,
2727,13,,,,,,,,,,
2339,13,4.0,0.0,1.0,1.0,2.0,,,,,
1315,13,32.0,4.0,16.0,9.0,7.0,3.0,3.0,,1.0,
2817,13,,,,,,,,,,
394,13,5.0,1.0,3.0,2.0,,,,,,
2360,13,2.0,0.0,2.0,,,,1.0,,,
2423,13,28.0,4.0,12.0,9.0,7.0,1.0,2.0,,,
27,13,29.0,9.0,11.0,8.0,10.0,9.0,7.0,2.0,,
2723,13,16.0,2.0,5.0,7.0,4.0,4.0,,1.0,,
929,13,32.0,7.0,12.0,11.0,9.0,,5.0,3.0,,1.0
2801,13,,,,,,,,,,
2289,13,27.0,2.0,6.0,11.0,10.0,9.0,7.0,4.0,,
2823,13,6.0,0.0,5.0,,1.0,,1.0,,,
2822,13,2.0,0.0,1.0,,1.0,,,,,
2531,13,11.0,0.0,4.0,3.0,4.0,1.0,,,,
1629,13,27.0,3.0,12.0,4.0,11.0,12.0,1.0,6.0,,1.0
2285,13,10.0,0.0,4.0,5.0,1.0,,2.0,,,
1778,13,,,,,,,,,,
1868,13,8.0,1.0,5.0,1.0,2.0,,,,,
2313,13,3.0,1.0,,1.0,2.0,,,,,
2201,13,,,,,,,,,,
1146,13,35.0,6.0,15.0,5.0,15.0,3.0,2.0,,,1.0
1851,13,12.0,0.0,7.0,3.0,2.0,,,2.0,,1.0
2125,13,38.0,10.0,12.0,13.0,13.0,1.0,3.0,,,
2800,13,,,,,,,,,,
1391,13,37.0,6.0,17.0,6.0,14.0,2.0,5.0,4.0,,
2437,13,1.0,0.0,1.0,,,,,,,
2520,13,11.0,0.0,5.0,3.0,3.0,,2.0,,,
2609,13,,,,,,,,,,
1581,13,,,,,,,,,,
2037,13,3.0,0.0,2.0,,1.0,,,1.0,,
2384,13,5.0,0.0,2.0,,3.0,1.0,,,,
528,13,5.0,0.0,3.0,1.0,1.0,,,1.0,,
2470,13,,,,,,,,,,
2023,13,1.0,0.0,1.0,,,,,,,
2314,13,26.0,3.0,8.0,10.0,8.0,,4.0,,,
2632,13,,,,,,,,,,
2662,13,26.0,6.0,,21.0,5.0,10.0,2.0,5.0,,
2543,13,,,,,,,,,,
2765,13,33.0,5.0,17.0,5.0,11.0,1.0,2.0,2.0,,
2618,13,,,,,,,,,,
2819,13,31.0,2.0,15.0,3.0,13.0,11.0,,1.0,,
2343,13,,,,,,,,,,
1337,13,11.0,2.0,1.0,3.0,7.0,2.0,4.0,3.0,,
908,13,34.0,6.0,13.0,10.0,11.0,10.0,6.0,4.0,,
1898,13,32.0,9.0,15.0,9.0,8.0,3.0,,1.0,,
1740,13,23.0,2.0,7.0,6.0,10.0,4.0,,,,1.0
1080,13,17.0,3.0,8.0,5.0,4.0,,,,,
1426,13,21.0,3.0,11.0,4.0,6.0,1.0,,,2.0,
2122,13,35.0,9.0,10.0,12.0,13.0,5.0,1.0,11.0,,
2196,13,29.0,3.0,10.0,6.0,13.0,3.0,2.0,3.0,,
1082,13,37.0,4.0,18.0,7.0,12.0,6.0,,6.0,,
2425,13,,,,,,,,,,
2772,13,27.0,3.0,12.0,4.0,11.0,,,1.0,,
2788,13,,,,,,,,,,
890,13,36.0,6.0,16.0,5.0,15.0,,1.0,,,
1184,13,35.0,11.0,11.0,12.0,12.0,2.0,5.0,3.0,2.0,1.0
1371,13,34.0,11.0,13.0,12.0,9.0,1.0,4.0,3.0,,
9436,13,,,,,,,,,,
2074,13,7.0,0.0,6.0,,1.0,1.0,1.0,,,
2187,13,17.0,1.0,8.0,5.0,4.0,1.0,1.0,,,
1824,13,,,,,,,,,,
1840,13,28.0,4.0,9.0,10.0,9.0,2.0,1.0,2.0,,
1881,13,36.0,13.0,11.0,18.0,7.0,,9.0,1.0,,
1004,13,30.0,7.0,1.0,23.0,6.0,6.0,1.0,7.0,,
2202,13,,,,,,,,,,
2641,13,29.0,1.0,9.0,13.0,7.0,1.0,3.0,1.0,1.0,
2538,13,,,,,,,,,,
2830,13,5.0,0.0,3.0,,2.0,,,,,
2746,13,,,,,,,,,,
2170,13,,,,,,,,,,
2109,13,24.0,5.0,8.0,11.0,5.0,,,,,
2163,13,5.0,0.0,2.0,2.0,1.0,,,,,
2516,13,12.0,4.0,3.0,4.0,5.0,,,,,
1342,13,36.0,8.0,11.0,16.0,9.0,,1.0,,,1.0
2053,13,10.0,1.0,,8.0,2.0,,,,,
2208,13,27.0,3.0,9.0,11.0,7.0,,4.0,,,
2643,13,27.0,2.0,8.0,10.0,9.0,5.0,2.0,1.0,1.0,
2806,13,2.0,1.0,,1.0,1.0,,,,,
