id,year_id,formation_place,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,accurate_fwd_zone_pass,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_right,att_freekick_total,att_ibox_miss,att_lf_total,att_lg_centre,att_miss_high,att_miss_left,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,duel_lost,duel_won,effective_blocked_cross,effective_clearance,final_third_entries,fouled_final_third,fouls,freekick_cross,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,hand_ball,head_pass,interception,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,second_goal_assist,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_flick_on,accurate_launches,accurate_pull_back,accurate_through_ball,att_bx_centre,att_goal_high_left,att_hd_goal,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_target,att_lf_target,att_miss_right,att_obox_post,att_post_high,big_chance_created,big_chance_missed,big_chance_scored,clean_sheet,draws,effective_head_clearance,error_lead_to_shot,goals,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,hit_woodwork,interceptions_in_box,offside_provoked,overrun,penalty_conceded,penalty_won,pen_goals_conceded,post_scoring_att,shield_ball_oop,six_yard_block,total_fastbreak,total_flick_on,total_pull_back,total_through_ball,att_bx_left,att_miss_high_left,att_one_on_one,att_sv_high_centre,assist_pass_lost,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_target,att_goal_low_right,att_hd_miss,att_hd_target,att_ibox_post,att_lf_goal,att_miss_high_right,att_obox_goal,att_obxd_right,att_obx_right,att_post_right,att_rf_goal,att_setpiece,shot_fastbreak,att_sv_high_right,att_cmiss_high_left,att_goal_high_right,assist_penalty_won,att_cmiss_high,att_goal_low_centre,att_sv_high_left,error_lead_to_goal,foul_throw_in,att_goal_high_centre,att_goal_low_left,att_lg_right,att_obxd_left,att_pen_goal,att_pen_target,goal_assist_deadball,goal_assist_setplay,att_hd_post,clearance_off_line,own_goals,att_freekick_post,attempts_ibox,att_cmiss_high_right,att_obp_goal,att_obx_left,att_post_left,touches_in_opp_box,red_card,second_yellow,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,goal_kicks,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,stand_catch,total_keeper_sweeper,assist_attempt_saved,attempts_obox,goal_fastbreak,cross_not_claimed,dive_catch,gk_smother,good_high_claim,penalty_faced,penalty_save,stand_save,total_high_claim,assist_blocked_shot,assist_free_kick_won,assist_handball_won,assist_own_goal,att_lg_left,dangerous_play,att_pen_miss,assist_post,att_pen_post
4834,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4738,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4515,22,0.0,193.0,35.0,5.0,10.0,5.0,2.0,175.0,15.0,53.0,358.0,4.0,1.0,4.0,14.0,1.0,82.0,50.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,7.0,3.0,7.0,1.0,1.0,1.0,68.0,46.0,2.0,8.0,3.0,9.0,24.0,3.0,6.0,12.0,30.0,69.0,2.0,3.0,70.0,5.0,7.0,5.0,101.0,6.0,17.0,13.0,4.0,1.0,16.0,9.0,9.0,1.0,110.0,47.0,25.0,11.0,2.0,656.0,4.0,9.0,3.0,378.0,1.0,39.0,63.0,23.0,100.0,100.0,1.0,24.0,21.0,8.0,129.0,1.0,2.0,78.0,333.0,7.0,13.0,201.0,63.0,3.0,11.0,23.0,37.0,14.0,108.0,244.0,4.0,15.0,72.0,1.0,408.0,8.0,6.0,8.0,29.0,4.0,572.0,8.0,8.0,30.0,3.0,9.0,5.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4190,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654,22,72.0,546.0,61.0,,10.0,10.0,,847.0,4.0,62.0,1383.0,255.0,51.0,46.0,35.0,24.0,156.0,167.0,26.0,,7.0,,5.0,9.0,,5.0,3.0,3.0,4.0,,8.0,19.0,,11.0,,,1.0,204.0,160.0,16.0,45.0,9.0,40.0,1.0,63.0,14.0,24.0,167.0,201.0,16.0,84.0,304.0,5.0,53.0,,662.0,34.0,33.0,26.0,7.0,3.0,117.0,70.0,70.0,1.0,680.0,241.0,159.0,6.0,15.0,3079.0,13.0,19.0,2.0,1609.0,10.0,14.0,658.0,47.0,402.0,402.0,7.0,90.0,63.0,45.0,87.0,,10.0,450.0,1361.0,25.0,33.0,594.0,125.0,84.0,16.0,,77.0,77.0,600.0,1116.0,28.0,4.0,107.0,,1633.0,21.0,,1.0,120.0,283.0,2459.0,21.0,21.0,32.0,24.0,7.0,30.0,92.0,11.0,2.0,3.0,9.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,15.0,5.0,60.0,3.0,1.0,1.0,6.0,5.0,6.0,60.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2579,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4508,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4539,22,0.0,37.0,3.0,,3.0,3.0,,80.0,2.0,4.0,114.0,1.0,5.0,3.0,14.0,4.0,71.0,55.0,6.0,,1.0,,3.0,5.0,,,1.0,,1.0,1.0,2.0,11.0,4.0,6.0,2.0,1.0,,23.0,44.0,1.0,15.0,3.0,6.0,1.0,20.0,1.0,41.0,82.0,69.0,1.0,,18.0,4.0,8.0,,42.0,5.0,13.0,12.0,1.0,,10.0,4.0,4.0,,29.0,10.0,4.0,8.0,3.0,611.0,1.0,6.0,4.0,145.0,,22.0,29.0,8.0,140.0,140.0,7.0,20.0,17.0,15.0,52.0,1.0,4.0,47.0,114.0,12.0,7.0,40.0,4.0,,55.0,,21.0,21.0,65.0,127.0,1.0,2.0,6.0,4.0,146.0,11.0,4.0,9.0,20.0,2.0,365.0,18.0,18.0,13.0,3.0,33.0,9.0,16.0,1.0,2.0,,,2.0,3.0,,,,3.0,,3.0,,2.0,,,1.0,1.0,,,3.0,,,,,1.0,1.0,1.0,,,,,7.0,,,,,,,,4.0,,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302,22,340.0,218.0,16.0,2.0,11.0,9.0,,343.0,47.0,27.0,550.0,7.0,60.0,52.0,29.0,10.0,205.0,160.0,17.0,2.0,6.0,6.0,8.0,35.0,,,8.0,11.0,15.0,8.0,33.0,42.0,3.0,14.0,6.0,,4.0,159.0,108.0,7.0,60.0,17.0,32.0,6.0,39.0,16.0,57.0,202.0,179.0,7.0,24.0,93.0,9.0,39.0,,194.0,20.0,47.0,38.0,9.0,,80.0,14.0,14.0,,218.0,67.0,39.0,19.0,3.0,1805.0,12.0,7.0,14.0,691.0,4.0,114.0,125.0,51.0,333.0,333.0,7.0,41.0,60.0,60.0,139.0,,24.0,168.0,531.0,34.0,19.0,259.0,41.0,24.0,48.0,3.0,58.0,55.0,251.0,509.0,14.0,52.0,54.0,9.0,710.0,55.0,5.0,9.0,59.0,9.0,1191.0,44.0,44.0,43.0,9.0,30.0,24.0,48.0,5.0,14.0,,,2.0,8.0,2.0,1.0,5.0,6.0,2.0,3.0,7.0,12.0,,,3.0,1.0,1.0,2.0,1.0,11.0,,3.0,1.0,,,,11.0,1.0,,,1.0,,,1.0,1.0,,,1.0,43.0,1.0,9.0,3.0,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
