id,year_id,formation_place,accurate_back_zone_pass,accurate_fwd_zone_pass,accurate_layoffs,accurate_pass,accurate_pull_back,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,backward_pass,ball_recovery,blocked_pass,challenge_lost,crosses_18yard,crosses_18yardplus,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouls,fwd_pass,goals_conceded,goals_conceded_ibox,hand_ball,head_clearance,head_pass,leftside_pass,long_pass_own_to_opp,losses,mins_played,open_play_pass,overrun,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_pull_back,total_sub_on,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,won_corners,won_tackle,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_launches,accurate_long_balls,att_assist_openplay,att_bx_centre,att_bx_right,att_cmiss_right,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_lf_total,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_obx_right,att_openplay,att_post_left,att_rf_target,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_right,big_chance_missed,blocked_cross,blocked_scoring_att,corner_taken,dangerous_play,dispossessed,effective_blocked_cross,error_lead_to_shot,fouled_final_third,game_started,goals_conceded_obox,hit_woodwork,interception,interception_won,long_pass_own_to_opp_success,lost_corners,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,pen_goals_conceded,poss_won_att_3rd,post_scoring_att,shot_off_target,total_att_assist,total_corners_intobox,total_scoring_att,total_sub_off,wins,won_contest,clean_sheet,interceptions_in_box,second_goal_assist,yellow_card,att_cmiss_left,att_freekick_post,att_freekick_target,att_freekick_total,att_goal_high_centre,att_goal_low_left,att_hd_goal,att_hd_target,att_ibox_goal,att_lf_goal,att_miss_high,att_miss_high_left,att_obox_post,att_post_high,att_post_right,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_left,big_chance_created,big_chance_scored,goals,goals_openplay,last_man_tackle,shield_ball_oop,total_offside,accurate_corners_intobox,accurate_freekick_cross,accurate_through_ball,att_assist_setplay,att_bx_left,error_lead_to_goal,freekick_cross,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,six_yard_block,total_through_ball,own_goals,penalty_conceded,assist_penalty_won,att_fastbreak,att_goal_low_centre,att_goal_low_right,att_obox_goal,att_one_on_one,att_rf_goal,goal_fastbreak,penalty_won,shot_fastbreak,total_fastbreak,att_cmiss_high,touches_in_opp_box,accurate_goal_kicks,accurate_keeper_throws,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,saved_ibox,saves,total_high_claim,assist_attempt_saved,att_goal_high_right,att_hd_post,att_pen_goal,att_pen_miss,red_card,second_yellow,att_cmiss_high_left,att_freekick_goal,att_freekick_miss,att_goal_high_left,att_lg_centre,clearance_off_line,foul_throw_in,att_cmiss_high_right,assist_pass_lost,assist_own_goal,att_obxd_left,att_obx_left,diving_save,attempts_obox,assist_blocked_shot,assist_free_kick_won,accurate_keeper_sweeper,cross_not_claimed,dive_catch,dive_save,gk_smother,penalty_faced,punches,saved_obox,stand_catch,stand_save,total_keeper_sweeper,assist_handball_won,assist_post,att_obxd_right,att_lg_left,attempts_ibox,att_obp_goal,att_corner,penalty_save,att_pen_target,att_pen_post
11590,42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9970,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11323,42,0.0,8.0,7.0,1.0,15.0,1.0,2.0,1.0,2.0,4.0,1.0,10.0,4.0,6.0,7.0,1.0,3.0,2.0,1.0,1.0,7.0,5.0,2.0,2.0,6.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,64.0,21.0,1.0,6.0,1.0,3.0,15.0,15.0,3.0,4.0,1.0,8.0,5.0,15.0,1.0,10.0,1.0,2.0,2.0,3.0,3.0,8.0,1.0,14.0,2.0,1.0,2.0,21.0,1.0,4.0,2.0,3.0,39.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4747,42,55.0,131.0,176.0,20.0,306.0,,3.0,13.0,13.0,17.0,7.0,75.0,53.0,58.0,34.0,20.0,12.0,3.0,6.0,6.0,53.0,55.0,14.0,5.0,62.0,14.0,125.0,11.0,10.0,,6.0,33.0,104.0,46.0,4.0,752.0,361.0,,68.0,52.0,23.0,107.0,105.0,10.0,22.0,20.0,85.0,83.0,296.0,12.0,143.0,35.0,16.0,9.0,10.0,9.0,121.0,8.0,239.0,5.0,21.0,27.0,372.0,1.0,9.0,28.0,4.0,534.0,12.0,12.0,9.0,1.0,19.0,24.0,1.0,1.0,1.0,1.0,17.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,10.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,10.0,3.0,1.0,2.0,8.0,1.0,1.0,22.0,22.0,31.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,1.0,12.0,5.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4809,42,6.0,66.0,50.0,,115.0,,37.0,6.0,1.0,4.0,3.0,27.0,14.0,25.0,26.0,6.0,9.0,2.0,5.0,1.0,28.0,25.0,6.0,3.0,20.0,5.0,52.0,4.0,3.0,,3.0,14.0,59.0,23.0,1.0,315.0,141.0,1.0,1.0,43.0,10.0,58.0,58.0,18.0,6.0,6.0,10.0,25.0,110.0,3.0,80.0,10.0,6.0,9.0,7.0,7.0,37.0,,73.0,21.0,,30.0,146.0,,1.0,13.0,45.0,269.0,4.0,4.0,7.0,1.0,10.0,4.0,1.0,1.0,,5.0,11.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,3.0,,,,3.0,3.0,1.0,,3.0,1.0,,13.0,13.0,11.0,2.0,,,1.0,,,,2.0,,1.0,1.0,,1.0,,2.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4811,42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,42,202.0,742.0,412.0,,1153.0,,4.0,58.0,163.0,34.0,8.0,241.0,183.0,80.0,163.0,18.0,9.0,2.0,,7.0,103.0,249.0,218.0,152.0,205.0,28.0,585.0,36.0,31.0,,160.0,235.0,286.0,338.0,10.0,3060.0,1353.0,,167.0,106.0,17.0,307.0,265.0,101.0,62.0,18.0,437.0,150.0,1128.0,11.0,813.0,148.0,260.0,22.0,2.0,2.0,253.0,8.0,577.0,59.0,,224.0,1388.0,,,59.0,4.0,1953.0,9.0,9.0,16.0,4.0,44.0,80.0,1.0,1.0,4.0,17.0,119.0,9.0,16.0,,1.0,6.0,12.0,1.0,8.0,2.0,6.0,,3.0,2.0,5.0,1.0,3.0,4.0,1.0,10.0,,9.0,1.0,2.0,15.0,3.0,1.0,,2.0,5.0,4.0,,,6.0,5.0,1.0,,34.0,5.0,5.0,96.0,96.0,221.0,32.0,11.0,5.0,4.0,10.0,22.0,1.0,,4.0,16.0,9.0,,30.0,,17.0,16.0,10.0,14.0,,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13128,42,181.0,271.0,585.0,29.0,822.0,,11.0,27.0,11.0,25.0,13.0,182.0,99.0,152.0,105.0,50.0,30.0,19.0,21.0,6.0,103.0,80.0,13.0,,141.0,19.0,274.0,37.0,33.0,,,52.0,284.0,103.0,16.0,1824.0,960.0,4.0,167.0,193.0,127.0,311.0,309.0,44.0,53.0,50.0,281.0,289.0,797.0,34.0,304.0,50.0,15.0,25.0,109.0,56.0,378.0,22.0,796.0,31.0,31.0,95.0,991.0,1.0,4.0,32.0,11.0,1348.0,30.0,30.0,26.0,11.0,23.0,22.0,34.0,12.0,10.0,5.0,50.0,21.0,2.0,1.0,,,,1.0,1.0,,2.0,3.0,4.0,1.0,2.0,,6.0,5.0,4.0,15.0,,17.0,,3.0,15.0,,3.0,1.0,,2.0,7.0,56.0,,13.0,2.0,1.0,4.0,21.0,4.0,,27.0,27.0,62.0,6.0,,16.0,23.0,6.0,,2.0,8.0,,6.0,39.0,53.0,19.0,8.0,3.0,11.0,3.0,1.0,,4.0,,,,1.0,,,,,,,2.0,1.0,,,,,,,2.0,2.0,,,,,,1.0,22.0,4.0,1.0,13.0,1.0,1.0,16.0,5.0,2.0,4.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,42,172.0,909.0,386.0,,1293.0,,2.0,36.0,54.0,29.0,7.0,190.0,136.0,81.0,126.0,17.0,7.0,1.0,1.0,11.0,63.0,134.0,145.0,98.0,136.0,17.0,513.0,29.0,27.0,,107.0,114.0,265.0,329.0,5.0,2595.0,1442.0,,190.0,47.0,15.0,224.0,195.0,83.0,42.0,17.0,615.0,84.0,1263.0,7.0,964.0,51.0,174.0,14.0,2.0,2.0,150.0,2.0,512.0,100.0,,199.0,1474.0,,,48.0,2.0,1865.0,9.0,9.0,21.0,2.0,36.0,31.0,2.0,2.0,1.0,26.0,102.0,6.0,7.0,,,1.0,3.0,3.0,3.0,,2.0,,4.0,1.0,,1.0,1.0,2.0,,3.0,,3.0,,,2.0,2.0,1.0,,,7.0,4.0,,,3.0,7.0,1.0,1.0,29.0,2.0,,63.0,63.0,223.0,12.0,24.0,4.0,2.0,2.0,18.0,2.0,1.0,,5.0,6.0,,11.0,1.0,13.0,13.0,9.0,9.0,,5.0,,,,,,,,2.0,,,2.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9793,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
