id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_left,att_goal_high_right,att_ibox_blocked,att_lf_total,att_miss_high,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_one_on_one,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_tackle,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_throws,assist_own_goal,att_bx_centre,att_bx_right,att_cmiss_left,att_cmiss_right,att_fastbreak,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_miss,att_hd_target,att_hd_total,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_miss_high_left,att_miss_high_right,att_miss_left,att_obox_post,att_obp_goal,att_obx_right,att_post_right,att_setpiece,att_sv_high_left,att_sv_low_centre,big_chance_created,big_chance_scored,blocked_cross,clearance_off_line,dangerous_play,effective_blocked_cross,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,hit_woodwork,interceptions_in_box,offside_provoked,overrun,penalty_conceded,pen_goals_conceded,post_scoring_att,shield_ball_oop,shot_fastbreak,total_fastbreak,total_flick_on,total_offside,total_throws,won_corners,yellow_card,att_cmiss_high,att_goal_high_centre,att_goal_high_left,att_hd_goal,att_sv_low_left,error_lead_to_shot,fouled_final_third,goal_assist_setplay,own_goals,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_assist_setplay,att_cmiss_high_right,att_lg_centre,att_sv_high_centre,att_sv_high_right,foul_throw_in,att_freekick_miss,att_freekick_total,att_ibox_post,error_lead_to_goal,last_man_tackle,freekick_cross,assist_attempt_saved,assist_free_kick_won,accurate_pull_back,corner_taken,times_tackled,winning_goal,accurate_corners_intobox,accurate_freekick_cross,goal_assist_deadball,second_goal_assist,total_corners_intobox,att_hd_post,red_card,second_yellow,att_post_high,assist_penalty_won,att_cmiss_high_left,penalty_won,att_freekick_goal,att_freekick_target,att_obxd_left,att_obx_left,goal_fastbreak,att_post_left,att_pen_goal,att_freekick_post,assist_blocked_shot,assist_handball_won,assist_pass_lost,assist_post,att_pen_post,att_pen_target,att_obxd_right,att_corner,rescinded_red_card,att_pen_miss,att_lg_right,att_lg_left
3642,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5577,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19678,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,79,150.0,15.0,181.0,1.0,6.0,16.0,331.0,2.0,3.0,0.0,12.0,5.0,37.0,24.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,65.0,37.0,2.0,13.0,2.0,14.0,1.0,1.0,1.0,2.0,2.0,30.0,22.0,7.0,5.0,51.0,10.0,89.0,5.0,1.0,7.0,7.0,1.0,5.0,14.0,8.0,8.0,112.0,27.0,20.0,2.0,1.0,522.0,2.0,3.0,2.0,382.0,2.0,55.0,50.0,11.0,64.0,64.0,4.0,12.0,21.0,13.0,119.0,2.0,1.0,83.0,328.0,8.0,5.0,167.0,25.0,7.0,4.0,2.0,2.0,69564.45373535156,110.0,220.0,2.0,8.0,24.0,385.0,1.0,6.0,2.0,7.0,15.0,3.0,456.0,7.0,3.0,3.0,4.0,8.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13823,79,883.0,75.0,1000.0,9.0,27.0,84.0,1877.0,2.0,52.0,43.0,37.0,20.0,265.0,134.0,20.0,27.0,37.0,3.0,,6.0,12.0,2.0,6.0,4.0,2.0,15.0,5.0,26.0,,34.0,5.0,6.0,31.0,3.0,290.0,345.0,1.0,77.0,10.0,52.0,9.0,17.0,9.0,46.0,8.0,203.0,188.0,55.0,26.0,221.0,44.0,614.0,37.0,7.0,63.0,57.0,5.0,26.0,144.0,54.0,54.0,620.0,236.0,171.0,18.0,10.0,3325.0,18.0,22.0,17.0,2186.0,10.0,286.0,305.0,79.0,512.0,512.0,15.0,131.0,199.0,77.0,720.0,20.0,,463.0,1826.0,33.0,40.0,983.0,137.0,55.0,53.0,26.0,26.0,434650.4697265625,623.0,1287.0,32.0,29.0,142.0,2244.0,1.0,47.0,1.0,,79.0,2.0,2803.0,70.0,55.0,55.0,26.0,11.0,41.0,52.0,6.0,6.0,9.0,2.0,1.0,13.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,6.0,1.0,2.0,6.0,6.0,3.0,2.0,3.0,2.0,1.0,7.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,2.0,16.0,2.0,2.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3156,79,545.0,42.0,226.0,22.0,,80.0,769.0,,34.0,54.0,28.0,20.0,187.0,149.0,10.0,,6.0,,,3.0,,1.0,,,,,,,,,,1.0,2.0,,88.0,142.0,,13.0,3.0,19.0,4.0,1.0,3.0,6.0,11.0,84.0,120.0,126.0,67.0,139.0,26.0,417.0,26.0,2.0,38.0,33.0,,67.0,131.0,48.0,48.0,177.0,194.0,103.0,15.0,14.0,2273.0,4.0,4.0,5.0,918.0,13.0,123.0,61.0,21.0,215.0,215.0,1.0,101.0,40.0,13.0,279.0,2.0,3.0,91.0,743.0,9.0,8.0,610.0,81.0,126.0,10.0,4.0,4.0,257184.7165527344,164.0,355.0,75.0,,164.0,961.0,,10.0,4.0,2.0,29.0,,1292.0,19.0,10.0,10.0,27.0,2.0,10.0,22.0,2.0,2.0,1.0,14.0,,7.0,,1.0,,,,,1.0,2.0,2.0,6.0,2.0,2.0,3.0,,,,,1.0,,,,,3.0,,2.0,1.0,2.0,5.0,1.0,,5.0,5.0,2.0,1.0,1.0,1.0,0.0,11.0,4.0,1.0,,1.0,,1.0,,,2.0,,15.0,2.0,7.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,79,353.0,19.0,241.0,118.0,,340.0,594.0,,4.0,15.0,38.0,,330.0,211.0,,,1.0,,,,,,,,,,,,,,,,,,,365.0,,2.0,,,9.0,,,,9.0,4.0,17.0,25.0,1.0,202.0,1.0,891.0,38.0,,56.0,48.0,,1.0,1.0,0.0,0.0,112.0,691.0,244.0,21.0,23.0,3420.0,1.0,,,534.0,0.0,113.0,193.0,12.0,524.0,524.0,,38.0,,2.0,110.0,,,40.0,335.0,,1.0,431.0,27.0,25.0,0.0,,,163263.66479492188,202.0,682.0,368.0,1.0,857.0,1113.0,,,,,,,1496.0,,,,3.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,8.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,168.0,10.0,158.0,1.0,12.0,15.0,75.0,5.0,358.0,39.0,288.0,159.0,6.0,3.0,15.0,91.0,45.0,137.0,11.0,2.0,42.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8962,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3925,79,82.0,9.0,240.0,2.0,18.0,5.0,319.0,,160.0,145.0,35.0,19.0,246.0,166.0,50.0,9.0,18.0,0.0,1.0,10.0,10.0,3.0,7.0,2.0,0.0,4.0,3.0,8.0,1.0,42.0,2.0,6.0,29.0,2.0,98.0,75.0,7.0,53.0,12.0,13.0,3.0,31.0,3.0,33.0,11.0,250.0,240.0,70.0,43.0,85.0,38.0,227.0,30.0,6.0,49.0,42.0,4.0,43.0,210.0,14.0,14.0,157.0,49.0,11.0,17.0,7.0,2601.0,4.0,17.0,20.0,550.0,,49.0,191.0,46.0,394.0,394.0,10.0,39.0,26.0,53.0,76.0,27.0,1.0,141.0,312.0,22.0,21.0,117.0,20.0,70.0,26.0,34.0,34.0,283656.22497558594,287.0,475.0,13.0,23.0,24.0,558.0,1.0,59.0,11.0,5.0,48.0,,1048.0,95.0,53.0,53.0,39.0,7.0,11.0,36.0,3.0,3.0,34.0,25.0,1.0,29.0,9.0,3.0,3.0,,2.0,,1.0,11.0,6.0,18.0,6.0,23.0,11.0,3.0,2.0,1.0,3.0,13.0,,,,,6.0,2.0,5.0,3.0,4.0,6.0,,1.0,6.0,7.0,2.0,1.0,2.0,7.0,,1.0,,9.0,,3.0,,1.0,,,130.0,23.0,33.0,19.0,6.0,0.0,2.0,,1.0,3.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
