id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,attempts_conceded_ibox,game_started,goals_conceded,goals_conceded_ibox,goal_assist_openplay,mins_played,ontarget_att_assist,open_play_pass,poss_lost_all,poss_lost_ctrl,times_tackled,total_att_assist,total_pass,touches,winning_goal,own_goals,attempts_ibox,att_bx_centre,att_ibox_goal,att_lf_goal,att_lf_total,att_openplay,goals_openplay,ontarget_scoring_att,total_scoring_att,att_rf_goal,att_rf_total,total_sub_on,accurate_pass,successful_open_play_pass,total_sub_off
562,41975.0,Andy Turner,Andy,Turner,1975-03-23,England,Northern Ireland,,M,Midfielder,1,18.0,0.0,5.0,3.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,2025.0,David Tuttle,David,Tuttle,1972-06-02,England,England,,D,Defender,1,5.0,0.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4432.0,David Unsworth,David,Unsworth,1973-10-16,England,England,25.0,D,Defender,1,3.0,0.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,552.0,Pat van der Hauwe,Pat,van der Hauwe,1960-12-16,Belgium,Wales,,M,Midfielder,1,18.0,1.0,3.0,,7.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,625.0,Imre Varadi,Imre,Varadi,1959-07-08,England,England,,F,Forward,1,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,649.0,Ken Veysey,Ken,Veysey,1967-06-08,England,England,,G,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,42011.0,Michel Vonk,Michel,Vonk,1968-10-28,Netherlands,Netherlands,,D,Defender,1,26.0,7.0,8.0,3.0,9.0,9.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,128587.0,Chris Waddle,Chris,Waddle,1960-12-14,England,England,10.0,M,Centre Central Midfielder,1,33.0,6.0,11.0,1.0,10.0,12.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,3823.0,Ian Walker,Ian,Walker,1971-10-31,England,England,12.0,G,Goalkeeper,1,17.0,2.0,6.0,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,42034.0,Ray Wallace,Ray,Wallace,1969-10-02,England,England,,D,Defender,1,6.0,1.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,4042.0,Gary Walsh,Gary,Walsh,1968-03-21,England,England,,G,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,42046.0,Mark Walters,Mark,Walters,1964-02-06,England,England,,M,Midfielder,1,34.0,5.0,9.0,11.0,14.0,11.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,451.0,David Walton,David,Walton,1973-04-10,England,England,,D,Defender,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,42129.0,Mark Ward,Mark,Ward,1962-10-10,England,England,,D,Defender,1,19.0,5.0,5.0,1.0,5.0,9.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,2605.0,Paul Warhurst,Paul,Warhurst,1969-09-26,England,England,,D,Defender,1,29.0,2.0,10.0,6.0,9.0,10.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,148638.0,John Wark,John,Wark,1957-08-04,Scotland,Scotland,5.0,D,Defender,1,37.0,9.0,15.0,6.0,12.0,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,183.0,Robert Warzycha,Robert,Warzycha,1963-08-20,Poland,Poland,,M,Midfielder,1,20.0,1.0,5.0,1.0,11.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,167.0,Dave Watson,Dave,Watson,1961-11-20,England,England,,D,Defender,1,40.0,11.0,8.0,1.0,18.0,14.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,163.0,Grant Watts,Grant,Watts,1973-11-05,England,England,,F,Forward,1,4.0,0.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,41859.0,Neil Webb,Neil,Webb,1963-07-30,England,England,,M,Midfielder,1,10.0,3.0,2.0,,4.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,133.0,Roy Wegerle,Roy,Wegerle,1964-03-19,South Africa,United States,,F,Forward,1,28.0,5.0,9.0,4.0,12.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2071.0,David Wetherall,David,Wetherall,1971-03-14,England,England,5.0,D,Defender,1,13.0,5.0,6.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1227.0,Phil Whelan,Phil,Whelan,1972-08-07,England,England,,D,Defender,1,32.0,7.0,11.0,,11.0,10.0,5.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
295,42015.0,David White,David,White,1967-10-30,England,England,,M,Midfielder,1,42.0,11.0,12.0,16.0,15.0,15.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,466.0,Dane Whitehouse,Dane,Whitehouse,1970-10-14,England,England,,M,Midfielder,1,14.0,2.0,5.0,5.0,2.0,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,206.0,Steve Whitton,Steve,Whitton,1960-12-04,England,England,,M,Midfielder,1,24.0,3.0,7.0,3.0,11.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,300.0,Neil Whitworth,Neil,Whitworth,1972-04-12,England,England,,D,Defender,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,1317.0,Chris Whyte,Chris,Whyte,1961-09-02,England,England,,D,Defender,1,34.0,7.0,11.0,1.0,14.0,9.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,28730.0,Tommy Widdrington,Tommy,Widdrington,1971-10-01,England,England,13.0,M,Midfielder,1,12.0,2.0,1.0,,4.0,7.0,3.0,1.0,,2.0,1.0,2.0,2.0,1.0,90.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
80,2129.0,Jason Wilcox,Jason,Wilcox,1971-07-15,England,England,,M,Midfielder,1,33.0,12.0,9.0,4.0,10.0,14.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,1083.0,Ray Wilkins,Ray,Wilkins,1956-09-14,England,England,,M,Midfielder,1,27.0,6.0,7.0,2.0,7.0,13.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,41770.0,Paul Wilkinson,Paul,Wilkinson,1964-10-30,England,England,9.0,F,Forward,1,41.0,8.0,11.0,13.0,19.0,11.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,132.0,John Williams,John,Williams,1968-11-05,England,England,,F,Forward,1,41.0,10.0,12.0,8.0,16.0,13.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,867.0,Willie Falconer,William,Falconer,1966-05-04,Scotland,Scotland,,F,Forward,1,28.0,4.0,7.0,5.0,13.0,8.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,644.0,Terry Wilson,Terry,Wilson,1969-02-08,England,England,,M,Midfielder,1,5.0,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2514.0,Nigel Winterburn,Nigel,Winterburn,1963-12-11,England,England,,D,Defender,1,29.0,10.0,8.0,1.0,10.0,11.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2711.0,Dennis Wise,Dennis,Wise,1966-12-16,England,England,,M,Midfielder,1,27.0,8.0,9.0,3.0,8.0,10.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,388.0,Ian Woan,Ian,Woan,1967-12-14,England,England,,M,Midfielder,1,28.0,6.0,5.0,3.0,14.0,9.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,511.0,Steve Wood,Steve,Wood,1963-06-23,England,England,,M,Midfielder,1,4.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,125.0,Ray Woods,Ray,Woods,1965-06-07,England,England,,M,Midfielder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,360.0,Colin Woodthorpe,Colin,Woodthorpe,1969-01-13,England,England,,D,Defender,1,7.0,3.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,3655.0,Nigel Worthington,Nigel,Worthington,1961-11-04,Northern Ireland,Northern Ireland,,D,Defender,1,40.0,8.0,14.0,1.0,12.0,14.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
