id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
827,873.0,Shaun Taylor,Shaun,Taylor,1963-02-26,England,England,,D,Defender,2,42.0,4.0,15.0,4.0,22.0,,5.0,,,
39,42057.0,Shaun Teale,Shaun,Teale,1964-03-10,England,England,,D,Defender,2,38.0,12.0,12.0,1.0,13.0,1.0,13.0,5.0,,
263,253.0,Michael Thomas,Michael,Thomas,1967-08-24,England,England,,M,Midfielder,2,7.0,0.0,,,4.0,,3.0,,,
205,1779.0,Neil Thompson,Neil,Thompson,1963-10-02,England,England,,D,Defender,2,32.0,12.0,13.0,,11.0,1.0,8.0,1.0,4.0,
765,41971.0,Andy Thomson,Andy,Thomson,1974-03-28,England,England,,D,Defender,2,1.0,0.0,,,1.0,,,,,
88,97827.0,Peter Thorne,Peter,Thorne,1973-06-21,England,England,10.0,F,Forward,2,,,,,,,,,,
545,525.0,Erik Thorstvedt,Erik,Thorstvedt,1962-10-28,Norway,Norway,,G,Goalkeeper,2,32.0,6.0,9.0,,14.0,,9.0,,,
241,145933.0,Mark Tinkler,Mark,Tinkler,1974-10-24,England,England,17.0,M,Midfielder,2,3.0,0.0,1.0,,,,2.0,,,
532,14634.0,Paul Tisdale,Paul,Tisdale,1973-01-14,Malta,England,17.0,M,Midfielder,2,,,,,,,,,,
112,1935.0,Andy Townsend,Andy,Townsend,1963-07-23,Ireland,Ireland,,M,Midfielder,2,32.0,9.0,8.0,3.0,10.0,,14.0,3.0,6.0,
468,1312.0,Simon Tracey,Simon,Tracey,1967-12-09,England,England,,G,Goalkeeper,2,15.0,4.0,7.0,,4.0,,4.0,,,1.0
562,41975.0,Andy Turner,Andy,Turner,1975-03-23,England,Northern Ireland,,M,Midfielder,2,1.0,0.0,,,,,1.0,,,
552,25989.0,David Tuttle,David,Tuttle,1972-06-02,England,England,,,,2,31.0,8.0,13.0,,12.0,,6.0,4.0,,1.0
733,1682.0,Robert Ullathorne,Robert,Ullathorne,1971-10-11,England,England,,D,Defender,2,16.0,2.0,5.0,2.0,7.0,1.0,4.0,1.0,,
181,4432.0,David Unsworth,David,Unsworth,1973-10-16,England,England,25.0,D,Defender,2,8.0,2.0,2.0,,5.0,,1.0,1.0,,
572,552.0,Pat van der Hauwe,Pat,van der Hauwe,1960-12-16,Belgium,Wales,,M,Midfielder,2,,,,,,,,,,
712,1269.0,Barry Venison,Barry,Venison,1964-08-16,England,England,,D,Defender,2,37.0,10.0,8.0,,11.0,,18.0,4.0,,
763,795.0,Adrian Viveash,Adrian,Viveash,1969-09-30,England,England,,D,Defender,2,,,,,,,,,,
287,42011.0,Michel Vonk,Michel,Vonk,1968-10-28,Netherlands,Netherlands,,D,Defender,2,35.0,9.0,14.0,1.0,14.0,,7.0,6.0,1.0,
506,128587.0,Chris Waddle,Chris,Waddle,1960-12-14,England,England,10.0,M,Centre Central Midfielder,2,19.0,5.0,9.0,3.0,3.0,,7.0,,7.0,
