id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
686,694.0,Joe Parkinson,Joe,Parkinson,1971-06-11,England,England,,M,Midfielder,4,28.0,14.0,5.0,3.0,1.0,8.0,15.0,9.0,,
19,3636.0,Ray Parlour,Ray,Parlour,1973-03-07,England,England,15.0,M,Midfielder,4,22.0,7.0,7.0,,1.0,5.0,10.0,8.0,,
1024,42030.0,Mark Patterson,Mark,Patterson,1965-05-24,England,England,,F,Forward,4,16.0,0.0,2.0,1.0,3.0,12.0,2.0,4.0,,1.0
671,25930.0,Gavin Peacock,Gavin,Peacock,1967-11-18,England,England,,,,4,28.0,3.0,9.0,5.0,4.0,10.0,9.0,1.0,,
96,30403.0,Ian Pearce,Ian,Pearce,1974-05-07,England,England,,D,Defender,4,12.0,2.0,2.0,1.0,,6.0,4.0,1.0,,
345,1198.0,Steve Pears,Steve,Pears,1962-01-22,England,England,,G,Goalkeeper,4,,,,,,,,,,
503,1224.0,Nigel Pearson,Nigel,Pearson,1963-08-21,England,England,,D,Defender,4,36.0,9.0,9.0,,1.0,16.0,11.0,6.0,,
483,706.0,John Pemberton,John,Pemberton,1964-11-18,England,England,,M,Midfielder,4,17.0,3.0,5.0,,1.0,7.0,5.0,7.0,,1.0
1096,3227.0,Mark Pembridge,Mark,Pembridge,1970-11-29,Wales,Wales,24.0,M,Midfielder,4,25.0,5.0,6.0,2.0,3.0,13.0,6.0,,,
465,447.0,Gary Penrice,Gary,Penrice,1964-03-23,England,England,,F,Forward,4,3.0,0.0,,,,2.0,1.0,1.0,,
587,97107.0,Chris Perry,Chris,Perry,1973-04-26,England,England,5.0,D,Defender,4,37.0,5.0,10.0,,,17.0,10.0,8.0,1.0,
954,2491.0,Dan Petrescu,Dan,Petrescu,1967-12-22,Romania,Romania,,D,Defender,4,32.0,7.0,11.0,2.0,8.0,12.0,9.0,6.0,,
224,215.0,Paul Pettinger,Paul,Pettinger,1975-10-01,England,England,,G,Goalkeeper,4,,,,,,,,,,
291,1381.0,Terry Phelan,Terry,Phelan,1967-03-16,Ireland,Ireland,,D,Defender,4,21.0,3.0,7.0,,1.0,10.0,4.0,5.0,,
921,3869.0,Phil Neville,Philip,Neville,1977-01-21,England,England,18.0,M,Centre Defensive Midfielder,4,24.0,11.0,3.0,,3.0,3.0,18.0,1.0,,
355,1148.0,Jimmy Phillips,Jimmy,Phillips,1966-02-08,England,England,,M,Midfielder,4,37.0,4.0,5.0,,2.0,24.0,8.0,4.0,,
679,685.0,Ally Pickering,Ally,Pickering,1967-06-22,England,England,,D,Defender,4,30.0,9.0,10.0,,5.0,12.0,8.0,4.0,,
308,135707.0,Kevin Pilkington,Kevin,Pilkington,1974-03-08,England,England,44.0,G,Goalkeeper,4,3.0,0.0,2.0,,,1.0,,,,
989,1105.0,David Platt,David,Platt,1966-06-10,England,England,,M,Midfielder,4,29.0,10.0,11.0,6.0,3.0,7.0,11.0,3.0,,
1099,1266.0,Mark Platts,Mark,Platts,1979-05-23,England,England,,M,Midfielder,4,2.0,0.0,,,,1.0,1.0,,,
949,1040.0,Chris Plummer,Chris,Plummer,1976-10-12,England,England,14.0,D,Defender,4,1.0,0.0,,,,1.0,,,,
362,1781.0,Jamie Pollock,Jamie,Pollock,1974-02-16,England,England,,M,Midfielder,4,31.0,10.0,9.0,1.0,2.0,12.0,10.0,10.0,,
752,780.0,Adem Poric,Adem,Poric,1973-04-22,England,England,,M,Midfielder,4,,,,,,,,,,
785,821.0,Steve Potts,Steve,Potts,1967-05-07,United States,England,,D,Defender,4,34.0,10.0,8.0,,1.0,14.0,12.0,2.0,,1.0
495,2910.0,Kevin Pressman,Kevin,Pressman,1967-11-06,England,England,,G,Goalkeeper,4,30.0,6.0,9.0,,,13.0,8.0,,,
1126,1310.0,William Prunier,William,Prunier,1967-08-14,France,France,,D,Defender,4,2.0,0.0,,,,1.0,1.0,,,
1092,41994.0,Nigel Quashie,Nigel,Quashie,1978-07-20,Scotland,Scotland,19.0,M,Midfielder,4,11.0,0.0,2.0,,1.0,8.0,1.0,1.0,,
304,1492.0,Niall Quinn,Niall,Quinn,1966-10-06,Ireland,Ireland,,F,Forward,4,32.0,6.0,10.0,8.0,5.0,14.0,8.0,4.0,,
886,961.0,Lucas Radebe,Lucas,Radebe,1969-04-12,South Africa,South Africa,5.0,D,Defender,4,13.0,2.0,2.0,,,8.0,3.0,2.0,,
444,426.0,Karl Ready,Karl,Ready,1972-08-14,England,England,,D,Defender,4,22.0,2.0,6.0,1.0,1.0,11.0,5.0,3.0,,1.0
262,3710.0,Jamie Redknapp,Jamie,Redknapp,1973-06-25,England,England,38.0,M,Midfielder,4,23.0,7.0,6.0,3.0,3.0,5.0,12.0,1.0,,
1001,1121.0,Adam Reed,Adam,Reed,1975-02-18,England,England,,D,Defender,4,,,,,,,,,,
971,1071.0,Alan Reeves,Alan,Reeves,1967-11-19,England,England,,D,Defender,4,24.0,3.0,6.0,1.0,,11.0,7.0,2.0,1.0,
124,118.0,David Rennie,David,Rennie,1964-08-29,Scotland,Scotland,,D,Defender,4,11.0,1.0,2.0,3.0,1.0,6.0,3.0,3.0,,
986,1297.0,Andy Rhodes,Andy,Rhodes,1964-08-23,England,England,,G,Goalkeeper,4,,,,,,,,,,
43,1748.0,Kevin Richardson,Kevin,Richardson,1962-12-04,England,England,,M,Midfielder,4,33.0,8.0,12.0,,6.0,15.0,6.0,6.0,,1.0
196,189.0,Paul Rideout,Paul,Rideout,1964-08-14,England,England,,F,Forward,4,25.0,7.0,6.0,6.0,4.0,8.0,11.0,2.0,,
966,1063.0,Marc Rieper,Marc,Rieper,1968-06-05,Denmark,Denmark,,D,Defender,4,36.0,9.0,8.0,2.0,,15.0,13.0,2.0,,
79,1991.0,Stuart Ripley,Stuart,Ripley,1967-11-20,England,England,,M,Midfielder,4,28.0,7.0,5.0,,9.0,8.0,15.0,1.0,,
914,16428.0,Gareth Roberts,Gareth,Roberts,1978-02-06,Wales,Wales,3.0,D,Defender,4,,,,,,,,,,
