id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
2052,132015.0,Jamal Campbell-Ryce,Jamal,Campbell-Ryce,1983-04-06,Jamaica,Jamaica,20.0,M,Left/Right Winger,12,2.0,0.0,1.0,1.0,,,,,,
2486,3249.0,Peter Canero,Peter,Canero,1981-01-10,Scotland,Scotland,28.0,D,Defender,12,7.0,0.0,3.0,3.0,1.0,,,,,
2426,3153.0,Carl Motteram,Carl,Motteram,1984-09-03,England,England,,M,Midfielder,12,,,,,,,,,,
2259,177133.0,Clarke Carlisle,Clarke,Carlisle,1979-10-14,England,England,3.0,D,Defender,12,,,,,,,,,,
2058,143401.0,Carlton Cole,Carlton,Cole,1983-10-12,England,England,10.0,F,Centre Striker,12,21.0,0.0,6.0,8.0,7.0,4.0,,,,
776,94885.0,Stephen Carr,Stephen,Carr,1976-08-29,Ireland,Ireland,2.0,D,Right Full Back,12,32.0,6.0,5.0,16.0,11.0,1.0,2.0,8.0,1.0,1.0
915,143184.0,Jamie Carragher,Jamie,Carragher,1978-01-28,England,England,23.0,D,Defender,12,22.0,12.0,9.0,4.0,9.0,,1.0,2.0,,
2112,14928.0,Roy Carroll,Roy,Carroll,1977-09-30,Northern Ireland,Northern Ireland,1.0,G,Goalkeeper,12,6.0,2.0,2.0,1.0,3.0,,,,,
1175,5265.0,Lee Carsley,Lee,Carsley,1974-02-28,Ireland,Ireland,26.0,M,Centre Defensive Midfielder,12,21.0,2.0,6.0,10.0,5.0,2.0,,3.0,,
2250,282078.0,Scott Carson,Scott,Carson,1985-09-03,England,England,33.0,G,Goalkeeper,12,3.0,0.0,1.0,2.0,,,,,,
2191,11581.0,Darren Carter,Darren,Carter,1983-12-18,England,England,23.0,M,Centre Central Midfielder,12,5.0,0.0,1.0,2.0,2.0,,,,,
2065,12397.0,Nick Chadwick,Nick,Chadwick,1982-10-26,England,England,28.0,F,Forward,12,3.0,0.0,,2.0,1.0,,,,,
2339,19158.0,Richard Chaplow,Richard,Chaplow,1985-02-02,England,England,8.0,M,Centre Central Midfielder,12,,,,,,,,,,
2598,3428.0,Cyril Chapuis,Cyril,Chapuis,1979-03-21,France,France,,F,Forward,12,1.0,0.0,,1.0,,,,,,
755,3665.0,Simon Charlton,Simon,Charlton,1971-10-25,England,England,16.0,D,Defender,12,31.0,7.0,9.0,11.0,11.0,,2.0,1.0,1.0,
2284,174530.0,Bruno Cheyrou,Bruno,Cheyrou,1978-05-10,France,France,14.0,M,Centre Central Midfielder,12,12.0,1.0,5.0,2.0,5.0,2.0,,,,
2128,9983.0,Michael Chopra,Michael,Chopra,1983-12-28,England,England,8.0,F,Centre Striker,12,6.0,0.0,2.0,4.0,,,,,,
1553,2996.0,Malcolm Christie,Malcolm,Christie,1979-04-11,England,England,11.0,F,Forward,12,10.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,,
2188,3696.0,Aliou Cisse,Aliou,Cisse,1976-03-24,Senegal,Senegal,18.0,M,Midfielder,12,15.0,2.0,2.0,6.0,7.0,,,5.0,,
723,744.0,Lee Clark,Lee,Clark,1972-10-27,England,England,21.0,M,Midfielder,12,25.0,7.0,5.0,10.0,10.0,2.0,3.0,2.0,,
1555,314529.0,Peter Clarke,Peter,Clarke,1982-01-03,England,England,26.0,D,Defender,12,1.0,0.0,,1.0,,,,,,
1851,3586.0,Claus Jensen,Claus,Jensen,1977-04-29,Denmark,Denmark,16.0,M,Midfielder,12,31.0,5.0,8.0,13.0,10.0,4.0,5.0,1.0,,
961,98165.0,Stephen Clemence,Stephen,Clemence,1978-03-31,England,England,14.0,M,Midfielder,12,35.0,9.0,12.0,12.0,11.0,2.0,1.0,4.0,,
2413,52622.0,Gaël Clichy,Gaël,Clichy,1985-07-26,France,France,3.0,D,Left Full Back,12,12.0,3.0,4.0,,8.0,,,1.0,,
2586,27036.0,Sammy Clingan,Sammy,Clingan,1984-01-13,Northern Ireland,Northern Ireland,4.0,M,Midfielder,12,,,,,,,,,,
2311,2985.0,Brian Close,Brian,Close,1982-01-27,England,England,,D,Defender,12,,,,,,,,,,
2573,3387.0,Mark Clyde,Mark,Clyde,1982-12-27,Northern Ireland,Northern Ireland,2.0,D,Defender,12,10.0,0.0,3.0,5.0,2.0,,1.0,,,
1494,152954.0,Ashley Cole,Ashley,Cole,1980-12-20,England,England,26.0,D,Left Full Back,12,32.0,11.0,10.0,,22.0,,3.0,5.0,,1.0
2320,26855.0,Adam Collin,Adam,Collin,1984-12-09,England,England,1.0,G,Goalkeeper,12,,,,,,,,,,
2082,30457.0,Matthew Collins,Matthew,Collins,1986-08-31,Wales,Wales,25.0,M,Midfielder,12,,,,,,,,,,
2179,2820.0,Ferdinand Coly,Ferdinand,Coly,1973-09-10,Senegal,Senegal,,D,Defender,12,,,,,,,,,,
2440,3173.0,Charlie Comyn-Platt,Charlie,Comyn-Platt,1985-10-02,England,England,,D,Defender,12,,,,,,,,,,
2256,2918.0,Rob Constable,Rob,Constable,1986-01-26,England,England,,D,Defender,12,,,,,,,,,,
1841,2306.0,Stephen Cooke,Stephen,Cooke,1983-02-15,England,England,,M,Midfielder,12,,,,,,,,,,
937,1933.0,Colin Cooper,Colin,Cooper,1967-02-28,England,England,,D,Defender,12,19.0,9.0,7.0,5.0,7.0,,,3.0,,
2577,28618.0,Chris Cornes,Chris,Cornes,1986-12-20,England,England,,M,Midfielder,12,,,,,,,,,,
2272,18900.0,Barry Corr,Barry,Corr,1985-04-02,Ireland,Ireland,9.0,F,Centre Striker,12,,,,,,,,,,
1284,29520.0,Carl Cort,Carl,Cort,1977-11-01,Guyana,Guyana,9.0,F,Forward,12,16.0,2.0,5.0,8.0,3.0,5.0,2.0,,,
2249,2911.0,Will Coyles,Will,Coyles,1985-12-20,England,England,,G,Goalkeeper,12,,,,,,,,,,
2480,12106.0,Danny Coyne,Danny,Coyne,1973-08-27,Wales,Wales,44.0,G,Goalkeeper,12,4.0,0.0,1.0,3.0,,,,,,
1754,3389.0,Jody Craddock,Jody,Craddock,1975-07-25,England,England,6.0,D,Centre Central Defender,12,32.0,6.0,9.0,18.0,5.0,1.0,1.0,2.0,1.0,
2557,18493.0,Stephen Crainey,Stephen,Crainey,1981-06-22,Scotland,Scotland,,D,Defender,12,5.0,0.0,1.0,4.0,,,1.0,,,
2559,160085.0,Martin Cranie,Martin,Cranie,1986-09-26,England,England,2.0,D,Centre Central Defender,12,1.0,0.0,,1.0,,,,,1.0,
2457,119245.0,Hernán Crespo,Hernán,Crespo,1975-07-05,Argentina,Argentina,9.0,F,Forward,12,19.0,2.0,3.0,5.0,11.0,10.0,,1.0,,
2522,278776.0,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,1985-02-05,Portugal,Portugal,7.0,F,Left/Centre/Right Striker,12,29.0,4.0,3.0,8.0,18.0,4.0,4.0,4.0,,1.0
2251,2913.0,Kevin Cronin,Kevin,Cronin,1985-05-18,England,England,,D,Defender,12,,,,,,,,,,
394,26950.0,Mark Crossley,Mark,Crossley,1969-06-16,Wales,Wales,26.0,G,Goalkeeper,12,1.0,0.0,,1.0,,,,,,
1629,181323.0,Peter Crouch,Peter,Crouch,1981-01-30,England,England,15.0,F,Centre Striker,12,16.0,1.0,4.0,5.0,7.0,4.0,3.0,2.0,,
1676,114930.0,Carlo Cudicini,Carlo,Cudicini,1973-09-06,Italy,Italy,1.0,G,Goalkeeper,12,26.0,14.0,5.0,4.0,17.0,,,,,
972,2828.0,Kenny Cunningham,Kenny,Cunningham,1971-06-28,Ireland,Ireland,4.0,D,Defender,12,36.0,15.0,12.0,12.0,12.0,,2.0,2.0,,1.0
1427,96604.0,John Curtis,John,Curtis,1978-09-03,England,England,19.0,D,Defender,12,21.0,3.0,6.0,12.0,3.0,,,,1.0,
2162,101525.0,Pascal Cygan,Pascal,Cygan,1974-04-29,France,France,2.0,D,Centre Central Defender,12,18.0,6.0,5.0,,13.0,,,1.0,,
1436,3250.0,Nikolaos Dabizas,Nikolaos,Dabizas,1973-08-03,Greece,Greece,44.0,D,Defender,12,18.0,4.0,9.0,7.0,2.0,,,5.0,2.0,1.0
2566,3371.0,Stéphane Dalmat,Stéphane,Dalmat,1979-02-16,France,France,,M,Midfielder,12,22.0,2.0,2.0,11.0,9.0,3.0,1.0,2.0,,
1837,279315.0,Tomas Danilevicius,Tomas,Danilevicius,1978-07-18,Lithuania,Lithuania,21.0,F,Forward,12,,,,,,,,,,
2201,186219.0,Neil Danns,Neil,Danns,1982-11-23,Guyana,Guyana,35.0,M,Centre Central Midfielder,12,1.0,0.0,,1.0,,,,,,
2531,132396.0,Danny Graham,Daniel,Graham,1985-08-12,England,England,18.0,F,Centre Striker,12,,,,,,,,,,
929,4579.0,Danny Mills,Daniel,Mills,1977-05-18,England,England,27.0,D,Defender,12,28.0,8.0,4.0,13.0,11.0,,1.0,10.0,1.0,
