id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
2811,279902.0,Reto Ziegler,Reto,Ziegler,1986-01-16,Switzerland,Switzerland,3.0,D,Centre Central Defender,14,10.0,0.0,3.0,,5.0,2.0,1.0,,,
1898,128607.0,Matt Holland,Matt,Holland,1974-04-11,Ireland,Ireland,9.0,M,Centre Central Midfielder,14,23.0,6.0,7.0,1.0,11.0,5.0,,,,
9436,167517.0,Danny Hollands,Danny,Hollands,1985-11-06,England,England,19.0,M,Centre Central Midfielder,14,,,,,,,,,,
2904,3872.0,Paul Hopkins,Paul,Hopkins,1986-11-29,England,England,,F,Forward,14,,,,,,,,,,
2196,96834.0,Geoff Horsfield,Geoff,Horsfield,1973-11-01,England,England,28.0,F,Forward,14,18.0,1.0,2.0,4.0,11.0,5.0,,2.0,,
2788,3699.0,Liam Horsted,Liam,Horsted,1985-10-28,England,England,,F,Forward,14,,,,,,,,,,
2993,108983.0,Hossam Ghaly,Hossam,El Sayed Ghaly,1981-12-15,Egypt,Egypt,14.0,M,Centre Central Midfielder,14,,,,,,,,,,
890,27734.0,Russell Hoult,Russell,Hoult,1972-11-22,England,England,38.0,G,Goalkeeper,14,1.0,0.0,,,1.0,,,,,
2833,292758.0,Mark Howard,Mark,Howard,1986-09-21,England,England,33.0,G,Goalkeeper,14,,,,,,,,,,
2856,96824.0,David Howland,David,Howland,1986-09-17,Northern Ireland,Northern Ireland,8.0,M,Midfielder,14,,,,,,,,,,
2163,144722.0,Justin Hoyte,Justin,Hoyte,1984-11-20,England,,32.0,D,Right Full Back,14,27.0,4.0,6.0,1.0,18.0,3.0,,2.0,,
1371,176377.0,Hermann Hreidarsson,Hermann,Hreidarsson,1974-07-11,Iceland,Iceland,5.0,D,Defender,14,34.0,13.0,8.0,,13.0,13.0,3.0,4.0,,
2991,6697.0,Tom Huddlestone,Tom,Huddlestone,1986-12-28,England,England,23.0,M,Centre Central Midfielder,14,4.0,0.0,2.0,,1.0,1.0,1.0,,,
1230,122564.0,Aaron Hughes,Aaron,Hughes,1979-11-08,Northern Ireland,Northern Ireland,3.0,D,Centre Central Defender,14,35.0,10.0,12.0,,13.0,10.0,5.0,1.0,1.0,
2325,114283.0,Hugo Viana,Hugo Miguel,Ferreira Viana,1983-01-15,Portugal,Portugal,45.0,M,Left/Centre Winger,14,,,,,,,,,,
2031,261185.0,Nicky Hunt,Nicky,Hunt,1983-09-03,England,England,,D,Central Defender,14,20.0,3.0,8.0,,5.0,7.0,1.0,1.0,,
2953,11866.0,Paul Huntington,Paul,Huntington,1987-09-17,England,England,23.0,D,Centre Central Defender,14,,,,,,,,,,
2926,3903.0,Yasser Hussein,Yasser,Hussein,1984-01-19,Qatar,Qatar,,M,Midfielder,14,,,,,,,,,,
64136,156523.0,Hussein Yasser,Hussain,Yasser El-Mohammadi Abdulrahman,1982-10-09,Qatar,Qatar,20.0,M,Midfielder,14,,,,,,,,,,
