id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_lf_total,att_obox_blocked,att_obx_centre,att_rf_total,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,outfielder_block,passes_left,passes_right,penalty_conceded,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shield_ball_oop,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,was_fouled,wins,won_tackle,yellow_card,accurate_goal_kicks,accurate_keeper_throws,att_assist_setplay,cross_not_claimed,dive_catch,dive_save,diving_save,error_lead_to_shot,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_contest,total_high_claim,won_contest,last_man_tackle,accurate_flick_on,accurate_layoffs,att_bx_centre,att_freekick_miss,att_freekick_total,att_hd_miss,att_hd_post,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_post,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_miss,att_post_high,att_setpiece,clearance_off_line,error_lead_to_goal,fouled_final_third,foul_throw_in,head_pass,hit_woodwork,open_play_pass,own_goals,post_scoring_att,shot_off_target,successful_open_play_pass,total_flick_on,total_sub_on,won_corners,accurate_through_ball,total_through_ball,total_offside,attempts_ibox,attempts_obox,att_hd_target,att_ibox_target,att_lg_centre,att_miss_high_left,att_obox_target,att_obx_right,att_openplay,att_rf_target,att_sv_high_centre,att_sv_low_centre,att_sv_low_left,att_sv_low_right,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,ontarget_scoring_att,touches_in_opp_box,gk_smother,att_fastbreak,att_freekick_goal,att_goal_high_left,att_goal_high_right,att_goal_low_left,att_hd_goal,att_ibox_goal,att_lf_goal,att_obox_goal,att_rf_goal,corner_taken,dangerous_play,goals,shot_fastbreak,accurate_corners_intobox,total_corners_intobox,att_corner,att_goal_low_centre,six_yard_block,att_goal_low_right,att_lf_target,att_post_right,penalty_won,red_card,second_yellow,att_cmiss_right,freekick_cross,goal_fastbreak,att_bx_right,att_cmiss_high,att_cmiss_left,att_goal_high_centre,att_sv_high_right,goals_openplay,total_fastbreak,att_sv_high_left,att_bx_left,att_freekick_target,att_pen_target,leftside_pass,att_pen_goal,att_post_left,att_obxd_left,att_obx_left,att_obxd_right,att_obox_post,accurate_freekick_cross,att_cmiss_high_right,fwd_pass,att_pen_miss,att_pen_post,att_freekick_post,back_pass,backward_pass,att_cmiss_high_left,att_lg_left,att_obp_goal,att_lg_right,rightside_pass,big_chance_scored
3509,4780.0,Gilberto,Gilberto,da Silva Melo,1976-04-25,Brazil,Brazil,11.0,D,Defender,17,7.0,1.0,,,6.0,,,13.0,1.0,,,1.0,3.0,1.0,,,,,,2.0,,,,,1.0,,,,1.0,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,2.0,,1.0,,45.0,,,,,4.0,,,1.0,1.0,4.0,4.0,2.0,,,,5.0,,7.0,1.0,,1.0,1.0,7.0,10.0,,1.0,,16.0,,1.0,,1.0,22.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,20166.0,Shay Given,Shay,Given,1976-04-20,Ireland,Ireland,24.0,G,Goalkeeper,17,175.0,20.0,,,189.0,180.0,238.0,364.0,1.0,,,37.0,341.0,265.0,2.0,,,,,360.0,,,2.0,9.0,,,,9.0,2.0,11.0,,40.0,1.0,427.0,22.0,,37.0,55.0,47.0,8.0,,1.0,,,,943.0,285.0,16.0,23.0,3330.0,,,3.0,,83.0,121.0,,23.0,9.0,721.0,718.0,,68.0,1.0,2.0,90.0,3.0,223.0,27.0,43.0,,,344.0,633.0,644.0,,715.0,856.0,,,,1.0,1789.0,1.0,10.0,12.0,,2.0,172.0,111.0,1.0,2.0,7.0,12.0,52.0,2.0,391.0,42.0,249.0,114.0,11.0,2.0,27.0,79.0,52.0,131.0,21.0,8.0,1.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3569,5279.0,Gaël Givet,Gaël,Givet,1981-10-09,France,France,31.0,D,Left/Centre Central Defender,17,109.0,18.0,1.0,1.0,123.0,16.0,20.0,231.0,32.0,5.0,24.0,14.0,100.0,67.0,2.0,1.0,2.0,2.0,1.0,46.0,1.0,2.0,3.0,3.0,1.0,4.0,5.0,3.0,19.0,64.0,1.0,58.0,29.0,116.0,0.0,8.0,14.0,16.0,14.0,2.0,2.0,47.0,21.0,1.0,20.0,109.0,54.0,6.0,9.0,1113.0,5.0,1.0,1.0,7.0,92.0,5.0,2.0,22.0,2.0,178.0,137.0,3.0,20.0,23.0,1.0,68.0,2.0,130.0,37.0,99.0,6.0,6.0,121.0,210.0,47.0,1.0,50.0,334.0,2.0,3.0,30.0,55.0,611.0,7.0,10.0,5.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3655,5016.0,Gláuber,Leandro Honorato,Gláuber Berti,1983-08-05,Brazil,Brazil,36.0,D,Defender,17,4.0,,,,1.0,,,5.0,1.0,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,1.0,,,0.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,5.0,,,,,1.0,,,,,2.0,,,2.0,1.0,,,,4.0,,3.0,,,,1.0,,,,5.0,,,,1.0,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687,175829.0,Jonny Godsmark,Jonny,Godsmark,1989-09-03,England,England,,M,Midfielder,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,120052.0,Ignacio González,Ignacio,González,1982-05-14,Uruguay,Uruguay,10.0,M,Centre Attacking Midfielder,17,4.0,,,,11.0,,1.0,15.0,,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,1.0,2.0,,,,2.0,,5.0,4.0,,,,5.0,0.0,,,,,,,,1.0,,1.0,3.0,3.0,2.0,,36.0,,1.0,,,1.0,4.0,,,,8.0,8.0,,,,,6.0,1.0,4.0,1.0,,,,9.0,17.0,,,2.0,21.0,1.0,,3.0,,28.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,17421.0,Craig Gordon,Craig,Gordon,1982-12-31,Scotland,Scotland,1.0,G,Goalkeeper,17,43.0,1.0,,,38.0,44.0,47.0,81.0,,,,12.0,104.0,94.0,,,,,,96.0,,,2.0,3.0,,,,3.0,2.0,3.0,,8.0,,146.0,18.0,,12.0,17.0,15.0,2.0,,,,,,267.0,83.0,6.0,8.0,1080.0,,,,,12.0,10.0,,8.0,,211.0,209.0,,9.0,,,21.0,,63.0,1.0,10.0,,,91.0,150.0,167.0,,172.0,213.0,,,,,492.0,,2.0,3.0,,,58.0,49.0,,2.0,4.0,8.0,17.0,1.0,130.0,16.0,71.0,50.0,1.0,,6.0,23.0,11.0,34.0,3.0,3.0,,18.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,268421.0,Dan Gosling,Dan,Gosling,1990-02-01,England,England,16.0,M,Centre/Right Central Midfielder,17,48.0,2.0,10.0,7.0,107.0,1.0,3.0,145.0,,6.0,4.0,11.0,45.0,33.0,7.0,8.0,3.0,7.0,4.0,28.0,3.0,3.0,7.0,3.0,18.0,6.0,17.0,2.0,42.0,32.0,3.0,1.0,1.0,24.0,0.0,7.0,6.0,,,,,3.0,10.0,,10.0,18.0,7.0,2.0,2.0,586.0,,3.0,7.0,,18.0,41.0,,12.0,,82.0,79.0,9.0,2.0,17.0,,60.0,10.0,55.0,6.0,4.0,30.0,24.0,75.0,153.0,4.0,13.0,7.0,178.0,14.0,3.0,14.0,,325.0,16.0,11.0,7.0,12.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,8.0,,3.0,,1.0,12.0,1.0,,,,,1.0,,2.0,1.0,1.0,,2.0,,3.0,,2.0,,,1.0,,,1.0,,,1.0,6.0,,4.0,5.0,6.0,3.0,5.0,,,,1.0,2.0,,2.0,1.0,,,,,2.0,,1.0,,,,,,5.0,,,,,,1.0,,,2.0,1.0,,1.0,6.0,,2.0,,3.0,6.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1133,13582.0,Julian Gray,Julian,Gray,1979-09-21,England,England,27.0,M,Midfielder,17,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,1.0,,,,,4.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,133748.0,Robert Green,Robert,Green,1980-01-18,England,England,31.0,G,Goalkeeper,17,162.0,6.0,,,143.0,154.0,181.0,305.0,,,,38.0,345.0,326.0,,,,,,404.0,,,3.0,10.0,,,,9.0,4.0,17.0,,49.0,,414.0,38.0,1.0,38.0,45.0,38.0,7.0,,,2.0,2.0,1.0,794.0,260.0,15.0,32.0,3420.0,,1.0,1.0,,61.0,65.0,1.0,21.0,3.0,621.0,619.0,,40.0,,,87.0,2.0,228.0,7.0,51.0,,,288.0,485.0,521.0,,567.0,713.0,,,1.0,,1709.0,2.0,12.0,14.0,,,212.0,241.0,2.0,4.0,15.0,18.0,60.0,1.0,430.0,60.0,304.0,251.0,6.0,2.0,37.0,73.0,59.0,133.0,24.0,4.0,2.0,65.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,53.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
