id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_bx_centre,att_cmiss_right,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_left,att_miss_right,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,clearance_off_line,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,rightside_pass,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_corners,won_tackle,yellow_card,att_bx_right,att_cmiss_left,att_goal_high_left,att_goal_low_right,att_hd_goal,att_ibox_goal,att_miss_high,att_obox_blocked,att_rf_target,att_rf_total,big_chance_created,big_chance_scored,goals,goal_assist_setplay,last_man_tackle,red_card,shield_ball_oop,six_yard_block,won_contest,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,att_assist_setplay,att_goal_high_centre,att_rf_goal,crosses_18yard,freekick_cross,goals_openplay,hand_ball,hit_woodwork,overrun,poss_won_att_3rd,total_through_ball,att_cmiss_high_right,att_freekick_total,att_miss_high_right,att_sv_low_centre,error_lead_to_goal,att_cmiss_high,att_goal_low_left,corner_taken,head_pass,open_play_pass,penalty_conceded,successful_open_play_pass,accurate_goal_kicks,accurate_pull_back,accurate_through_ball,att_bx_left,att_freekick_miss,att_freekick_post,att_goal_high_right,att_lf_goal,att_miss_high_left,att_obox_goal,att_obox_post,att_post_high,dangerous_play,error_lead_to_shot,fouled_final_third,foul_throw_in,goal_kicks,post_scoring_att,second_goal_assist,total_corners_intobox,total_offside,total_pull_back,accurate_keeper_throws,diving_save,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,total_high_claim,accurate_corners_intobox,att_cmiss_high_left,att_fastbreak,att_freekick_target,att_lg_centre,att_pen_goal,att_sv_low_left,shot_fastbreak,total_sub_on,attempts_ibox,attempts_obox,att_corner,att_post_left,total_fastbreak,touches_in_opp_box,goal_assist_deadball,second_yellow,att_post_right,att_hd_post,att_ibox_post,att_goal_low_centre,att_obx_left,goal_fastbreak,accurate_keeper_sweeper,cross_not_claimed,dive_catch,dive_save,penalty_faced,stand_catch,stand_save,total_keeper_sweeper,att_obxd_left,att_pen_target,penalty_won,att_lg_right,att_obp_goal,att_obxd_right,att_freekick_goal,own_goals,gk_smother,penalty_save,att_obx_right,back_pass,att_lg_left,blocked_pass,put_through,att_pen_post,att_pen_miss
2507,316950.0,Keiren Westwood,Keiren,Westwood,1984-10-23,Ireland,Ireland,29.0,G,Goalkeeper,20,16.0,4.0,,55.0,37.0,,58.0,71.0,,,,9.0,67.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,1.0,,,,3.0,,2.0,,6.0,,173.0,0.0,,191.0,8.0,11.0,10.0,1.0,,,,,,,,3.0,245.0,70.0,4.0,3.0,757.0,,,,,,28.0,27.0,12.0,2.0,182.0,182.0,16.0,,3.0,,37.0,,17.0,7.0,6.0,,,,134.0,,180.0,120.0,,183.0,197.0,,,,,404.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,16.0,,,,,,,,,,,,,,,,66.0,,,,,,24.0,15.0,17.0,87.0,24.0,5.0,11.0,10.0,22.0,18.0,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,2.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,
2749,293731.0,David Wheater,David,Wheater,1987-02-14,England,England,31.0,D,Centre Central Defender,20,268.0,27.0,2.0,135.0,22.0,7.0,46.0,403.0,,38.0,54.0,24.0,248.0,134.0,6.0,14.0,1.0,7.0,1.0,10.0,4.0,8.0,1.0,,,4.0,1.0,1.0,1.0,4.0,5.0,1.0,,,,2.0,57.0,65.0,2.0,7.0,6.0,16.0,2.0,1.0,1.0,2.0,4.0,84.0,102.0,6.0,100.0,52.0,124.0,0.0,28.0,290.0,24.0,39.0,32.0,7.0,2.0,1.0,,104.0,53.0,13.0,37.0,130.0,203.0,93.0,13.0,33.0,2009.0,36.0,2.0,6.0,4.0,34.0,49.0,73.0,16.0,1.0,300.0,199.0,44.0,21.0,107.0,9.0,56.0,8.0,306.0,64.0,200.0,1.0,1.0,1.0,149.0,5.0,279.0,91.0,7.0,119.0,584.0,19.0,1.0,43.0,,987.0,13.0,13.0,4.0,7.0,4.0,35.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,289829.0,Glenn Whelan,Glenn,Whelan,1984-01-13,Ireland,Ireland,26.0,M,Centre Defensive Midfielder,20,407.0,94.0,1.0,577.0,29.0,43.0,148.0,970.0,5.0,12.0,9.0,30.0,181.0,206.0,16.0,1.0,1.0,,,,1.0,3.0,,,3.0,3.0,2.0,9.0,2.0,18.0,14.0,,,,1.0,1.0,174.0,167.0,,10.0,6.0,32.0,7.0,1.0,10.0,32.0,9.0,120.0,102.0,10.0,41.0,23.0,299.0,264.0,38.0,468.0,27.0,34.0,24.0,10.0,1.0,1.0,1.0,35.0,46.0,1.0,33.0,277.0,205.0,132.0,11.0,16.0,2486.0,1.0,14.0,15.0,3.0,20.0,189.0,207.0,69.0,4.0,397.0,363.0,62.0,104.0,303.0,13.0,268.0,29.0,451.0,159.0,75.0,12.0,54.0,24.0,424.0,5.0,825.0,86.0,43.0,206.0,1222.0,22.0,3.0,56.0,5.0,1632.0,26.0,26.0,31.0,10.0,7.0,27.0,4.0,1.0,2.0,,,,,2.0,5.0,2.0,19.0,2.0,,1.0,,,,1.0,,6.0,14.0,5.0,2.0,12.0,1.0,1.0,5.0,9.0,1.0,,1.0,,1.0,5.0,,2.0,4.0,,,1.0,,32.0,,,1.0,,,,3.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,2.0,5.0,,,1.0,,30.0,1.0,,,,,,,,,,,,9.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,20044.0,Zak Whitbread,Zak,Whitbread,1984-03-04,United States,United States,4.0,D,Centre Central Defender,20,324.0,40.0,1.0,202.0,16.0,1.0,64.0,526.0,2.0,14.0,36.0,18.0,141.0,113.0,5.0,5.0,1.0,2.0,4.0,6.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,33.0,38.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,3.0,6.0,41.0,72.0,3.0,96.0,57.0,151.0,114.0,16.0,360.0,18.0,23.0,19.0,4.0,1.0,1.0,1.0,97.0,14.0,1.0,12.0,112.0,204.0,116.0,7.0,17.0,1440.0,10.0,2.0,4.0,5.0,13.0,122.0,20.0,23.0,2.0,230.0,167.0,27.0,11.0,175.0,3.0,83.0,6.0,361.0,79.0,159.0,2.0,3.0,3.0,164.0,2.0,322.0,53.0,1.0,110.0,680.0,9.0,5.0,28.0,2.0,933.0,5.0,5.0,8.0,5.0,5.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,19391.0,Dean Whitehead,Dean,Whitehead,1982-01-12,England,England,4.0,M,Centre Central Midfielder,20,372.0,34.0,4.0,406.0,6.0,28.0,79.0,775.0,4.0,18.0,20.0,33.0,195.0,196.0,11.0,2.0,,1.0,,1.0,,1.0,1.0,,,3.0,,5.0,,6.0,5.0,,,,,,158.0,142.0,1.0,4.0,2.0,24.0,6.0,,8.0,21.0,11.0,98.0,112.0,4.0,23.0,13.0,176.0,0.0,33.0,329.0,24.0,37.0,27.0,10.0,2.0,1.0,1.0,25.0,45.0,3.0,36.0,239.0,113.0,67.0,11.0,15.0,2363.0,,7.0,8.0,1.0,18.0,121.0,168.0,44.0,5.0,313.0,275.0,73.0,57.0,243.0,6.0,177.0,15.0,418.0,55.0,61.0,5.0,17.0,15.0,281.0,6.0,568.0,31.0,29.0,104.0,969.0,9.0,2.0,55.0,6.0,1291.0,33.0,33.0,35.0,11.0,5.0,41.0,5.0,,,,,,,2.0,2.0,1.0,8.0,1.0,,,1.0,,,1.0,1.0,2.0,3.0,2.0,1.0,2.0,,,2.0,5.0,,1.0,,1.0,12.0,2.0,,,1.0,,,,,2.0,4.0,23.0,,17.0,,1.0,,,,,,,,,,,,,5.0,2.0,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,9.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4396,301494.0,Connor Wickham,Connor,Wickham,1993-03-31,England,England,19.0,F,Centre Striker,20,29.0,5.0,6.0,81.0,1.0,19.0,6.0,109.0,,18.0,9.0,16.0,38.0,49.0,9.0,6.0,,,1.0,1.0,4.0,3.0,2.0,,5.0,2.0,1.0,2.0,1.0,5.0,11.0,,1.0,,,,52.0,18.0,1.0,1.0,6.0,5.0,1.0,,1.0,11.0,2.0,50.0,35.0,,2.0,1.0,23.0,0.0,12.0,43.0,5.0,6.0,4.0,2.0,,,,2.0,6.0,,5.0,32.0,12.0,7.0,9.0,2.0,519.0,,4.0,5.0,4.0,1.0,17.0,28.0,9.0,,97.0,92.0,5.0,8.0,34.0,5.0,39.0,9.0,37.0,10.0,6.0,10.0,8.0,8.0,73.0,28.0,132.0,3.0,24.0,10.0,161.0,15.0,3.0,10.0,,258.0,17.0,17.0,10.0,5.0,3.0,10.0,,,2.0,,1.0,,1.0,,2.0,1.0,7.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,,,,,7.0,,1.0,,1.0,,5.0,1.0,,,1.0,,,,,,,,,,,,,3.0,,,,1.0,1.0,,,,,,2.0,,,,,,6.0,1.0,,,,,,,,,,,,,1.0,,,,2.0,1.0,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4366,219810.0,Aaron Wilbraham,Aaron,Wilbraham,1979-10-21,England,England,18.0,F,Centre Striker,20,12.0,1.0,6.0,35.0,,4.0,3.0,47.0,1.0,6.0,8.0,11.0,38.0,21.0,4.0,1.0,,,,,1.0,3.0,2.0,,1.0,,2.0,1.0,3.0,4.0,11.0,,1.0,,1.0,1.0,21.0,6.0,,,1.0,2.0,,,,16.0,3.0,34.0,15.0,,1.0,1.0,10.0,0.0,6.0,36.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,19.0,9.0,5.0,6.0,,307.0,,,5.0,6.0,,13.0,16.0,9.0,,83.0,83.0,,2.0,23.0,4.0,17.0,5.0,13.0,1.0,1.0,5.0,3.0,3.0,56.0,35.0,89.0,,7.0,3.0,99.0,11.0,2.0,1.0,1.0,150.0,8.0,8.0,5.0,2.0,5.0,1.0,1.0,1.0,,,,,1.0,1.0,,5.0,10.0,,,1.0,,,,,,1.0,,,,,,1.0,3.0,,1.0,,,,4.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,9.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,23719.0,Andy Wilkinson,Andy,Wilkinson,1984-08-06,England,England,,D,Right Full Back,20,110.0,14.0,1.0,160.0,24.0,2.0,30.0,266.0,125.0,11.0,18.0,25.0,123.0,143.0,4.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,3.0,6.0,1.0,,,1.0,,48.0,51.0,,8.0,1.0,17.0,2.0,,8.0,17.0,6.0,83.0,93.0,8.0,81.0,41.0,214.0,0.0,28.0,245.0,20.0,32.0,25.0,7.0,,,,60.0,24.0,,15.0,86.0,186.0,86.0,12.0,22.0,1709.0,4.0,4.0,1.0,2.0,8.0,26.0,130.0,35.0,4.0,353.0,296.0,32.0,18.0,44.0,4.0,91.0,5.0,132.0,26.0,138.0,15.0,19.0,19.0,195.0,2.0,310.0,90.0,2.0,83.0,423.0,7.0,7.0,60.0,203.0,962.0,10.0,10.0,10.0,7.0,8.0,42.0,5.0,2.0,1.0,,,,,1.0,,1.0,5.0,,,,,,,1.0,,5.0,4.0,4.0,,1.0,,,11.0,,,,1.0,4.0,1.0,,,,2.0,1.0,1.0,,,,4.0,17.0,,9.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4257,180314.0,Derrick Williams,Derrick,Williams,1993-01-17,Ireland,Ireland,,D,Defender,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4024,139237.0,Mike Williamson,Mike,Williamson,1983-11-08,England,England,6.0,D,Central Defender,20,416.0,10.0,1.0,134.0,16.0,4.0,24.0,548.0,,44.0,49.0,22.0,153.0,140.0,5.0,4.0,,3.0,1.0,5.0,,3.0,1.0,,,,,,,1.0,1.0,1.0,,,,,80.0,52.0,,4.0,1.0,12.0,10.0,,,8.0,2.0,82.0,94.0,4.0,77.0,39.0,83.0,0.0,15.0,331.0,21.0,29.0,24.0,5.0,1.0,1.0,1.0,85.0,32.0,4.0,22.0,193.0,166.0,86.0,7.0,10.0,1895.0,25.0,1.0,5.0,1.0,13.0,12.0,77.0,8.0,3.0,265.0,190.0,32.0,20.0,116.0,4.0,37.0,6.0,472.0,26.0,152.0,3.0,3.0,3.0,114.0,4.0,251.0,64.0,4.0,68.0,720.0,6.0,,32.0,1.0,1000.0,4.0,4.0,13.0,13.0,5.0,23.0,4.0,,,,,,,2.0,1.0,,1.0,2.0,,,,1.0,,1.0,,,2.0,2.0,,,,,3.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
