id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high_left,att_cmiss_left,att_cmiss_right,att_fastbreak,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_lg_left,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_post,att_obox_target,att_obx_centre,att_openplay,att_post_high,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,final_third_entries,formation_place,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,goal_fastbreak,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,second_goal_assist,shield_ball_oop,shot_fastbreak,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,att_freekick_miss,att_freekick_total,att_hd_target,offside_provoked,accurate_corners_intobox,accurate_freekick_cross,assist_attempt_saved,assist_free_kick_won,assist_pass_lost,att_assist_setplay,att_cmiss_high,att_cmiss_high_right,att_freekick_target,att_goal_high_centre,att_obox_goal,att_obx_left,att_one_on_one,att_pen_goal,att_pen_target,freekick_cross,goal_assist_setplay,penalty_won,total_corners_intobox,att_freekick_post,att_ibox_post,att_obxd_right,att_post_left,att_post_right,own_goals,last_man_tackle,att_goal_high_left,att_lg_centre,penalty_conceded,red_card,assist_penalty_won,attempts_obox,six_yard_block,att_obxd_left,goal_assist_deadball,assist_post,attempts_ibox,att_freekick_goal,att_sv_high_right,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,foul_throw_in,second_yellow,assist_own_goal,att_hd_post,dangerous_play,clearance_off_line,att_obp_goal,penalty_save,assist_blocked_shot,assist_handball_won,att_obx_right,att_lg_right,att_pen_miss,back_pass,att_corner,fifty_fifty,successful_fifty_fifty,att_pen_post
15111,90970.0,Alfie Whiteman,Alfie,Whiteman,1998-10-02,England,England,,G,Goalkeeper,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396,301494.0,Connor Wickham,Connor,Wickham,1993-03-31,England,England,19.0,F,Centre Striker,54,19.0,1.0,2.0,2.0,7.0,54.0,,14.0,2.0,71.0,,,1.0,16.0,16.0,8.0,6.0,33.0,30.0,,6.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,3.0,,2.0,4.0,2.0,1.0,1.0,4.0,,2.0,,,1.0,2.0,,1.0,,1.0,2.0,7.0,,1.0,,3.0,1.0,,1.0,,1.0,1.0,35.0,3.0,,1.0,1.0,,8.0,,6.0,,,5.0,1.0,8.0,1.0,41.0,29.0,,8.0,5.0,,1.0,14.0,28.0,4.0,12.0,28.0,4.0,2.0,6.0,5.0,1.0,2.0,,,,,,6.0,29.0,,2.0,,2.0,17.0,8.0,5.0,6.0,2.0,411.0,,,5.0,94.0,1.0,,25.0,14.0,7.0,,46.0,44.0,1.0,1.0,1.0,,8.0,18.0,,,,5.0,26.0,67.0,7.0,,22.0,3.0,10.0,4.0,6.0,6.0,48450.11352539063,,44.0,16.0,82.0,2.0,18.0,6.0,1.0,98.0,,10.0,2.0,4.0,4.0,1.0,1.0,168.0,16.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,35781.0,Rhoys Wiggins,Rhoys,Wiggins,1987-11-04,England,Wales,12.0,D,Left Full Back,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114,279430.0,Georginio Wijnaldum,Georginio,Wijnaldum,1990-11-11,Netherlands,Netherlands,18.0,M,Centre Attacking Midfielder,54,508.0,51.0,3.0,3.0,4.0,914.0,2.0,88.0,58.0,1419.0,1.0,3.0,13.0,39.0,39.0,36.0,15.0,164.0,115.0,34.0,25.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,8.0,6.0,9.0,6.0,1.0,2.0,13.0,1.0,5.0,4.0,1.0,5.0,8.0,9.0,13.0,1.0,8.0,30.0,47.0,1.0,3.0,11.0,40.0,5.0,2.0,1.0,4.0,2.0,5.0,355.0,209.0,7.0,1.0,5.0,5.0,34.0,17.0,31.0,8.0,1.0,9.0,4.0,54.0,9.0,155.0,145.0,5.0,31.0,20.0,2.0,3.0,161.0,56.0,4.0,22.0,436.0,33.0,6.0,37.0,32.0,5.0,5.0,9.0,7.0,9.0,1.0,1.0,21.0,94.0,1.0,26.0,1.0,26.0,375.0,139.0,101.0,5.0,4.0,2975.0,8.0,35.0,20.0,1597.0,2.0,3.0,264.0,247.0,52.0,2.0,337.0,336.0,15.0,60.0,134.0,1.0,34.0,459.0,1.0,4.0,1.0,23.0,454.0,1391.0,10.0,43.0,558.0,92.0,32.0,40.0,13.0,13.0,355253.74157714844,3.0,554.0,14.0,1080.0,10.0,90.0,82.0,3.0,1625.0,1.0,60.0,9.0,3.0,46.0,3.0,16.0,2044.0,75.0,46.0,46.0,30.0,22.0,30.0,7.0,31.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16549,53192.0,Will Miller,William,Miller,1996-06-08,England,England,18.0,M,Left/Right Winger,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4767,287510.0,Jonathan Williams,Jonathan,Williams,1993-10-09,Wales,Wales,20.0,M,Left/Centre/Right Attacking Midfielder,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748,188215.0,Willian,Willian,Borges da Silva,1988-08-09,Brazil,Brazil,12.0,F,Left/Centre/Right Winger,54,172.0,22.0,33.0,11.0,20.0,510.0,1.0,49.0,32.0,649.0,,2.0,10.0,11.0,1.0,34.0,6.0,83.0,47.0,26.0,9.0,3.0,15.0,,2.0,2.0,1.0,2.0,3.0,4.0,,,,,3.0,7.0,11.0,6.0,1.0,,9.0,,6.0,0.0,,8.0,5.0,7.0,8.0,,1.0,16.0,35.0,,7.0,7.0,35.0,1.0,,1.0,2.0,2.0,1.0,203.0,92.0,,,2.0,1.0,34.0,10.0,10.0,,62.0,36.0,6.0,33.0,3.0,82.0,95.0,1.0,5.0,2.0,,,56.0,45.0,8.0,12.0,192.0,15.0,8.0,19.0,18.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,21.0,1.0,7.0,,7.0,249.0,42.0,27.0,5.0,1.0,1529.0,23.0,28.0,15.0,747.0,,5.0,70.0,188.0,139.0,2.0,292.0,292.0,9.0,38.0,45.0,,34.0,133.0,,,1.0,19.0,328.0,620.0,13.0,51.0,192.0,37.0,5.0,70.0,106.0,60.0,170630.65170288086,1.0,405.0,34.0,691.0,3.0,50.0,50.0,2.0,777.0,,44.0,13.0,19.0,19.0,8.0,10.0,1172.0,82.0,32.0,32.0,23.0,26.0,52.0,16.0,11.0,3.0,3.0,6.0,,,25.0,5.0,1.0,,1.0,23.0,1.0,,1.0,,1.0,,,,,19.0,,,49.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13122,258848.0,Chris Willock,Chris,Willock,1998-01-31,England,England,21.0,M,Left/Centre/Right Attacking Midfielder,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547,286498.0,Jack Wilshere,Jack,Wilshere,1992-01-01,England,England,11.0,M,Centre Central Midfielder,54,256.0,61.0,6.0,5.0,5.0,642.0,2.0,39.0,63.0,892.0,,7.0,7.0,10.0,9.0,29.0,11.0,182.0,125.0,30.0,8.0,,1.0,,,,,,,,,,,,5.0,,,4.0,,8.0,24.0,,2.0,1.0,,,1.0,5.0,4.0,2.0,6.0,16.0,22.0,,,2.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,153.0,144.0,4.0,2.0,,,45.0,10.0,20.0,4.0,11.0,7.0,4.0,37.0,6.0,110.0,148.0,,11.0,3.0,,,139.0,24.0,10.0,21.0,278.0,22.0,,45.0,38.0,7.0,,2.0,2.0,1.0,,1.0,3.0,29.0,5.0,13.0,1.0,13.0,316.0,91.0,58.0,13.0,2.0,1949.0,14.0,20.0,10.0,1024.0,6.0,6.0,121.0,156.0,103.0,2.0,305.0,305.0,8.0,54.0,82.0,3.0,45.0,321.0,1.0,,,7.0,329.0,853.0,18.0,34.0,286.0,119.0,11.0,84.0,26.0,17.0,229028.29956054688,,451.0,15.0,808.0,7.0,40.0,100.0,,1068.0,1.0,27.0,7.0,7.0,27.0,13.0,7.0,1443.0,40.0,37.0,37.0,52.0,10.0,60.0,10.0,18.0,4.0,,2.0,,,1.0,1.0,1.0,,,2.0,,,2.0,,,,,,,6.0,1.0,,9.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,219427.0,Callum Wilson,Callum,Wilson,1992-02-27,England,England,9.0,F,Centre Striker,54,39.0,1.0,1.0,1.0,,101.0,,19.0,1.0,139.0,1.0,,3.0,28.0,5.0,20.0,7.0,113.0,87.0,8.0,21.0,3.0,1.0,1.0,1.0,3.0,,,2.0,4.0,,2.0,5.0,9.0,5.0,6.0,10.0,4.0,,2.0,5.0,,0.0,1.0,2.0,1.0,6.0,2.0,,,2.0,4.0,27.0,2.0,4.0,2.0,17.0,,2.0,1.0,1.0,1.0,1.0,75.0,29.0,,2.0,4.0,,19.0,7.0,5.0,1.0,,9.0,,39.0,5.0,118.0,45.0,,1.0,1.0,,,8.0,54.0,9.0,30.0,33.0,16.0,6.0,26.0,21.0,5.0,2.0,,,,,4.0,1.0,11.0,2.0,5.0,,5.0,32.0,2.0,1.0,9.0,1.0,1363.0,2.0,6.0,12.0,168.0,3.0,4.0,32.0,39.0,12.0,,173.0,173.0,7.0,3.0,19.0,2.0,19.0,51.0,1.0,,,12.0,69.0,116.0,7.0,8.0,47.0,1.0,1.0,28.0,9.0,9.0,151340.84545898438,,105.0,6.0,153.0,2.0,24.0,4.0,18.0,191.0,3.0,31.0,14.0,4.0,6.0,,3.0,417.0,86.0,47.0,47.0,26.0,6.0,8.0,11.0,6.0,,,,2.0,,,,,,,,0.0,,,,,,,3.0,,,,2.0,,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
