id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,assist_penalty_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_right,att_corner,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,penalty_conceded,penalty_won,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,red_card,rightside_pass,second_goal_assist,shield_ball_oop,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_goal_kicks,att_bx_left,att_cmiss_high,att_cmiss_left,att_goal_high_left,att_goal_high_right,att_goal_low_left,att_hd_goal,att_hd_miss,att_hd_post,att_ibox_goal,att_ibox_post,att_miss_high_left,att_post_high,att_rf_goal,att_setpiece,att_sv_high_centre,big_chance_scored,goals,goals_openplay,goal_kicks,post_scoring_att,total_sub_on,accurate_flick_on,accurate_layoffs,accurate_pull_back,accurate_through_ball,att_cmiss_right,att_goal_low_centre,att_lf_goal,att_obox_goal,att_one_on_one,total_through_ball,att_assist_setplay,att_goal_low_right,att_sv_high_left,corner_taken,accurate_corners_intobox,freekick_cross,total_corners_intobox,total_fastbreak,assist_pass_lost,accurate_freekick_cross,assist_own_goal,att_freekick_target,att_freekick_total,att_obox_post,att_post_left,goal_assist_deadball,goal_assist_setplay,assist_free_kick_won,att_cmiss_high_left,att_freekick_goal,att_freekick_miss,att_freekick_post,att_pen_goal,att_pen_target,att_sv_high_right,assist_handball_won,att_fastbreak,att_goal_high_centre,att_pen_post,att_post_right,shot_fastbreak,clearance_off_line,second_yellow,assist_blocked_shot,att_cmiss_high_right,goal_fastbreak,assist_attempt_saved,assist_post,att_obxd_left,att_obx_left,att_obp_goal,foul_throw_in,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,good_high_claim,keeper_pick_up,keeper_throws,own_goals,punches,saved_ibox,saved_obox,saves,stand_save,total_high_claim,total_keeper_sweeper,att_obxd_right,dangerous_play,cross_not_claimed,dive_catch,gk_smother,penalty_faced,stand_catch,att_lg_centre,att_obx_right,penalty_save,back_pass,att_lg_left,att_lg_right,att_pen_miss
4874,186988.0,Joël Veltman,Joël,Veltman,1992-01-15,Netherlands,Netherlands,34.0,D,Centre/Right Full Back,363,486.0,56.0,20.0,20.0,505.0,11.0,69.0,971.0,175.0,38.0,42.0,28.0,,18.0,146.0,81.0,11.0,3.0,20.0,6.0,4.0,4.0,,2.0,2.0,6.0,2.0,2.0,4.0,2.0,,2.0,2.0,1.0,1.0,1.0,3.0,9.0,1.0,8.0,1.0,0.0,1.0,186.0,140.0,2.0,1.0,4.0,42.0,3.0,28.0,7.0,43.0,20.0,7.0,11.0,123.0,166.0,4.0,60.0,28.0,,,49.0,187.0,9.0,34.0,568.0,25.0,27.0,27.0,,1.0,,1.0,2.0,28.0,144.0,,33.0,3.0,33.0,,284.0,214.0,128.0,11.0,13.0,2282.0,5.0,9.0,13.0,4.0,1234.0,5.0,5.0,73.0,324.0,,,105.0,3.0,418.0,418.0,10.0,71.0,59.0,42.0,,211.0,,2.0,7.0,,21.0,229.0,956.0,19.0,25.0,22.0,574.0,141.0,60.0,36.0,63.0,63.0,334.0,1.0,738.0,60.0,0.0,159.0,,1249.0,1.0,14.0,3.0,67.0,221.0,1891.0,32.0,17.0,17.0,39.0,0.0,6.0,18.0,9.0,33.0,3.0,0.0,,,,,,,,2.0,,1.0,,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,,3.0,1.0,0.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32602,162022.0,Michael Verrips,Michael,Verrips,1996-12-03,Netherlands,Netherlands,21.0,G,Goalkeeper,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,188573.0,Jan Vertonghen,Jan,Vertonghen,1987-04-24,Belgium,Belgium,5.0,D,Centre Full Back,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20109,287385.0,Jannik Vestergaard,Jannik,Vestergaard,1992-08-03,Denmark,Denmark,23.0,D,Centre Central Defender,363,1027.0,100.0,1.0,1.0,447.0,13.0,109.0,1473.0,2.0,56.0,98.0,30.0,1.0,14.0,213.0,89.0,22.0,1.0,7.0,20.0,,16.0,4.0,19.0,2.0,11.0,5.0,1.0,2.0,3.0,,5.0,2.0,1.0,,,1.0,1.0,0.0,1.0,3.0,,0.0,134.0,146.0,1.0,2.0,3.0,20.0,3.0,17.0,6.0,3.0,2.0,6.0,5.0,98.0,166.0,3.0,119.0,70.0,,,50.0,173.0,1.0,19.0,731.0,29.0,46.0,39.0,7.0,,,,1.0,70.0,178.0,1.0,42.0,10.0,42.0,1.0,349.0,349.0,215.0,14.0,25.0,2575.0,15.0,3.0,4.0,8.0,1729.0,16.0,1.0,204.0,68.0,,1.0,36.0,7.0,322.0,322.0,,98.0,48.0,20.0,1.0,549.0,,,12.0,1.0,31.0,121.0,1450.0,13.0,9.0,7.0,1131.0,202.0,119.0,10.0,5.0,5.0,224.0,4.0,637.0,45.0,,227.0,,1763.0,,23.0,,50.0,2.0,2123.0,47.0,13.0,13.0,11.0,0.0,11.0,7.0,5.0,31.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,10.0,1.0,3.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67634,314799.0,Vitinha,Vítor,Machado Ferreira,2000-02-13,Portugal,Portugal,,M,Centre Attacking Midfielder,363,107.0,12.0,4.0,1.0,195.0,,9.0,298.0,,1.0,,19.0,,5.0,46.0,17.0,3.0,5.0,9.0,2.0,1.0,1.0,,,1.0,2.0,,,,,,2.0,,1.0,,4.0,5.0,7.0,4.0,8.0,2.0,1.0,,78.0,32.0,1.0,1.0,,7.0,2.0,5.0,,,3.0,3.0,4.0,20.0,20.0,,1.0,1.0,,,23.0,33.0,,8.0,53.0,5.0,8.0,8.0,,1.0,0.0,1.0,1.0,1.0,10.0,,3.0,,3.0,,99.0,20.0,14.0,10.0,,513.0,,3.0,9.0,4.0,326.0,,,57.0,49.0,,,21.0,1.0,68.0,68.0,3.0,7.0,22.0,7.0,,100.0,,,2.0,1.0,12.0,80.0,295.0,3.0,7.0,12.0,113.0,16.0,1.0,12.0,14.0,6.0,97.0,2.0,231.0,,8.0,12.0,1.0,330.0,1.0,8.0,5.0,7.0,,411.0,8.0,17.0,17.0,5.0,0.0,5.0,8.0,4.0,3.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,14.0,1.0,8.0,,1.0,,,,,,3.0,2.0,,,9.0,3.0,3.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15013,275388.0,Jake Vokins,Jake,Vokins,2000-03-17,England,England,,D,Defender,363,4.0,1.0,1.0,1.0,8.0,,,11.0,7.0,,,1.0,,2.0,5.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,1.0,,2.0,1.0,,,3.0,,,,,,,,,,2.0,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,4.0,4.0,1.0,,66.0,,,1.0,,13.0,,,5.0,,,,2.0,,4.0,4.0,,,,1.0,,2.0,,,,,,1.0,11.0,,0.0,1.0,4.0,1.0,,,3.0,3.0,2.0,,12.0,,,,1.0,13.0,,,1.0,,7.0,23.0,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398,166315.0,Michel Vorm,Michel,Vorm,1983-10-20,Netherlands,Netherlands,13.0,G,Goalkeeper,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851,135169.0,Matej Vydra,Matej,Vydra,1992-05-01,Czech Republic,Czech Republic,27.0,F,Centre Striker,363,20.0,3.0,1.0,1.0,149.0,,3.0,168.0,1.0,89.0,37.0,28.0,,1.0,125.0,89.0,31.0,4.0,12.0,19.0,3.0,4.0,,4.0,7.0,15.0,7.0,4.0,15.0,5.0,3.0,4.0,4.0,1.0,2.0,,4.0,30.0,3.0,15.0,3.0,2.0,1.0,73.0,41.0,4.0,7.0,,12.0,8.0,7.0,1.0,3.0,0.0,22.0,6.0,134.0,73.0,,5.0,3.0,,,51.0,20.0,4.0,6.0,34.0,15.0,24.0,21.0,3.0,2.0,1.0,2.0,,3.0,52.0,,6.0,,6.0,,64.0,5.0,3.0,17.0,1.0,1366.0,,4.0,10.0,10.0,236.0,1.0,3.0,35.0,39.0,,,16.0,,157.0,157.0,18.0,2.0,21.0,12.0,,65.0,,1.0,17.0,,21.0,104.0,168.0,7.0,32.0,14.0,27.0,5.0,5.0,26.0,3.0,3.0,142.0,19.0,212.0,,18.0,5.0,12.0,236.0,4.0,35.0,10.0,9.0,1.0,457.0,92.0,52.0,52.0,13.0,0.0,5.0,16.0,11.0,5.0,,,4.0,1.0,1.0,,1.0,0.0,,4.0,,2.0,,1.0,,1.0,1.0,1.0,2.0,3.0,3.0,,,13.0,5.0,16.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,277556.0,Theo Walcott,Theo,Walcott,1989-03-16,England,England,32.0,F,Right Winger,363,106.0,7.0,5.0,5.0,197.0,2.0,7.0,298.0,2.0,24.0,11.0,22.0,,8.0,163.0,60.0,17.0,12.0,14.0,8.0,6.0,2.0,,,3.0,6.0,5.0,1.0,2.0,0.0,2.0,6.0,4.0,2.0,6.0,3.0,12.0,25.0,7.0,27.0,6.0,1.0,,104.0,61.0,1.0,2.0,2.0,29.0,5.0,21.0,2.0,22.0,7.0,27.0,5.0,119.0,81.0,2.0,3.0,2.0,,,51.0,28.0,8.0,13.0,117.0,20.0,28.0,24.0,4.0,3.0,2.0,2.0,,2.0,36.0,1.0,14.0,,14.0,,95.0,29.0,16.0,9.0,3.0,1641.0,1.0,5.0,12.0,11.0,399.0,,3.0,35.0,89.0,,,37.0,4.0,249.0,249.0,13.0,22.0,26.0,29.0,,84.0,,,13.0,,24.0,99.0,297.0,16.0,61.0,17.0,139.0,20.0,3.0,51.0,29.0,29.0,149.0,21.0,290.0,6.0,19.0,16.0,8.0,400.0,1.0,29.0,12.0,23.0,2.0,716.0,63.0,57.0,57.0,30.0,0.0,8.0,17.0,8.0,11.0,,,2.0,,,,,1.0,,,,3.0,,,1.0,3.0,1.0,1.0,2.0,3.0,3.0,,1.0,2.0,7.0,18.0,,,3.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14467,31600.0,Jake Walker,Jake,Walker,2000-11-03,England,England,46.0,D,Defender,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
