id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,assist_handball_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_corner,att_fastbreak,att_freekick_miss,att_freekick_total,att_goal_high_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_lf_total,att_lg_centre,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_post,att_obox_target,att_obp_goal,att_obx_centre,att_openplay,att_post_high,att_post_right,att_rf_target,att_rf_total,att_setpiece,att_sv_high_right,att_sv_low_centre,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,shot_fastbreak,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,assist_attempt_saved,assist_blocked_shot,att_assist_setplay,att_cmiss_high_left,att_lf_goal,att_sv_high_left,att_sv_low_left,big_chance_created,corner_taken,goals_openplay,hand_ball,total_corners_intobox,total_offside,att_cmiss_high_right,att_freekick_target,att_goal_high_centre,att_goal_low_centre,att_goal_low_left,att_obxd_left,att_obx_left,att_one_on_one,att_rf_goal,att_sv_high_centre,freekick_cross,goal_assist_setplay,accurate_pull_back,att_hd_post,clearance_off_line,foul_throw_in,offside_provoked,shield_ball_oop,total_pull_back,att_goal_high_right,red_card,penalty_conceded,goal_kicks,accurate_freekick_cross,assist_own_goal,assist_penalty_won,penalty_won,goal_assist_deadball,att_lg_right,second_goal_assist,assist_pass_lost,assist_post,att_post_left,last_man_tackle,att_obox_goal,att_pen_goal,dangerous_play,assist_free_kick_won,att_pen_target,att_freekick_goal,goal_fastbreak,accurate_goal_kicks,att_lg_left,att_obxd_right,own_goals,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,second_yellow,att_freekick_post,dive_catch,penalty_save,att_pen_post,att_pen_miss,att_obx_right
21774,299718.0,Jan Mlakar,Jan,Mlakar,1998-10-23,Slovenia,Slovenia,29.0,F,Forward,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108751,259057.0,Jakub Moder,Jakub,Moder,1999-04-07,Poland,Poland,15.0,M,Centre Central Midfielder,418,198.0,13.0,5.0,377.0,1.0,7.0,12.0,567.0,2.0,6.0,37.0,25.0,28.0,,9.0,136.0,96.0,21.0,7.0,11.0,12.0,4.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,1.0,2.0,6.0,,6.0,3.0,6.0,1.0,5.0,,2.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,,,6.0,22.0,3.0,,4.0,21.0,2.0,,3.0,,161.0,107.0,4.0,,2.0,58.0,10.0,19.0,2.0,27.0,7.0,19.0,12.0,110.0,90.0,2.0,20.0,8.0,,1.0,55.0,87.0,4.0,19.0,256.0,19.0,,23.0,19.0,4.0,3.0,1.0,2.0,8.0,45.0,4.0,10.0,1.0,10.0,162.0,55.0,26.0,9.0,3.0,1702.0,7.0,9.0,6.0,752.0,2.0,4.0,188.0,108.0,76.0,1.0,323.0,323.0,16.0,44.0,47.0,4.0,58.0,181.0,,12.0,1.0,29.0,233.0,560.0,23.0,36.0,16.0,242.0,36.0,20.0,29.0,45.0,38.0,,345.0,25.0,563.0,16.0,9.0,37.0,760.0,28.0,10.0,9.0,42.0,6.0,7.0,1114.0,64.0,50.0,50.0,11.0,0.0,7.0,12.0,18.0,25.0,2.0,1.0,8.0,7.0,,,2.0,,,1.0,1.0,5.0,7.0,,1.0,7.0,,,,,,,,1.0,1.0,,1.0,4.0,1.0,1.0,,,,2.0,,3.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5239,188867.0,Mohamed Elneny,Mohamed Naser,Elsayed Elneny,1992-07-11,Egypt,Egypt,15.0,M,Centre Defensive Midfielder,418,232.0,10.0,,296.0,2.0,1.0,18.0,528.0,,,6.0,6.0,14.0,,3.0,80.0,33.0,,8.0,7.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,3.0,3.0,,2.0,,8.0,5.0,,,2.0,8.0,,,1.0,,65.0,51.0,,,2.0,12.0,3.0,5.0,,,,3.0,,20.0,27.0,2.0,11.0,7.0,,,22.0,72.0,,5.0,130.0,8.0,,17.0,15.0,2.0,2.0,,1.0,7.0,27.0,,14.0,1.0,14.0,187.0,43.0,37.0,6.0,5.0,801.0,4.0,5.0,2.0,549.0,1.0,,60.0,80.0,6.0,2.0,45.0,45.0,4.0,24.0,23.0,,12.0,183.0,,3.0,,8.0,127.0,512.0,6.0,4.0,9.0,247.0,18.0,11.0,1.0,,,,140.0,,318.0,5.0,1.0,28.0,565.0,8.0,,6.0,16.0,1.0,,646.0,3.0,4.0,4.0,5.0,0.0,8.0,,2.0,8.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5178,47184.0,Mohamed Salah,Mohamed,Salah Ghaly,1992-06-15,Egypt,Egypt,11.0,F,Left/Centre/Right Winger,418,163.0,27.0,8.0,705.0,,30.0,18.0,862.0,12.0,7.0,33.0,7.0,35.0,,5.0,172.0,79.0,113.0,26.0,49.0,62.0,6.0,30.0,4.0,6.0,2.0,14.0,12.0,,1.0,1.0,6.0,,2.0,4.0,7.0,28.0,22.0,30.0,2.0,31.0,28.0,117.0,,11.0,4.0,2.0,12.0,10.0,10.0,9.0,,6.0,,26.0,111.0,2.0,,5.0,15.0,7.0,2.0,15.0,8.0,328.0,86.0,17.0,20.0,1.0,44.0,38.0,13.0,13.0,23.0,17.0,81.0,8.0,209.0,100.0,1.0,4.0,1.0,,,103.0,64.0,9.0,12.0,217.0,30.0,23.0,22.0,15.0,7.0,13.0,12.0,13.0,1.0,32.0,3.0,6.0,,6.0,430.0,27.0,21.0,2.0,1.0,2761.0,12.0,50.0,60.0,1069.0,1.0,12.0,11.0,389.0,119.0,,524.0,524.0,28.0,19.0,39.0,2.0,44.0,104.0,12.0,41.0,6.0,59.0,458.0,852.0,6.0,152.0,63.0,181.0,59.0,4.0,124.0,41.0,40.0,12.0,624.0,20.0,939.0,3.0,34.0,28.0,1079.0,139.0,5.0,5.0,17.0,18.0,7.0,1717.0,337.0,99.0,99.0,23.0,7.0,25.0,53.0,46.0,8.0,1.0,,6.0,6.0,1.0,,,0.0,19.0,2.0,7.0,18.0,1.0,15.0,1.0,1.0,12.0,1.0,,3.0,4.0,7.0,,,6.0,4.0,3.0,,0.0,,1.0,,,,,2.0,2.0,,,,,,,2.0,,,1.0,,,0.0,,1.0,5.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15293,311449.0,Jayson Molumby,Jayson,Molumby,1999-08-06,Ireland,Ireland,14.0,M,Centre Central Midfielder,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115025,302002.0,Jacob Montes,Jacob,Montes,1998-10-20,United States,United States,21.0,M,Midfielder,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92722,299234.0,Kris Moore,Kris,Moore,2003-11-13,England,England,52.0,D,Centre Central Defender,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92706,265053.0,Andrew Moran,Andrew,Moran,2003-10-15,Ireland,Ireland,59.0,M,Centre Central Midfielder,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64281,259201.0,Pablo Moreno,Pablo,Moreno,2002-05-03,Spain,Spain,19.0,F,Forward,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8966,11241.0,Wes Morgan,Wes,Morgan,1984-01-21,England,Jamaica,5.0,D,Centre Central Defender,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
