id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info
3654,47197.0,Pablo Zabaleta,Pablo,Zabaleta,1985-01-16,Argentina,Argentina,5.0,D,Right Full Back
4834,161178.0,Gregor Zabret,Gregor,Zabret,1995-08-18,Slovenia,Slovenia,39.0,G,Goalkeeper
4539,13935.0,Wilfried Zaha,Wilfried,Zaha,1992-11-10,Cote D’Ivoire,Cote D’Ivoire,11.0,F,Left/Centre/Right Winger
4716,157555.0,Gedion Zelalem,Gedion,Zelalem,1997-01-26,Germany,United States,24.0,M,Midfielder
5175,288580.0,Kurt Zouma,Kurt,Zouma,1994-10-27,France,France,4.0,D,Centre Central Defender
4780,24091.0,Elsad Zverotic,Elsad,Zverotic,1986-10-31,Montenegro,Montenegro,31.0,D,Right Full Back
4515,6304.0,Giorgos Karagounis,Giorgos,Karagounis,1977-03-06,Greece,Greece,14.0,M,Centre/Right Attacking Midfielder
4302,305229.0,Pajtim Kasami,Pajtim,Kasami,1992-06-02,North Macedonia,Switzerland,7.0,M,Centre Central Midfielder
4333,48260.0,Michael Keane,Michael,Keane,1993-01-11,England,England,5.0,D,Centre Central Defender
3483,11222.0,Jimmy Kébé,Jimmy,Kébé,1984-01-19,Mali,Mali,38.0,M,Right Winger
3644,21247.0,Martin Kelly,Martin,Kelly,1990-04-27,England,England,,D,Right Full Back
4508,11500.0,Matthew Kennedy,Matthew,Kennedy,1994-11-01,Northern Ireland,Northern Ireland,11.0,D,Left/Right Wing Back
4305,52638.0,Kerim Frei,Kerim,Frei,1993-11-19,Austria,Turkey,29.0,M,Right Winger
4190,16451.0,Bongani Khumalo,Bongani,Khumalo,1987-01-06,,South Africa,6.0,D,Centre Central Defender
4656,180889.0,Ki Sung-Yeung,Sung-Yeung,Ki,1989-01-24,South Korea,South Korea,10.0,M,Centre Central Midfielder
2579,50106.0,Michael Kightly,Michael,Kightly,1986-01-24,England,England,7.0,M,Left Winger
4734,109610.0,Kim Bo-Kyung,Bo-Kyung,Kim,1989-10-06,South Korea,South Korea,13.0,M,Left/Centre/Right Attacking Midfielder
7481,131974.0,Adam King,Adam,King,1995-10-11,Scotland,Scotland,18.0,M,Centre Central Midfielder
4738,132561.0,Filip Kiss,Filip,Kiss,1990-10-13,Slovakia,Slovakia,,M,Centre/Right Defensive Midfielder
4186,93572.0,Billy Knott,Billy,Knott,1992-11-28,England,England,30.0,M,Midfielder
4141,256687.0,Aleksandar Kolarov,Aleksandar,Kolarov,1985-11-10,Yugoslavia,Serbia,11.0,D,Left Full Back
2002,32441.0,Kolo Touré,Kolo,Touré,1981-03-19,,,2.0,D,Centre Central Defender
3653,262223.0,Vincent Kompany,Vincent,Kompany,1986-04-10,Belgium,Belgium,4.0,D,Defender
4701,171380.0,Arouna Koné,Arouna,Koné,1983-11-11,,,2.0,F,Centre Striker
3743,124515.0,Robert Koren,Robert,Koren,1980-09-20,Slovenia,Slovenia,10.0,M,Midfielder
4030,170758.0,Laurent Koscielny,Laurent,Koscielny,1985-09-10,France,France,6.0,D,Centre Central Defender
4724,315538.0,Libor Kozák,Libor,Kozák,1989-05-30,Czech Republic,Czech Republic,,F,Forward
4715,282079.0,Kristoffer Olsson,Kristoffer,Olsson,1995-06-30,Sweden,Sweden,20.0,M,Midfielder
3169,133649.0,Tim Krul,Tim,Krul,1988-04-03,Netherlands,Netherlands,1.0,G,Goalkeeper
8709,32476.0,William Kvist,William,Kvist,1985-02-24,Denmark,Denmark,6.0,M,Centre Defensive Midfielder
4182,167446.0,Louis Laing,Louis,Laing,1993-03-06,England,England,,D,Central Defender
4109,30908.0,Milan Lalkovic,Milan,Lalkovic,1992-12-09,Slovakia,Slovakia,10.0,M,Left/Right Winger
4618,186673.0,Adam Lallana,Adam,Lallana,1988-05-10,England,England,14.0,M,Left/Centre/Right Attacking Midfielder
4655,157388.0,Roland Lamah,Roland,Lamah,1987-12-31,Cote D’Ivoire,Belgium,7.0,M,Left Attacking Midfielder
4627,36583.0,Rickie Lambert,Rickie,Lambert,1982-02-16,England,England,19.0,F,Centre Striker
4842,283441.0,Erik Lamela,Erik,Lamela,1992-03-04,Argentina,Argentina,17.0,M,Left/Centre/Right Attacking Midfielder
800,143319.0,Frank Lampard,Frank,Lampard,1978-06-20,England,England,8.0,M,Attacking Midfielder
4436,157487.0,Cameron Lancaster,Cameron,Lancaster,1992-11-05,England,England,9.0,F,Striker
4358,13443.0,Simon Lappin,Simon,Lappin,1983-01-25,Scotland,Scotland,22.0,M,Midfielder
2613,153110.0,Sebastian Larsson,Sebastian,Larsson,1985-06-06,Sweden,Sweden,7.0,M,Centre Central Midfielder
5561,316154.0,Tom Lawrence,Tom,Lawrence,1994-01-13,Wales,Wales,,F,Centre Second Striker
4721,154333.0,Leandro Bacuna,Leandro,Bacuna,1991-08-21,Netherlands,Curacao,7.0,M,Right Winger
6047,273167.0,Joe Ledley,Joe,Ledley,1987-01-23,Wales,Wales,34.0,M,Centre Central Midfielder
10453,129109.0,Ryan Ledson,Ryan,Ledson,1997-08-19,England,England,18.0,M,Centre Central Midfielder
4628,159256.0,Tadanari Lee,Tadanari,Lee,1985-12-19,Japan,Japan,20.0,F,Centre Second Striker
2270,288361.0,Aaron Lennon,Aaron,Lennon,1987-04-16,England,England,17.0,M,Right Winger
2574,266152.0,Joleon Lescott,Joleon,Lescott,1982-08-16,England,England,,D,Left/Right Central Defender
2761,19294.0,Joe Lewis,Joe,Lewis,1987-10-06,England,England,12.0,G,Goalkeeper
4034,15292.0,Li Ke,Ke,Li,1993-05-24,England,China,4.0,D,Full Back
4154,53321.0,Anders Lindegaard,Anders,Lindegaard,1984-04-13,Denmark,Denmark,22.0,G,Goalkeeper
4337,287243.0,Jesse Lingard,Jesse,Lingard,1992-12-15,England,England,11.0,M,Left/Centre/Right Attacking Midfielder
3204,20481.0,Leroy Lita,Leroy,Lita,1984-12-28,England,England,38.0,F,Centre Striker
3244,270979.0,Jake Livermore,Jake,Livermore,1989-11-14,England,England,,M,Centre Central Midfielder
4686,48888.0,Sebastian Lletget,Sebastian,Lletget,1992-09-03,United States,United States,17.0,M,Attacking Midfielder
4664,6503.0,Hugo Lloris,Hugo,Lloris,1986-12-26,France,France,1.0,G,Goalkeeper
5179,258900.0,Ruben Loftus-Cheek,Ruben,Loftus-Cheek,1996-01-23,England,England,15.0,M,Centre Attacking Midfielder
10272,281076.0,Chris Long,Chris,Long,1995-02-25,England,England,7.0,F,Centre Striker
4661,15563.0,James Loveridge,James,Loveridge,1994-05-16,Wales,Wales,20.0,F,Centre Striker
4813,187060.0,Dejan Lovren,Dejan,Lovren,1989-07-05,Bosnia & Herzegovina,Croatia,6.0,D,Centre Central Defender
4487,22919.0,Matthew Lowton,Matthew,Lowton,1989-06-09,England,England,2.0,D,Right Full Back
4865,266669.0,Jamar Loza,Jamar,Loza,1994-05-10,Jamaica,Jamaica,26.0,F,Forward
4418,12953.0,Lee Lucas,Lee,Lucas,1992-06-10,Wales,Wales,31.0,M,Midfielder
3137,51075.0,Lucas Leiva,Lucas Pezzini,Leiva,1987-01-09,Brazil,Brazil,6.0,M,Centre Central Midfielder
4289,267498.0,Lucas Piazón,Gustavo Lucas,Domingues Piazón,1994-01-20,Brazil,Brazil,11.0,M,Left/Centre/Right Attacking Midfielder
4848,6779.0,Diego Lugano,Diego,Lugano,1980-11-02,Uruguay,Uruguay,14.0,D,Centre Central Defender
4799,51078.0,Luis Alberto,Luis Alberto,Romero Alconchel,1992-09-28,Spain,Spain,10.0,M,Centre Attacking Midfielder
4138,256107.0,Luis Suárez,Luis,Suárez,1987-01-24,Uruguay,Uruguay,9.0,F,Centre Striker
4290,314976.0,Romelu Lukaku,Romelu,Lukaku,1993-05-13,Belgium,Belgium,90.0,F,Centre Striker
4720,296180.0,Antonio Luna,Antonio,Luna,1991-03-17,Spain,Spain,19.0,D,Left Full Back
4509,278057.0,John Lundstram,John,Lundstram,1994-02-18,England,England,4.0,M,Centre Central Midfielder
4432,161563.0,Massimo Luongo,Massimo,Luongo,1992-09-25,Australia,Australia,21.0,M,Centre Central Midfielder
9198,18022.0,Luuk de Jong,Luuk,de Jong,1990-08-27,Switzerland,Netherlands,9.0,F,Centre Striker
3454,171180.0,Federico Macheda,Federico,Macheda,1991-08-22,Italy,Italy,9.0,F,Forward
13987,314934.0,Pablo Maffeo,Pablo,Maffeo,1997-07-12,Spain,Spain,,D,Right Full Back
4693,51280.0,Sean Maguire,Sean,Maguire,1994-05-01,Ireland,Ireland,24.0,F,Centre Striker
