id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,attempts_conceded_ibox,game_started,goals_conceded,goals_conceded_ibox,goal_assist_openplay,mins_played,ontarget_att_assist,open_play_pass,poss_lost_all,poss_lost_ctrl,times_tackled,total_att_assist,total_pass,touches,winning_goal,own_goals,attempts_ibox,att_bx_centre,att_ibox_goal,att_lf_goal,att_lf_total,att_openplay,goals_openplay,ontarget_scoring_att,total_scoring_att,att_rf_goal,att_rf_total,total_sub_on,accurate_pass,successful_open_play_pass,total_sub_off
562,1,18.0,0.0,5.0,3.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,3.0,0.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,1,5.0,0.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,1,18.0,1.0,3.0,,7.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,1,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,1,34.0,7.0,11.0,1.0,14.0,9.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1,6.0,1.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,1,33.0,6.0,11.0,1.0,10.0,12.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1,40.0,11.0,8.0,1.0,18.0,14.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,4.0,0.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1,20.0,1.0,5.0,1.0,11.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1,28.0,5.0,9.0,4.0,12.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1,34.0,5.0,9.0,11.0,14.0,11.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1,26.0,7.0,8.0,3.0,9.0,9.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1,19.0,5.0,5.0,1.0,5.0,9.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1,13.0,5.0,6.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1,37.0,9.0,15.0,6.0,12.0,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,1,17.0,2.0,6.0,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,1,29.0,2.0,10.0,6.0,9.0,10.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1,10.0,3.0,2.0,,4.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1,6.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,13.0,2.0,4.0,1.0,5.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1,26.0,7.0,8.0,17.0,11.0,7.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,33.0,12.0,9.0,4.0,10.0,14.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1,42.0,11.0,12.0,16.0,15.0,15.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,27.0,4.0,7.0,6.0,5.0,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1,24.0,1.0,5.0,3.0,10.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,1,4.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,1,5.0,0.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,29.0,10.0,8.0,1.0,10.0,11.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1,7.0,3.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,1,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,17.0,4.0,5.0,,6.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,1,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,1,40.0,8.0,14.0,1.0,12.0,14.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,1,31.0,2.0,7.0,,14.0,10.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,1,27.0,6.0,7.0,2.0,7.0,13.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1,20.0,0.0,9.0,,7.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,38.0,11.0,15.0,6.0,12.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
