id,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
39,2,38.0,12.0,12.0,1.0,13.0,1.0,13.0,5.0,,
827,2,42.0,4.0,15.0,4.0,22.0,,5.0,,,
88,2,,,,,,,,,,
241,2,3.0,0.0,1.0,,,,2.0,,,
545,2,32.0,6.0,9.0,,14.0,,9.0,,,
205,2,32.0,12.0,13.0,,11.0,1.0,8.0,1.0,4.0,
532,2,,,,,,,,,,
765,2,1.0,0.0,,,1.0,,,,,
112,2,32.0,9.0,8.0,3.0,10.0,,14.0,3.0,6.0,
263,2,7.0,0.0,,,4.0,,3.0,,,
552,2,31.0,8.0,13.0,,12.0,,6.0,4.0,,1.0
562,2,1.0,0.0,,,,,1.0,,,
703,2,11.0,3.0,6.0,4.0,2.0,,3.0,,1.0,
184,2,27.0,6.0,4.0,1.0,14.0,,9.0,5.0,3.0,
836,2,,,,,,,,,,
763,2,,,,,,,,,,
572,2,,,,,,,,,,
174,2,28.0,7.0,8.0,1.0,13.0,1.0,7.0,1.0,1.0,
733,2,16.0,2.0,5.0,2.0,7.0,1.0,4.0,1.0,,
236,2,1.0,0.0,,,,,1.0,,,
204,2,38.0,12.0,15.0,3.0,14.0,,9.0,3.0,1.0,
266,2,17.0,1.0,5.0,,7.0,,5.0,1.0,,
788,2,,,,,,,,,,
750,2,42.0,10.0,16.0,,10.0,,16.0,1.0,1.0,
501,2,13.0,2.0,3.0,,6.0,,4.0,1.0,1.0,
470,2,,,,,,,,,,
287,2,35.0,9.0,14.0,1.0,14.0,,7.0,6.0,1.0,
190,2,7.0,1.0,1.0,,5.0,,1.0,,,
712,2,37.0,10.0,8.0,,11.0,,18.0,4.0,,
506,2,19.0,5.0,9.0,3.0,3.0,,7.0,,7.0,
468,2,15.0,4.0,7.0,,4.0,,4.0,,,1.0
181,2,8.0,2.0,2.0,,5.0,,1.0,1.0,,
295,2,31.0,5.0,12.0,6.0,11.0,,8.0,2.0,1.0,
107,2,35.0,11.0,10.0,4.0,12.0,,13.0,2.0,9.0,1.0
80,2,33.0,12.0,7.0,6.0,6.0,,20.0,1.0,9.0,
764,2,35.0,4.0,12.0,1.0,18.0,,5.0,3.0,,
452,2,42.0,10.0,12.0,3.0,14.0,,16.0,,,
208,2,29.0,10.0,9.0,,12.0,,8.0,4.0,,
737,2,5.0,0.0,,,3.0,,2.0,1.0,,
739,2,29.0,6.0,8.0,,10.0,,11.0,,,
700,2,,,,,,,,,,
664,2,18.0,2.0,3.0,3.0,7.0,,8.0,1.0,,
830,2,13.0,0.0,5.0,,5.0,,3.0,,,
794,2,8.0,1.0,2.0,1.0,4.0,,2.0,,1.0,
484,2,38.0,10.0,15.0,5.0,15.0,,8.0,10.0,6.0,
59,2,12.0,1.0,3.0,2.0,5.0,,4.0,,,
822,2,1.0,0.0,,,1.0,,,,,
312,2,,,,,,,,,,
201,2,7.0,0.0,4.0,,3.0,,,,,
496,2,31.0,9.0,12.0,1.0,5.0,,14.0,,2.0,
367,2,23.0,4.0,9.0,4.0,10.0,,4.0,1.0,1.0,
535,2,11.0,1.0,2.0,1.0,5.0,,4.0,2.0,1.0,
677,2,9.0,0.0,4.0,,3.0,,2.0,,1.0,
131,2,,,,,,,,,,
502,2,1.0,0.0,,,1.0,,,,,
228,2,32.0,15.0,12.0,1.0,3.0,,17.0,1.0,2.0,
214,2,11.0,0.0,5.0,1.0,5.0,,1.0,1.0,,
251,2,29.0,7.0,8.0,,9.0,,12.0,,,
219,2,4.0,0.0,2.0,,1.0,,1.0,,,
455,2,39.0,5.0,11.0,1.0,12.0,,16.0,1.0,9.0,
796,2,3.0,1.0,2.0,1.0,,,1.0,,,
213,2,,,,,,,,,,
123,2,9.0,2.0,4.0,,1.0,,4.0,,,
417,2,,,,,,,,,,
824,2,8.0,1.0,3.0,,4.0,,1.0,,,
139,2,21.0,3.0,9.0,6.0,5.0,,7.0,,5.0,
383,2,34.0,8.0,15.0,6.0,10.0,,9.0,2.0,3.0,
826,2,4.0,0.0,1.0,,2.0,,1.0,,1.0,
99,2,7.0,0.0,1.0,,4.0,,2.0,,,
778,2,26.0,3.0,8.0,2.0,15.0,,3.0,1.0,2.0,
770,2,1.0,0.0,,,1.0,,,,,
11,2,34.0,16.0,13.0,,7.0,,14.0,3.0,2.0,
485,2,5.0,1.0,4.0,,1.0,,,,,
667,2,,,,,,,,,,
672,2,19.0,3.0,4.0,1.0,9.0,,6.0,,2.0,
292,2,17.0,4.0,8.0,,5.0,,4.0,,,
628,2,2.0,0.0,,,2.0,,,,,
702,2,16.0,2.0,7.0,4.0,6.0,,3.0,,2.0,
