id,year_id,appearances,clean_sheet,draws,losses,wins,goal_assist,yellow_card,goals,red_card,own_goals
1305,7,12.0,0.0,8.0,1.0,3.0,,,,,
72,7,38.0,15.0,10.0,13.0,15.0,2.0,3.0,,,
1417,7,19.0,2.0,6.0,7.0,6.0,2.0,4.0,1.0,,
1574,7,2.0,0.0,,2.0,,,,,,
59,7,33.0,9.0,11.0,2.0,20.0,11.0,3.0,18.0,,
1222,7,25.0,8.0,9.0,6.0,10.0,1.0,9.0,2.0,,
1464,7,15.0,3.0,4.0,7.0,4.0,,5.0,,,
200,7,2.0,1.0,,1.0,1.0,,,,,
207,7,22.0,5.0,8.0,11.0,3.0,2.0,6.0,2.0,,
1538,7,10.0,0.0,3.0,2.0,5.0,,,1.0,,
277,7,25.0,5.0,7.0,11.0,7.0,5.0,4.0,14.0,,
388,7,20.0,1.0,6.0,9.0,5.0,,1.0,3.0,,
1586,7,26.0,6.0,12.0,8.0,6.0,2.0,12.0,3.0,,
300,7,8.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,,
1635,7,13.0,6.0,3.0,5.0,5.0,1.0,8.0,,,
46,7,23.0,3.0,5.0,11.0,7.0,6.0,3.0,1.0,,
859,7,26.0,5.0,11.0,11.0,4.0,,3.0,,,
401,7,27.0,4.0,7.0,13.0,7.0,1.0,6.0,1.0,,
349,7,14.0,3.0,9.0,4.0,1.0,2.0,2.0,1.0,,
1628,7,17.0,6.0,8.0,6.0,3.0,1.0,6.0,,,
321,7,34.0,11.0,13.0,3.0,18.0,3.0,5.0,1.0,1.0,
1476,7,,,,,,,,,,
1420,7,12.0,3.0,3.0,3.0,6.0,,,,,
1086,7,2.0,2.0,1.0,,1.0,,,,,
1151,7,37.0,7.0,15.0,3.0,19.0,6.0,1.0,13.0,,
1467,7,,,,,,,,,,
519,7,11.0,3.0,3.0,6.0,2.0,,1.0,,,
87,7,16.0,0.0,5.0,7.0,4.0,1.0,,5.0,,
1462,7,4.0,0.0,1.0,3.0,,,,,,
1066,7,,,,,,,,,,
1594,7,10.0,2.0,4.0,4.0,2.0,,2.0,,,
335,7,24.0,6.0,9.0,2.0,13.0,2.0,1.0,3.0,,
1593,7,22.0,4.0,4.0,9.0,9.0,2.0,,3.0,,
1129,7,10.0,3.0,7.0,,3.0,2.0,2.0,,,
329,7,23.0,2.0,10.0,7.0,6.0,3.0,2.0,1.0,1.0,
416,7,,,,,,,,,,
851,7,31.0,6.0,7.0,13.0,11.0,2.0,,,,
1544,7,3.0,0.0,,2.0,1.0,,,,,
151,7,38.0,13.0,15.0,11.0,12.0,4.0,3.0,3.0,,
1083,7,30.0,4.0,8.0,12.0,10.0,10.0,9.0,3.0,,
974,7,1.0,0.0,,1.0,,,,,,
946,7,,,,,,,,,,
685,7,16.0,3.0,2.0,8.0,6.0,,,,,
1144,7,9.0,2.0,3.0,4.0,2.0,,,,1.0,
1536,7,23.0,5.0,9.0,2.0,12.0,2.0,2.0,5.0,,
423,7,17.0,3.0,6.0,5.0,6.0,,,2.0,,
1595,7,23.0,3.0,10.0,8.0,5.0,1.0,5.0,4.0,1.0,
860,7,5.0,1.0,1.0,2.0,2.0,,1.0,,,
1493,7,1.0,1.0,1.0,,,,,,,
1133,7,,,,,,,,,,
1363,7,1.0,0.0,,1.0,,,,,,
1147,7,,,,,,,,,,
1297,7,8.0,3.0,1.0,1.0,6.0,,1.0,,1.0,
1045,7,35.0,14.0,11.0,6.0,18.0,7.0,7.0,4.0,,
1223,7,4.0,2.0,2.0,2.0,,,,,,
1358,7,36.0,7.0,8.0,17.0,11.0,,2.0,,,
848,7,32.0,10.0,9.0,9.0,14.0,6.0,8.0,3.0,,
844,7,31.0,7.0,7.0,17.0,7.0,3.0,5.0,6.0,,
1429,7,3.0,0.0,,,3.0,,,,,
938,7,29.0,10.0,8.0,7.0,14.0,1.0,10.0,1.0,,
514,7,2.0,0.0,1.0,1.0,,,,,,
1437,7,14.0,2.0,6.0,5.0,3.0,,,,,
1602,7,17.0,1.0,5.0,11.0,1.0,,3.0,1.0,,
908,7,30.0,10.0,12.0,9.0,9.0,3.0,3.0,6.0,,
1550,7,27.0,1.0,9.0,8.0,10.0,1.0,1.0,1.0,,
1573,7,29.0,4.0,6.0,10.0,13.0,3.0,2.0,2.0,,
1426,7,,,,,,,,,,
1647,7,4.0,0.0,,3.0,1.0,,,1.0,,
1349,7,9.0,0.0,4.0,3.0,2.0,,1.0,,,
254,7,6.0,1.0,2.0,1.0,3.0,,2.0,,,
1612,7,2.0,0.0,,,2.0,,,,,
179,7,32.0,8.0,6.0,15.0,11.0,4.0,4.0,3.0,1.0,
1080,7,37.0,15.0,9.0,13.0,15.0,,,,1.0,
1605,7,7.0,1.0,1.0,4.0,2.0,,2.0,,1.0,
842,7,14.0,1.0,6.0,2.0,6.0,2.0,2.0,1.0,,
92,7,3.0,1.0,2.0,,1.0,,,,,
628,7,,,,,,,,,,
1413,7,36.0,13.0,12.0,6.0,18.0,13.0,9.0,18.0,,
1231,7,,,,,,,,,,
1609,7,23.0,1.0,6.0,13.0,4.0,1.0,5.0,1.0,,
714,7,14.0,3.0,4.0,4.0,6.0,,1.0,,,
1097,7,19.0,4.0,5.0,11.0,3.0,,1.0,1.0,,
1056,7,29.0,6.0,7.0,15.0,7.0,,2.0,,,
1528,7,34.0,5.0,12.0,15.0,7.0,1.0,3.0,6.0,,
272,7,33.0,11.0,9.0,14.0,10.0,7.0,9.0,3.0,1.0,
