id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
1587,9,27.0,1.0,10.0,4.0,3.0,12.0,5.0,5.0,,
1409,9,,,,,,,,,,
1531,9,,,,,,,,,,
1695,9,31.0,13.0,8.0,3.0,2.0,13.0,10.0,6.0,,
1716,9,,,,,,,,,,
1522,9,29.0,5.0,6.0,2.0,2.0,11.0,12.0,4.0,,
704,9,20.0,0.0,5.0,,,11.0,4.0,3.0,,
1748,9,28.0,12.0,7.0,1.0,,9.0,12.0,1.0,,
1982,9,,,,,,,,,,
1928,9,12.0,3.0,4.0,,,5.0,3.0,1.0,,
1691,9,17.0,1.0,4.0,2.0,,9.0,4.0,,,
1218,9,31.0,9.0,13.0,,,10.0,8.0,1.0,,
1505,9,3.0,0.0,1.0,,,1.0,1.0,,,
1513,9,19.0,3.0,1.0,,,12.0,6.0,,,
1517,9,32.0,13.0,10.0,2.0,1.0,9.0,13.0,7.0,1.0,1.0
1762,9,3.0,0.0,,,,2.0,1.0,,,
582,9,,,,,,,,,,
684,9,38.0,10.0,6.0,2.0,1.0,18.0,14.0,4.0,,
159,9,17.0,0.0,6.0,,1.0,8.0,3.0,1.0,,
586,9,2.0,0.0,,,,1.0,1.0,1.0,,
60,9,10.0,0.0,2.0,,,7.0,1.0,,,
1,9,24.0,11.0,6.0,,,3.0,15.0,,,
78,9,33.0,6.0,8.0,2.0,3.0,14.0,11.0,4.0,,
1931,9,,,,,,,,,,
576,9,29.0,8.0,6.0,15.0,6.0,4.0,19.0,1.0,,
1592,9,,,,,,,,,,
336,9,32.0,9.0,8.0,6.0,5.0,4.0,20.0,3.0,,
1545,9,8.0,1.0,5.0,,1.0,3.0,,2.0,,
1980,9,12.0,1.0,4.0,,,6.0,2.0,,,
1833,9,,,,,,,,,,
89,9,19.0,4.0,3.0,5.0,2.0,8.0,8.0,1.0,,
154,9,24.0,5.0,6.0,,,12.0,6.0,1.0,,
310,9,,,,,,,,,,
1988,9,4.0,1.0,1.0,,,2.0,1.0,,,
1946,9,,,,,,,,,,
1803,9,,,,,,,,,,
884,9,34.0,4.0,6.0,4.0,3.0,11.0,17.0,1.0,,
359,9,19.0,0.0,6.0,1.0,1.0,10.0,3.0,4.0,,1.0
1719,9,30.0,9.0,7.0,1.0,2.0,5.0,18.0,2.0,,
1412,9,33.0,5.0,8.0,11.0,6.0,9.0,16.0,7.0,,1.0
1849,9,,,,,,,,,,
239,9,35.0,6.0,8.0,5.0,3.0,13.0,14.0,8.0,,1.0
153,9,31.0,7.0,12.0,2.0,1.0,7.0,12.0,6.0,,
1853,9,22.0,4.0,5.0,5.0,1.0,9.0,8.0,3.0,,
1360,9,6.0,0.0,1.0,1.0,,3.0,2.0,,,
1934,9,15.0,1.0,5.0,,,8.0,2.0,,,
1570,9,22.0,3.0,6.0,,,11.0,5.0,4.0,,
706,9,33.0,10.0,6.0,4.0,,13.0,14.0,7.0,,
1908,9,,,,,,,,,,
79,9,3.0,0.0,,,,2.0,1.0,,,
1068,9,,,,,,,,,,
1362,9,2.0,0.0,1.0,,,1.0,,,,
111,9,35.0,11.0,9.0,5.0,8.0,12.0,14.0,7.0,,
172,9,,,,,,,,,,
1974,9,,,,,,,,,,
1700,9,9.0,1.0,4.0,6.0,,3.0,2.0,1.0,,
1981,9,4.0,0.0,1.0,,,3.0,,,,
1828,9,,,,,,,,,,
1295,9,,,,,,,,,,
1751,9,34.0,12.0,11.0,,,8.0,15.0,,,
1554,9,1.0,0.0,1.0,,,,,,,
1708,9,,,,,,,,,,
1217,9,31.0,5.0,7.0,10.0,4.0,2.0,22.0,1.0,,
