id,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
2052,12,2.0,0.0,1.0,1.0,,,,,,
2426,12,,,,,,,,,,
2486,12,7.0,0.0,3.0,3.0,1.0,,,,,
2058,12,21.0,0.0,6.0,8.0,7.0,4.0,,,,
915,12,22.0,12.0,9.0,4.0,9.0,,1.0,2.0,,
776,12,32.0,6.0,5.0,16.0,11.0,1.0,2.0,8.0,1.0,1.0
2112,12,6.0,2.0,2.0,1.0,3.0,,,,,
755,12,31.0,7.0,9.0,11.0,11.0,,2.0,1.0,1.0,
2065,12,3.0,0.0,,2.0,1.0,,,,,
2598,12,1.0,0.0,,1.0,,,,,,
2250,12,3.0,0.0,1.0,2.0,,,,,,
2259,12,,,,,,,,,,
2586,12,,,,,,,,,,
1851,12,31.0,5.0,8.0,13.0,10.0,4.0,5.0,1.0,,
2191,12,5.0,0.0,1.0,2.0,2.0,,,,,
2188,12,15.0,2.0,2.0,6.0,7.0,,,5.0,,
961,12,35.0,9.0,12.0,12.0,11.0,2.0,1.0,4.0,,
2573,12,10.0,0.0,3.0,5.0,2.0,,1.0,,,
2339,12,,,,,,,,,,
2179,12,,,,,,,,,,
1555,12,1.0,0.0,,1.0,,,,,,
2320,12,,,,,,,,,,
2284,12,12.0,1.0,5.0,2.0,5.0,2.0,,,,
2128,12,6.0,0.0,2.0,4.0,,,,,,
2413,12,12.0,3.0,4.0,,8.0,,,1.0,,
1553,12,10.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,,
1494,12,32.0,11.0,10.0,,22.0,,3.0,5.0,,1.0
2256,12,,,,,,,,,,
1841,12,,,,,,,,,,
2272,12,,,,,,,,,,
1284,12,16.0,2.0,5.0,8.0,3.0,5.0,2.0,,,
2522,12,29.0,4.0,3.0,8.0,18.0,4.0,4.0,4.0,,1.0
2559,12,1.0,0.0,,1.0,,,,,1.0,
2480,12,4.0,0.0,1.0,3.0,,,,,,
2440,12,,,,,,,,,,
2311,12,,,,,,,,,,
723,12,25.0,7.0,5.0,10.0,10.0,2.0,3.0,2.0,,
1754,12,32.0,6.0,9.0,18.0,5.0,1.0,1.0,2.0,1.0,
2577,12,,,,,,,,,,
2457,12,19.0,2.0,3.0,5.0,11.0,10.0,,1.0,,
2201,12,1.0,0.0,,1.0,,,,,,
1504,12,25.0,5.0,6.0,9.0,10.0,,2.0,4.0,1.0,
2423,12,,,,,,,,,,
2520,12,15.0,2.0,1.0,4.0,10.0,,1.0,1.0,,
972,12,36.0,15.0,12.0,12.0,12.0,,2.0,2.0,,1.0
27,12,35.0,2.0,15.0,16.0,4.0,11.0,3.0,8.0,,
2132,12,4.0,0.0,1.0,2.0,1.0,,,,,
2162,12,18.0,6.0,5.0,,13.0,,,1.0,,
2185,12,2.0,0.0,1.0,,1.0,,,,,
2557,12,5.0,0.0,1.0,4.0,,,1.0,,,
2125,12,38.0,7.0,14.0,15.0,9.0,2.0,,6.0,,
2313,12,10.0,3.0,5.0,3.0,2.0,,,,,
1427,12,21.0,3.0,6.0,12.0,3.0,,,,1.0,
2122,12,20.0,0.0,4.0,10.0,6.0,,1.0,,,
2566,12,22.0,2.0,2.0,11.0,9.0,3.0,1.0,2.0,,
2595,12,9.0,0.0,1.0,6.0,2.0,1.0,,1.0,,
2489,12,,,,,,,,,,
394,12,1.0,0.0,,1.0,,,,,,
1004,12,23.0,4.0,4.0,3.0,16.0,5.0,9.0,,,
91,12,,,,,,,,,,
2425,12,,,,,,,,,,
929,12,28.0,8.0,4.0,13.0,11.0,,1.0,10.0,1.0,
1676,12,26.0,14.0,5.0,4.0,17.0,,,,,
937,12,19.0,9.0,7.0,5.0,7.0,,,3.0,,
2249,12,,,,,,,,,,
2057,12,,,,,,,,,,
2315,12,,,,,,,,,,
2227,12,,,,,,,,,,
338,12,23.0,5.0,7.0,7.0,9.0,3.0,,1.0,,
2500,12,,,,,,,,,,
2531,12,,,,,,,,,,
1837,12,,,,,,,,,,
1533,12,15.0,7.0,4.0,3.0,8.0,,1.0,,,
2082,12,,,,,,,,,,
2023,12,14.0,4.0,4.0,5.0,5.0,1.0,,3.0,,
