id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
2904,14,,,,,,,,,,
1898,14,23.0,6.0,7.0,1.0,11.0,5.0,,,,
2993,14,,,,,,,,,,
1710,14,36.0,20.0,7.0,1.0,6.0,23.0,1.0,3.0,,
2005,14,22.0,7.0,6.0,,12.0,4.0,3.0,,,
2053,14,13.0,1.0,2.0,,2.0,9.0,1.0,3.0,,
2031,14,20.0,3.0,8.0,,5.0,7.0,1.0,1.0,,
2991,14,4.0,0.0,2.0,,1.0,1.0,1.0,,,
2811,14,10.0,0.0,3.0,,5.0,2.0,1.0,,,
2895,14,,,,,,,,,,
2833,14,,,,,,,,,,
2928,14,24.0,2.0,2.0,,14.0,8.0,2.0,,,
2926,14,,,,,,,,,,
2163,14,27.0,4.0,6.0,1.0,18.0,3.0,,2.0,,
2788,14,,,,,,,,,,
3038,14,,,,,,,,,,
2196,14,18.0,1.0,2.0,4.0,11.0,5.0,,2.0,,
2325,14,,,,,,,,,,
1371,14,34.0,13.0,8.0,,13.0,13.0,3.0,4.0,,
2924,14,,,,,,,,,,
9436,14,,,,,,,,,,
2208,14,15.0,2.0,5.0,2.0,4.0,6.0,,2.0,,
2294,14,16.0,3.0,4.0,,7.0,5.0,1.0,1.0,,
1773,14,1.0,0.0,,,,1.0,,,,
2856,14,,,,,,,,,,
2659,14,23.0,3.0,4.0,5.0,13.0,7.0,1.0,2.0,,
64136,14,,,,,,,,,,
890,14,1.0,0.0,,,1.0,,,,,
1342,14,38.0,15.0,11.0,,12.0,15.0,,2.0,,
2953,14,,,,,,,,,,
2127,14,34.0,9.0,9.0,6.0,10.0,15.0,4.0,4.0,,
1230,14,35.0,10.0,12.0,,13.0,10.0,5.0,1.0,1.0,
252,14,38.0,6.0,4.0,,21.0,13.0,,1.0,,
2199,14,,,,,,,,,,
1402,14,,,,,,,,,,
1381,14,10.0,0.0,5.0,,3.0,2.0,1.0,,,
960,14,16.0,1.0,4.0,1.0,10.0,2.0,1.0,2.0,,
1952,14,1.0,0.0,,,,1.0,,,,
2643,14,16.0,4.0,2.0,3.0,6.0,8.0,2.0,1.0,,
2606,14,,,,,,,,,,
2863,14,,,,,,,,,,
2966,14,17.0,0.0,3.0,1.0,10.0,4.0,,4.0,,
2789,14,26.0,0.0,7.0,1.0,15.0,4.0,2.0,3.0,,
2716,14,6.0,0.0,1.0,,1.0,4.0,,1.0,,
3018,14,6.0,0.0,1.0,,2.0,3.0,,1.0,,
2075,14,30.0,7.0,5.0,,15.0,10.0,,2.0,1.0,
2753,14,3.0,0.0,,,2.0,1.0,,,,
3002,14,3.0,1.0,,,2.0,1.0,,,,
2999,14,6.0,0.0,1.0,,4.0,1.0,,,,
1757,14,34.0,5.0,6.0,,14.0,14.0,1.0,4.0,,
2988,14,31.0,9.0,10.0,,7.0,14.0,,2.0,,
2915,14,13.0,2.0,1.0,,3.0,9.0,1.0,,,
1855,14,4.0,0.0,,,2.0,2.0,,,,
2427,14,18.0,0.0,5.0,,10.0,3.0,,,,1.0
2613,14,3.0,1.0,1.0,,1.0,1.0,,2.0,,
1850,14,37.0,9.0,8.0,,16.0,13.0,1.0,7.0,,
1502,14,25.0,1.0,7.0,5.0,14.0,4.0,3.0,,,
1848,14,18.0,2.0,3.0,,8.0,7.0,,,,
2317,14,,,,,,,,,,
1681,14,,,,,,,,,,
2866,14,26.0,11.0,4.0,1.0,7.0,15.0,,2.0,1.0,1.0
2076,14,5.0,0.0,1.0,,2.0,2.0,,1.0,,
2818,14,28.0,9.0,7.0,,16.0,5.0,,1.0,,
407,14,5.0,3.0,2.0,,,3.0,,1.0,,
1114,14,17.0,2.0,2.0,,11.0,4.0,,1.0,,
3039,14,1.0,0.0,,,1.0,,,,,
2619,14,1.0,0.0,1.0,,,,,,,
1529,14,6.0,0.0,,,4.0,2.0,,,,
1627,14,26.0,5.0,9.0,3.0,4.0,13.0,1.0,1.0,,
2791,14,,,,,,,,,,
2981,14,29.0,2.0,6.0,3.0,21.0,2.0,,,,
1359,14,10.0,1.0,2.0,,6.0,2.0,,,,
2382,14,,,,,,,,,,
2963,14,3.0,0.0,,1.0,3.0,,,,,
2002,14,33.0,14.0,6.0,,9.0,18.0,1.0,3.0,,
293,14,,,,,,,,,,
1959,14,25.0,2.0,5.0,7.0,14.0,6.0,3.0,2.0,,
1515,14,37.0,7.0,7.0,1.0,14.0,16.0,4.0,4.0,,1.0
2631,14,,,,,,,,,,
358,14,35.0,8.0,5.0,,15.0,15.0,2.0,7.0,,
1805,14,1.0,0.0,,,,1.0,,,,
1336,14,31.0,8.0,9.0,,14.0,8.0,2.0,5.0,,1.0
2852,14,,,,,,,,,,
2079,14,13.0,0.0,3.0,,5.0,5.0,1.0,4.0,1.0,
2226,14,,,,,,,,,,
2287,14,27.0,0.0,5.0,3.0,19.0,3.0,,,,
2409,14,38.0,16.0,7.0,,11.0,20.0,,1.0,,
1831,14,22.0,11.0,4.0,,7.0,11.0,1.0,6.0,,
2982,14,12.0,0.0,3.0,,9.0,,,2.0,,
2864,14,,,,,,,,,,
800,14,35.0,19.0,4.0,16.0,4.0,27.0,8.0,4.0,,
2858,14,6.0,1.0,2.0,,3.0,1.0,,2.0,,
1497,14,25.0,6.0,5.0,1.0,9.0,11.0,3.0,2.0,,
1973,14,13.0,0.0,1.0,1.0,11.0,1.0,,5.0,,
2270,14,27.0,2.0,8.0,2.0,6.0,13.0,3.0,,,
3044,14,,,,,,,,,,
1049,14,27.0,5.0,3.0,3.0,5.0,19.0,3.0,2.0,,
1306,14,35.0,8.0,6.0,6.0,16.0,13.0,9.0,9.0,,1.0
3024,14,,,,,,,,,,
1701,14,4.0,0.0,1.0,,1.0,2.0,,,,
2655,14,,,,,,,,,,
2840,14,12.0,3.0,3.0,1.0,4.0,5.0,1.0,2.0,,
2845,14,13.0,2.0,3.0,4.0,3.0,7.0,4.0,,,
2871,14,,,,,,,,,,
1656,14,7.0,0.0,,,6.0,1.0,,,,
2371,14,31.0,5.0,4.0,1.0,20.0,7.0,,2.0,,
2916,14,4.0,1.0,1.0,,,3.0,,1.0,,
2860,14,,,,,,,,,,
2607,14,,,,,,,,,,
2215,14,15.0,3.0,1.0,,8.0,6.0,,2.0,,
2862,14,,,,,,,,,,
2623,14,,,,,,,,,,
3042,14,,,,,,,,,,
1771,14,17.0,8.0,4.0,,5.0,8.0,,2.0,,
2922,14,,,,,,,,,,
1972,14,24.0,3.0,3.0,1.0,19.0,2.0,3.0,5.0,,
566,14,,,,,,,,,,
2914,14,,,,,,,,,,
2873,14,,,,,,,,,,
2430,14,,,,,,,,,,
2875,14,,,,,,,,,,
3030,14,37.0,9.0,6.0,,16.0,15.0,,3.0,,
1843,14,31.0,1.0,11.0,3.0,14.0,6.0,1.0,3.0,,
2517,14,8.0,0.0,1.0,,2.0,5.0,,1.0,,
2972,14,5.0,0.0,,,5.0,,,,,
2622,14,9.0,1.0,2.0,1.0,5.0,2.0,1.0,,,
