id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_cmiss_high,att_cmiss_high_left,att_cmiss_left,att_freekick_goal,att_freekick_miss,att_freekick_target,att_freekick_total,att_goal_low_left,att_lf_total,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_sv_high_left,att_sv_high_right,att_sv_low_centre,ball_recovery,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,error_lead_to_shot,final_third_entries,formation_place,fouled_final_third,fouls,freekick_cross,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_goal_kicks,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,att_bx_centre,att_bx_left,att_bx_right,att_fastbreak,att_goal_low_right,att_hd_miss,att_hd_post,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_post_high,att_setpiece,att_sv_low_left,att_sv_low_right,goals_openplay,hit_woodwork,penalty_conceded,penalty_won,post_scoring_att,shot_fastbreak,six_yard_block,total_fastbreak,att_cmiss_high_right,att_cmiss_right,att_obp_goal,att_obx_right,att_pen_target,att_post_right,att_sv_high_centre,dangerous_play,head_pass,open_play_pass,successful_open_play_pass,touches_in_opp_box,att_lg_centre,offside_provoked,red_card,times_tackled,winning_goal,att_post_left,last_man_tackle,att_hd_goal,own_goals,gk_smother,clearance_off_line,goal_assist_setplay,accurate_freekick_cross,att_freekick_post,att_obox_post,att_pen_goal,goal_assist_deadball,attempts_ibox,att_goal_high_left,att_goal_high_right,att_goal_low_centre,att_lf_goal,goal_fastbreak,error_lead_to_goal,att_obxd_left,att_obxd_right,att_obx_left,att_pen_post,att_goal_high_centre,second_yellow,diving_save,attempts_obox,penalty_save,back_pass,att_lg_left,rescinded_red_card,backward_pass,rightside_pass,att_pen_miss,leftside_pass
2961,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,16,292.0,15.0,3.0,12.0,9.0,3.0,379.0,5.0,4.0,52.0,659.0,1.0,36.0,2.0,10.0,23.0,93.0,130.0,8.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,7.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,7.0,2.0,12.0,3.0,24.0,16.0,2.0,3.0,21.0,1.0,1.0,1.0,126.0,7.0,19.0,6.0,7.0,12.0,17.0,20.0,3.0,60.0,113.0,28.0,12.0,1.0,122.0,0.0,1.0,15.0,1.0,16.0,2.0,11.0,10.0,1.0,2.0,1.0,2.0,3.0,28.0,38.0,4.0,38.0,103.0,63.0,5.0,9.0,1527.0,7.0,6.0,5.0,4.0,80.0,129.0,21.0,1.0,205.0,177.0,25.0,35.0,66.0,12.0,153.0,13.0,319.0,42.0,56.0,19.0,7.0,37.0,30.0,208.0,5.0,494.0,19.0,4.0,82.0,1.0,776.0,24.0,6.0,7.0,82.0,1.0,40.0,1140.0,40.0,9.0,15.0,12.0,9.0,66.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,16,61.0,1.0,,,,,120.0,,,133.0,181.0,,,,,21.0,167.0,138.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,,4.0,6.0,,,,,6.0,4.0,6.0,24.0,,,348.0,37.0,,,,19.0,,28.0,23.0,5.0,,,,,,,,,564.0,199.0,8.0,24.0,1791.0,1.0,1.0,,,28.0,48.0,23.0,2.0,401.0,397.0,,57.0,1.0,,78.0,2.0,86.0,1.0,28.0,,,,,259.0,,370.0,4.0,,402.0,,456.0,,,2.0,,,,942.0,,6.0,7.0,,1.0,,,85.0,73.0,4.0,15.0,33.0,206.0,19.0,157.0,73.0,2.0,12.0,39.0,29.0,72.0,16.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,16,93.0,4.0,,1.0,1.0,59.0,289.0,,62.0,6.0,381.0,2.0,,66.0,119.0,28.0,171.0,114.0,27.0,,2.0,2.0,6.0,,,,,1.0,6.0,5.0,3.0,,7.0,5.0,,,4.0,3.0,7.0,36.0,4.0,6.0,23.0,2.0,1.0,9.0,55.0,8.0,5.0,4.0,,8.0,1.0,29.0,9.0,154.0,198.0,15.0,11.0,1.0,82.0,280.0,27.0,47.0,,27.0,4.0,24.0,21.0,3.0,2.0,,2.0,6.0,25.0,16.0,,16.0,24.0,7.0,10.0,6.0,2087.0,12.0,17.0,18.0,3.0,94.0,113.0,53.0,1.0,300.0,280.0,29.0,2.0,24.0,21.0,199.0,29.0,106.0,6.0,35.0,16.0,,9.0,9.0,375.0,187.0,507.0,1.0,73.0,13.0,35.0,604.0,47.0,15.0,1.0,24.0,2.0,1.0,840.0,48.0,52.0,9.0,3.0,11.0,19.0,6.0,,,,,,,,,,,,,,,,,,27.0,2.0,3.0,4.0,3.0,11.0,1.0,6.0,18.0,8.0,4.0,16.0,1.0,11.0,2.0,1.0,6.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2856,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,16,67.0,1.0,,1.0,1.0,55.0,214.0,,35.0,3.0,280.0,,2.0,61.0,75.0,20.0,145.0,130.0,9.0,,,,2.0,,,,,,1.0,5.0,,2.0,4.0,7.0,4.0,,2.0,2.0,7.0,24.0,,4.0,13.0,2.0,1.0,,33.0,6.0,3.0,1.0,,4.0,1.0,18.0,4.0,129.0,118.0,14.0,12.0,,88.0,200.0,8.0,47.0,,14.0,1.0,36.0,25.0,11.0,3.0,1.0,3.0,2.0,20.0,1.0,,1.0,24.0,9.0,15.0,5.0,1392.0,5.0,7.0,10.0,,56.0,69.0,42.0,2.0,238.0,229.0,10.0,2.0,21.0,19.0,127.0,12.0,83.0,5.0,23.0,3.0,,5.0,5.0,283.0,164.0,405.0,,40.0,7.0,17.0,483.0,35.0,2.0,6.0,7.0,,2.0,614.0,33.0,35.0,1.0,1.0,6.0,4.0,3.0,,,,,,,,,,,,,,,,,,22.0,2.0,,1.0,1.0,14.0,1.0,5.0,20.0,2.0,1.0,16.0,1.0,7.0,,,3.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,15.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
