id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_lf_total,att_obox_blocked,att_obx_centre,att_rf_total,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,outfielder_block,passes_left,passes_right,penalty_conceded,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shield_ball_oop,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,was_fouled,wins,won_tackle,yellow_card,accurate_goal_kicks,accurate_keeper_throws,att_assist_setplay,cross_not_claimed,dive_catch,dive_save,diving_save,error_lead_to_shot,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_contest,total_high_claim,won_contest,last_man_tackle,accurate_flick_on,accurate_layoffs,att_bx_centre,att_freekick_miss,att_freekick_total,att_hd_miss,att_hd_post,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_post,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_miss,att_post_high,att_setpiece,clearance_off_line,error_lead_to_goal,fouled_final_third,foul_throw_in,head_pass,hit_woodwork,open_play_pass,own_goals,post_scoring_att,shot_off_target,successful_open_play_pass,total_flick_on,total_sub_on,won_corners,accurate_through_ball,total_through_ball,total_offside,attempts_ibox,attempts_obox,att_hd_target,att_ibox_target,att_lg_centre,att_miss_high_left,att_obox_target,att_obx_right,att_openplay,att_rf_target,att_sv_high_centre,att_sv_low_centre,att_sv_low_left,att_sv_low_right,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,ontarget_scoring_att,touches_in_opp_box,gk_smother,att_fastbreak,att_freekick_goal,att_goal_high_left,att_goal_high_right,att_goal_low_left,att_hd_goal,att_ibox_goal,att_lf_goal,att_obox_goal,att_rf_goal,corner_taken,dangerous_play,goals,shot_fastbreak,accurate_corners_intobox,total_corners_intobox,att_corner,att_goal_low_centre,six_yard_block,att_goal_low_right,att_lf_target,att_post_right,penalty_won,red_card,second_yellow,att_cmiss_right,freekick_cross,goal_fastbreak,att_bx_right,att_cmiss_high,att_cmiss_left,att_goal_high_centre,att_sv_high_right,goals_openplay,total_fastbreak,att_sv_high_left,att_bx_left,att_freekick_target,att_pen_target,leftside_pass,att_pen_goal,att_post_left,att_obxd_left,att_obx_left,att_obxd_right,att_obox_post,accurate_freekick_cross,att_cmiss_high_right,fwd_pass,att_pen_miss,att_pen_post,att_freekick_post,back_pass,backward_pass,att_cmiss_high_left,att_lg_left,att_obp_goal,att_lg_right,rightside_pass,big_chance_scored
3569,17,109.0,18.0,1.0,1.0,123.0,16.0,20.0,231.0,32.0,5.0,24.0,14.0,100.0,67.0,2.0,1.0,2.0,2.0,1.0,46.0,1.0,2.0,3.0,3.0,1.0,4.0,5.0,3.0,19.0,64.0,1.0,58.0,29.0,116.0,0.0,8.0,14.0,16.0,14.0,2.0,2.0,47.0,21.0,1.0,20.0,109.0,54.0,6.0,9.0,1113.0,5.0,1.0,1.0,7.0,92.0,5.0,2.0,22.0,2.0,178.0,137.0,3.0,20.0,23.0,1.0,68.0,2.0,130.0,37.0,99.0,6.0,6.0,121.0,210.0,47.0,1.0,50.0,334.0,2.0,3.0,30.0,55.0,611.0,7.0,10.0,5.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,17,175.0,20.0,,,189.0,180.0,238.0,364.0,1.0,,,37.0,341.0,265.0,2.0,,,,,360.0,,,2.0,9.0,,,,9.0,2.0,11.0,,40.0,1.0,427.0,22.0,,37.0,55.0,47.0,8.0,,1.0,,,,943.0,285.0,16.0,23.0,3330.0,,,3.0,,83.0,121.0,,23.0,9.0,721.0,718.0,,68.0,1.0,2.0,90.0,3.0,223.0,27.0,43.0,,,344.0,633.0,644.0,,715.0,856.0,,,,1.0,1789.0,1.0,10.0,12.0,,2.0,172.0,111.0,1.0,2.0,7.0,12.0,52.0,2.0,391.0,42.0,249.0,114.0,11.0,2.0,27.0,79.0,52.0,131.0,21.0,8.0,1.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3555,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,17,17.0,,1.0,1.0,8.0,1.0,,24.0,11.0,2.0,1.0,2.0,23.0,12.0,,,,,,15.0,1.0,,,1.0,,1.0,,,4.0,5.0,1.0,2.0,1.0,10.0,0.0,1.0,2.0,3.0,2.0,1.0,,7.0,1.0,,1.0,14.0,7.0,1.0,4.0,144.0,1.0,,,2.0,6.0,3.0,,3.0,,28.0,16.0,1.0,11.0,3.0,,1.0,,19.0,1.0,14.0,1.0,1.0,10.0,18.0,8.0,,7.0,36.0,,1.0,4.0,14.0,87.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3222,17,503.0,77.0,9.0,9.0,364.0,57.0,131.0,858.0,30.0,46.0,47.0,34.0,210.0,232.0,8.0,1.0,3.0,5.0,7.0,152.0,12.0,5.0,14.0,13.0,5.0,15.0,13.0,11.0,89.0,165.0,12.0,184.0,90.0,329.0,272.0,14.0,33.0,36.0,30.0,6.0,,167.0,66.0,6.0,66.0,417.0,196.0,9.0,29.0,2947.0,21.0,6.0,5.0,38.0,128.0,146.0,,66.0,3.0,588.0,419.0,7.0,65.0,80.0,7.0,174.0,11.0,587.0,149.0,353.0,20.0,20.0,371.0,661.0,192.0,2.0,287.0,1228.0,13.0,,72.0,42.0,2009.0,21.0,43.0,14.0,58.0,2.0,,,3.0,,,,,1.0,1.0,,,,,,,,,,,,5.0,,3.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,122.0,1.0,1.0,8.0,83.0,14.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3178,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,17,4.0,,,,4.0,6.0,4.0,8.0,,,,1.0,5.0,8.0,,,,,,8.0,,,,1.0,,,,1.0,,,,2.0,,7.0,0.0,,1.0,,,,,,,,,20.0,7.0,,,90.0,,,,,1.0,1.0,,,,14.0,14.0,,,,,1.0,,5.0,,2.0,,,2.0,8.0,11.0,,9.0,13.0,,,,,37.0,,,,,,4.0,3.0,,,,,,,13.0,2.0,6.0,3.0,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509,17,7.0,1.0,,,6.0,,,13.0,1.0,,,1.0,3.0,1.0,,,,,,2.0,,,,,1.0,,,,1.0,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,2.0,,1.0,,45.0,,,,,4.0,,,1.0,1.0,4.0,4.0,2.0,,,,5.0,,7.0,1.0,,1.0,1.0,7.0,10.0,,1.0,,16.0,,1.0,,1.0,22.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
