id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_right,att_goal_high_centre,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_ibox_goal,att_ibox_miss,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_pen_goal,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_low_centre,att_sv_low_right,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,final_third_entries,formation_place,fouls,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_openplay,goal_kicks,hand_ball,head_clearance,interception,interceptions_in_box,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_through_ball,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,att_hd_miss,att_hd_total,total_sub_on,att_freekick_miss,att_freekick_total,att_ibox_blocked,att_ibox_target,att_sv_low_left,dangerous_play,fouled_final_third,total_offside,att_bx_centre,att_lf_goal,foul_throw_in,last_man_tackle,own_goals,shield_ball_oop,six_yard_block,att_hd_target,att_bx_left,att_fastbreak,att_goal_high_left,att_hd_goal,att_miss_high_left,goal_assist_intentional,goal_fastbreak,shot_fastbreak,total_pull_back,accurate_goal_kicks,accurate_pull_back,att_lg_centre,clearance_off_line,penalty_conceded,red_card,second_yellow,att_freekick_target,att_hd_post,att_ibox_post,att_post_high,goal_assist_deadball,goal_assist_setplay,hit_woodwork,post_scoring_att,accurate_freekick_cross,att_post_left,error_lead_to_shot,freekick_cross,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,total_high_claim,total_keeper_sweeper,att_sv_high_right,att_cmiss_right,att_cmiss_left,penalty_won,total_fastbreak,att_freekick_goal,attempts_obox,head_pass,open_play_pass,successful_open_play_pass,goals_openplay,attempts_ibox,att_obx_left,touches_in_opp_box,att_obox_post,att_obp_goal,att_post_right,penalty_save,stand_save,att_cmiss_high,att_cmiss_high_right,att_pen_target,att_obxd_left,att_obxd_right,back_pass,att_obx_right,att_freekick_post,fwd_pass,att_cmiss_high_left,att_lg_left,leftside_pass,att_pen_miss,att_pen_post
3826,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3842,18,437.0,97.0,5.0,15.0,10.0,3.0,719.0,14.0,31.0,105.0,1141.0,2.0,7.0,12.0,13.0,33.0,291.0,198.0,26.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,9.0,1.0,8.0,4.0,22.0,4.0,6.0,7.0,3.0,25.0,2.0,1.0,1.0,1.0,1.0,146.0,6.0,9.0,23.0,2.0,17.0,8.0,15.0,29.0,6.0,91.0,101.0,6.0,31.0,15.0,1.0,418.0,132.0,27.0,33.0,7.0,64.0,58.0,6.0,1.0,1.0,1.0,1.0,30.0,60.0,1.0,59.0,237.0,161.0,20.0,15.0,2747.0,1.0,20.0,17.0,11.0,11.0,173.0,348.0,87.0,4.0,408.0,380.0,3.0,54.0,89.0,9.0,365.0,37.0,500.0,189.0,59.0,2.0,16.0,50.0,34.0,548.0,5.0,998.0,39.0,33.0,167.0,1448.0,29.0,10.0,58.0,8.0,7.0,1939.0,36.0,29.0,7.0,1.0,5.0,41.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3913,18,1.0,1.0,,,,,3.0,,,,4.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,7.0,,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,2.0,,3.0,,,,4.0,1.0,,,,,6.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778,18,11.0,2.0,,,,1.0,55.0,,8.0,7.0,66.0,,,24.0,5.0,6.0,34.0,18.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,2.0,2.0,,,1.0,3.0,,,,,,12.0,,1.0,,,,6.0,,11.0,2.0,52.0,16.0,,,,,3.0,0.0,9.0,2.0,,5.0,5.0,,,,,2.0,,2.0,,2.0,3.0,2.0,3.0,,227.0,,1.0,,1.0,,21.0,18.0,1.0,,42.0,42.0,4.0,3.0,5.0,3.0,30.0,1.0,12.0,2.0,,12.0,,6.0,6.0,40.0,5.0,75.0,,9.0,7.0,81.0,5.0,2.0,2.0,,,149.0,21.0,7.0,1.0,2.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,18,161.0,33.0,,,,,87.0,17.0,1.0,51.0,248.0,1.0,,6.0,36.0,17.0,102.0,91.0,,,,1.0,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,43.0,4.0,2.0,4.0,3.0,,,1.0,3.0,5.0,24.0,84.0,4.0,89.0,46.0,1.0,91.0,125.0,11.0,14.0,1.0,22.0,15.0,7.0,,,,,95.0,34.0,6.0,34.0,143.0,68.0,6.0,12.0,1184.0,7.0,,,2.0,11.0,38.0,26.0,17.0,,202.0,122.0,,30.0,13.0,1.0,31.0,,182.0,65.0,169.0,4.0,,1.0,1.0,95.0,,180.0,63.0,1.0,113.0,361.0,5.0,2.0,35.0,1.0,,675.0,9.0,9.0,6.0,4.0,,19.0,2.0,,,3.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,18,182.0,23.0,,7.0,7.0,1.0,175.0,10.0,,19.0,350.0,,131.0,20.0,18.0,16.0,134.0,118.0,6.0,,,,,,,,,1.0,1.0,2.0,,,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,,,53.0,7.0,1.0,14.0,7.0,,12.0,7.0,8.0,5.0,61.0,76.0,7.0,35.0,17.0,,137.0,0.0,19.0,14.0,,15.0,14.0,1.0,,,,1.0,33.0,31.0,2.0,30.0,134.0,67.0,5.0,8.0,1288.0,6.0,3.0,3.0,2.0,8.0,59.0,76.0,27.0,2.0,199.0,169.0,,35.0,18.0,1.0,87.0,6.0,216.0,45.0,65.0,5.0,,19.0,19.0,145.0,2.0,278.0,53.0,,63.0,475.0,4.0,2.0,48.0,2.0,151.0,895.0,26.0,6.0,6.0,4.0,3.0,38.0,4.0,,1.0,2.0,,,,2.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2840,18,435.0,19.0,,2.0,2.0,8.0,851.0,,82.0,40.0,1284.0,9.0,3.0,78.0,54.0,29.0,138.0,136.0,31.0,1.0,,,3.0,,1.0,1.0,5.0,6.0,1.0,7.0,1.0,3.0,3.0,3.0,4.0,1.0,6.0,4.0,15.0,2.0,,4.0,8.0,25.0,4.0,2.0,,4.0,2.0,165.0,4.0,11.0,18.0,8.0,,12.0,6.0,85.0,5.0,277.0,256.0,4.0,24.0,17.0,,193.0,0.0,53.0,26.0,6.0,30.0,27.0,3.0,3.0,3.0,,2.0,41.0,77.0,3.0,77.0,150.0,110.0,6.0,2.0,2322.0,,11.0,24.0,15.0,1.0,195.0,204.0,53.0,5.0,443.0,410.0,9.0,56.0,100.0,12.0,422.0,35.0,496.0,40.0,57.0,122.0,,18.0,18.0,561.0,54.0,1067.0,8.0,90.0,57.0,1545.0,38.0,5.0,78.0,26.0,3.0,2291.0,93.0,47.0,18.0,77.0,15.0,60.0,2.0,2.0,3.0,3.0,,,7.0,5.0,1.0,,3.0,4.0,2.0,1.0,,,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,18,473.0,148.0,,27.0,27.0,,619.0,49.0,3.0,129.0,1065.0,,230.0,18.0,29.0,30.0,223.0,184.0,27.0,4.0,,,,,,,,2.0,1.0,11.0,2.0,,1.0,1.0,5.0,1.0,3.0,1.0,9.0,,,,,1.0,1.0,,,1.0,,162.0,22.0,5.0,18.0,6.0,,34.0,67.0,25.0,4.0,94.0,156.0,22.0,65.0,25.0,,343.0,93.0,27.0,29.0,1.0,33.0,28.0,5.0,2.0,2.0,1.0,1.0,38.0,106.0,9.0,106.0,425.0,239.0,8.0,26.0,2532.0,7.0,16.0,17.0,2.0,10.0,394.0,42.0,130.0,5.0,561.0,517.0,3.0,108.0,51.0,5.0,267.0,33.0,552.0,251.0,109.0,29.0,,101.0,101.0,422.0,,957.0,157.0,3.0,250.0,1408.0,12.0,5.0,73.0,1.0,281.0,2402.0,50.0,32.0,18.0,22.0,16.0,61.0,5.0,,,1.0,,2.0,,,,,1.0,,,1.0,,,,12.0,,,,,1.0,,1.0,2.0,,,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
