id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_bx_centre,att_cmiss_right,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_left,att_miss_right,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,clearance_off_line,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,final_third_entries,formation_place,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,rightside_pass,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_corners,won_tackle,yellow_card,att_bx_right,att_cmiss_left,att_goal_high_left,att_goal_low_right,att_hd_goal,att_ibox_goal,att_miss_high,att_obox_blocked,att_rf_target,att_rf_total,big_chance_created,big_chance_scored,goals,goal_assist_setplay,last_man_tackle,red_card,shield_ball_oop,six_yard_block,won_contest,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,att_assist_setplay,att_goal_high_centre,att_rf_goal,crosses_18yard,freekick_cross,goals_openplay,hand_ball,hit_woodwork,overrun,poss_won_att_3rd,total_through_ball,att_cmiss_high_right,att_freekick_total,att_miss_high_right,att_sv_low_centre,error_lead_to_goal,att_cmiss_high,att_goal_low_left,corner_taken,head_pass,open_play_pass,penalty_conceded,successful_open_play_pass,accurate_goal_kicks,accurate_pull_back,accurate_through_ball,att_bx_left,att_freekick_miss,att_freekick_post,att_goal_high_right,att_lf_goal,att_miss_high_left,att_obox_goal,att_obox_post,att_post_high,dangerous_play,error_lead_to_shot,fouled_final_third,foul_throw_in,goal_kicks,post_scoring_att,second_goal_assist,total_corners_intobox,total_offside,total_pull_back,accurate_keeper_throws,diving_save,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,total_high_claim,accurate_corners_intobox,att_cmiss_high_left,att_fastbreak,att_freekick_target,att_lg_centre,att_pen_goal,att_sv_low_left,shot_fastbreak,total_sub_on,attempts_ibox,attempts_obox,att_corner,att_post_left,total_fastbreak,touches_in_opp_box,goal_assist_deadball,second_yellow,att_post_right,att_hd_post,att_ibox_post,att_goal_low_centre,att_obx_left,goal_fastbreak,accurate_keeper_sweeper,cross_not_claimed,dive_catch,dive_save,penalty_faced,stand_catch,stand_save,total_keeper_sweeper,att_obxd_left,att_pen_target,penalty_won,att_lg_right,att_obp_goal,att_obxd_right,att_freekick_goal,own_goals,gk_smother,penalty_save,att_obx_right,back_pass,att_lg_left,blocked_pass,put_through,att_pen_post,att_pen_miss
2505,20,324.0,40.0,1.0,202.0,16.0,1.0,64.0,526.0,2.0,14.0,36.0,18.0,141.0,113.0,5.0,5.0,1.0,2.0,4.0,6.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,33.0,38.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,3.0,6.0,41.0,72.0,3.0,96.0,57.0,151.0,114.0,16.0,360.0,18.0,23.0,19.0,4.0,1.0,1.0,1.0,97.0,14.0,1.0,12.0,112.0,204.0,116.0,7.0,17.0,1440.0,10.0,2.0,4.0,5.0,13.0,122.0,20.0,23.0,2.0,230.0,167.0,27.0,11.0,175.0,3.0,83.0,6.0,361.0,79.0,159.0,2.0,3.0,3.0,164.0,2.0,322.0,53.0,1.0,110.0,680.0,9.0,5.0,28.0,2.0,933.0,5.0,5.0,8.0,5.0,5.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,20,268.0,27.0,2.0,135.0,22.0,7.0,46.0,403.0,,38.0,54.0,24.0,248.0,134.0,6.0,14.0,1.0,7.0,1.0,10.0,4.0,8.0,1.0,,,4.0,1.0,1.0,1.0,4.0,5.0,1.0,,,,2.0,57.0,65.0,2.0,7.0,6.0,16.0,2.0,1.0,1.0,2.0,4.0,84.0,102.0,6.0,100.0,52.0,124.0,0.0,28.0,290.0,24.0,39.0,32.0,7.0,2.0,1.0,,104.0,53.0,13.0,37.0,130.0,203.0,93.0,13.0,33.0,2009.0,36.0,2.0,6.0,4.0,34.0,49.0,73.0,16.0,1.0,300.0,199.0,44.0,21.0,107.0,9.0,56.0,8.0,306.0,64.0,200.0,1.0,1.0,1.0,149.0,5.0,279.0,91.0,7.0,119.0,584.0,19.0,1.0,43.0,,987.0,13.0,13.0,4.0,7.0,4.0,35.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4128,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,20,241.0,17.0,,352.0,34.0,3.0,45.0,578.0,221.0,30.0,21.0,25.0,243.0,150.0,12.0,2.0,,,1.0,1.0,,1.0,1.0,,,2.0,,1.0,1.0,2.0,3.0,1.0,,,,2.0,145.0,73.0,,12.0,,20.0,4.0,,13.0,18.0,7.0,104.0,120.0,12.0,59.0,39.0,212.0,4.0,24.0,352.0,25.0,40.0,36.0,4.0,1.0,,1.0,63.0,29.0,,24.0,232.0,214.0,102.0,12.0,22.0,2178.0,7.0,9.0,6.0,4.0,15.0,12.0,251.0,47.0,2.0,398.0,357.0,50.0,17.0,52.0,2.0,177.0,15.0,288.0,44.0,100.0,24.0,58.0,58.0,278.0,2.0,551.0,115.0,3.0,123.0,781.0,6.0,3.0,83.0,278.0,1450.0,13.0,13.0,5.0,6.0,9.0,57.0,5.0,2.0,1.0,,1.0,,2.0,,,1.0,5.0,1.0,1.0,2.0,,,,2.0,,11.0,15.0,15.0,1.0,2.0,1.0,2.0,43.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,20,79.0,1.0,,25.0,,,5.0,104.0,,2.0,8.0,3.0,8.0,15.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,,3.0,1.0,1.0,,,,,4.0,3.0,,,3.0,1.0,2.0,,,2.0,1.0,9.0,17.0,,6.0,3.0,4.0,25.0,4.0,49.0,3.0,1.0,1.0,,,,,6.0,7.0,,6.0,42.0,16.0,14.0,,3.0,246.0,3.0,,1.0,1.0,1.0,,11.0,1.0,,21.0,15.0,2.0,1.0,22.0,1.0,4.0,1.0,89.0,1.0,12.0,,,,5.0,,28.0,2.0,,5.0,117.0,5.0,1.0,9.0,,155.0,,,,2.0,1.0,5.0,,,,,,,,,2.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4146,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3826,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4218,20,528.0,59.0,,317.0,11.0,,98.0,844.0,10.0,30.0,29.0,25.0,192.0,138.0,13.0,11.0,,5.0,1.0,8.0,3.0,6.0,1.0,,,2.0,2.0,2.0,,3.0,2.0,2.0,,,,,48.0,102.0,1.0,8.0,4.0,24.0,6.0,,2.0,3.0,7.0,87.0,111.0,8.0,61.0,32.0,143.0,0.0,32.0,569.0,25.0,34.0,25.0,9.0,,,,66.0,65.0,9.0,52.0,321.0,268.0,169.0,10.0,14.0,2174.0,13.0,8.0,5.0,3.0,13.0,62.0,110.0,25.0,2.0,336.0,270.0,73.0,29.0,153.0,8.0,91.0,13.0,631.0,118.0,127.0,6.0,3.0,3.0,170.0,1.0,463.0,51.0,,161.0,1091.0,15.0,2.0,61.0,14.0,1435.0,7.0,7.0,16.0,8.0,,45.0,5.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,,4.0,1.0,,2.0,,1.0,,,2.0,5.0,1.0,1.0,,,,,1.0,,,3.0,,1.0,,2.0,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,46.0,1.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3913,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4359,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
