id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high_left,att_cmiss_left,att_cmiss_right,att_fastbreak,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_lg_left,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_post,att_obox_target,att_obx_centre,att_openplay,att_post_high,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,final_third_entries,formation_place,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,goal_fastbreak,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,second_goal_assist,shield_ball_oop,shot_fastbreak,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,att_freekick_miss,att_freekick_total,att_hd_target,offside_provoked,accurate_corners_intobox,accurate_freekick_cross,assist_attempt_saved,assist_free_kick_won,assist_pass_lost,att_assist_setplay,att_cmiss_high,att_cmiss_high_right,att_freekick_target,att_goal_high_centre,att_obox_goal,att_obx_left,att_one_on_one,att_pen_goal,att_pen_target,freekick_cross,goal_assist_setplay,penalty_won,total_corners_intobox,att_freekick_post,att_ibox_post,att_obxd_right,att_post_left,att_post_right,own_goals,last_man_tackle,att_goal_high_left,att_lg_centre,penalty_conceded,red_card,assist_penalty_won,attempts_obox,six_yard_block,att_obxd_left,goal_assist_deadball,assist_post,attempts_ibox,att_freekick_goal,att_sv_high_right,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,foul_throw_in,second_yellow,assist_own_goal,att_hd_post,dangerous_play,clearance_off_line,att_obp_goal,penalty_save,assist_blocked_shot,assist_handball_won,att_obx_right,att_lg_right,att_pen_miss,back_pass,att_corner,fifty_fifty,successful_fifty_fifty,att_pen_post
2678,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15111,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7114,54,508.0,51.0,3.0,3.0,4.0,914.0,2.0,88.0,58.0,1419.0,1.0,3.0,13.0,39.0,39.0,36.0,15.0,164.0,115.0,34.0,25.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,8.0,6.0,9.0,6.0,1.0,2.0,13.0,1.0,5.0,4.0,1.0,5.0,8.0,9.0,13.0,1.0,8.0,30.0,47.0,1.0,3.0,11.0,40.0,5.0,2.0,1.0,4.0,2.0,5.0,355.0,209.0,7.0,1.0,5.0,5.0,34.0,17.0,31.0,8.0,1.0,9.0,4.0,54.0,9.0,155.0,145.0,5.0,31.0,20.0,2.0,3.0,161.0,56.0,4.0,22.0,436.0,33.0,6.0,37.0,32.0,5.0,5.0,9.0,7.0,9.0,1.0,1.0,21.0,94.0,1.0,26.0,1.0,26.0,375.0,139.0,101.0,5.0,4.0,2975.0,8.0,35.0,20.0,1597.0,2.0,3.0,264.0,247.0,52.0,2.0,337.0,336.0,15.0,60.0,134.0,1.0,34.0,459.0,1.0,4.0,1.0,23.0,454.0,1391.0,10.0,43.0,558.0,92.0,32.0,40.0,13.0,13.0,355253.74157714844,3.0,554.0,14.0,1080.0,10.0,90.0,82.0,3.0,1625.0,1.0,60.0,9.0,3.0,46.0,3.0,16.0,2044.0,75.0,46.0,46.0,30.0,22.0,30.0,7.0,31.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4767,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396,54,19.0,1.0,2.0,2.0,7.0,54.0,,14.0,2.0,71.0,,,1.0,16.0,16.0,8.0,6.0,33.0,30.0,,6.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,3.0,,2.0,4.0,2.0,1.0,1.0,4.0,,2.0,,,1.0,2.0,,1.0,,1.0,2.0,7.0,,1.0,,3.0,1.0,,1.0,,1.0,1.0,35.0,3.0,,1.0,1.0,,8.0,,6.0,,,5.0,1.0,8.0,1.0,41.0,29.0,,8.0,5.0,,1.0,14.0,28.0,4.0,12.0,28.0,4.0,2.0,6.0,5.0,1.0,2.0,,,,,,6.0,29.0,,2.0,,2.0,17.0,8.0,5.0,6.0,2.0,411.0,,,5.0,94.0,1.0,,25.0,14.0,7.0,,46.0,44.0,1.0,1.0,1.0,,8.0,18.0,,,,5.0,26.0,67.0,7.0,,22.0,3.0,10.0,4.0,6.0,6.0,48450.11352539063,,44.0,16.0,82.0,2.0,18.0,6.0,1.0,98.0,,10.0,2.0,4.0,4.0,1.0,1.0,168.0,16.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14151,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,54,234.0,72.0,17.0,9.0,45.0,1257.0,1.0,103.0,114.0,1474.0,4.0,3.0,22.0,34.0,20.0,36.0,5.0,152.0,133.0,80.0,27.0,15.0,5.0,,1.0,6.0,8.0,,4.0,3.0,8.0,,3.0,3.0,10.0,15.0,21.0,10.0,4.0,3.0,15.0,,6.0,3.0,4.0,5.0,10.0,7.0,6.0,,7.0,20.0,66.0,,12.0,14.0,59.0,3.0,1.0,,8.0,2.0,6.0,336.0,170.0,3.0,9.0,8.0,2.0,70.0,17.0,17.0,2.0,46.0,40.0,8.0,61.0,3.0,173.0,280.0,2.0,4.0,,,1.0,205.0,77.0,42.0,19.0,406.0,36.0,16.0,29.0,25.0,4.0,13.0,5.0,4.0,4.0,4.0,1.0,,62.0,,28.0,,28.0,324.0,83.0,64.0,5.0,1.0,3002.0,37.0,51.0,33.0,1704.0,,6.0,319.0,263.0,159.0,1.0,535.0,535.0,38.0,48.0,84.0,,70.0,684.0,3.0,,8.0,27.0,905.0,1430.0,27.0,88.0,266.0,95.0,4.0,186.0,84.0,59.0,334443.6435546875,8.0,1110.0,79.0,1568.0,1.0,112.0,131.0,8.0,1750.0,8.0,77.0,25.0,,18.0,6.0,23.0,2486.0,219.0,74.0,74.0,101.0,28.0,143.0,18.0,12.0,3.0,,1.0,,,10.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,11.0,1.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547,54,256.0,61.0,6.0,5.0,5.0,642.0,2.0,39.0,63.0,892.0,,7.0,7.0,10.0,9.0,29.0,11.0,182.0,125.0,30.0,8.0,,1.0,,,,,,,,,,,,5.0,,,4.0,,8.0,24.0,,2.0,1.0,,,1.0,5.0,4.0,2.0,6.0,16.0,22.0,,,2.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,153.0,144.0,4.0,2.0,,,45.0,10.0,20.0,4.0,11.0,7.0,4.0,37.0,6.0,110.0,148.0,,11.0,3.0,,,139.0,24.0,10.0,21.0,278.0,22.0,,45.0,38.0,7.0,,2.0,2.0,1.0,,1.0,3.0,29.0,5.0,13.0,1.0,13.0,316.0,91.0,58.0,13.0,2.0,1949.0,14.0,20.0,10.0,1024.0,6.0,6.0,121.0,156.0,103.0,2.0,305.0,305.0,8.0,54.0,82.0,3.0,45.0,321.0,1.0,,,7.0,329.0,853.0,18.0,34.0,286.0,119.0,11.0,84.0,26.0,17.0,229028.29956054688,,451.0,15.0,808.0,7.0,40.0,100.0,,1068.0,1.0,27.0,7.0,7.0,27.0,13.0,7.0,1443.0,40.0,37.0,37.0,52.0,10.0,60.0,10.0,18.0,4.0,,2.0,,,1.0,1.0,1.0,,,2.0,,,2.0,,,,,,,6.0,1.0,,9.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13813,54,115.0,7.0,,,,69.0,1.0,,13.0,184.0,,,7.0,3.0,8.0,5.0,2.0,27.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,8.0,,,,2.0,3.0,,,,,1.0,,1.0,2.0,8.0,13.0,2.0,13.0,9.0,,2.0,30.0,0.0,1.0,4.0,102.0,4.0,,4.0,3.0,1.0,,,,,,,9.0,16.0,,4.0,1.0,4.0,31.0,50.0,28.0,1.0,3.0,356.0,,1.0,,218.0,1.0,,49.0,4.0,8.0,,46.0,46.0,,5.0,3.0,,3.0,76.0,,,,,20.0,178.0,1.0,1.0,124.0,23.0,13.0,1.0,1.0,1.0,40597.11181640625,,36.0,,102.0,10.0,,34.0,,225.0,,,1.0,1.0,3.0,,9.0,264.0,,,,1.0,2.0,1.0,,2.0,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
