id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_corner,att_freekick_miss,att_freekick_total,att_goal_low_left,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_high,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,final_third_entries,fouled_final_third,fouls,freekick_cross,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,total_pull_back,accurate_flick_on,att_bx_left,att_bx_right,att_fastbreak,att_goal_high_left,att_hd_target,att_ibox_goal,att_lf_goal,att_miss_high_right,att_obox_post,att_obxd_left,att_one_on_one,att_post_left,att_sv_low_left,big_chance_scored,clean_sheet,hit_woodwork,outfielder_block,overrun,post_scoring_att,shot_fastbreak,total_fastbreak,total_flick_on,accurate_cross_nocorner,accurate_through_ball,assist_blocked_shot,att_goal_low_centre,att_hd_goal,att_post_high,att_sv_high_centre,att_sv_high_left,goal_fastbreak,shield_ball_oop,six_yard_block,foul_throw_in,hand_ball,interceptions_in_box,penalty_conceded,accurate_freekick_cross,assist_pass_lost,att_assist_setplay,att_cmiss_high_left,att_freekick_goal,att_freekick_target,att_goal_high_centre,att_goal_high_right,att_ibox_post,att_lg_centre,att_miss_high_left,att_pen_goal,att_pen_post,att_pen_target,att_sv_high_right,goal_assist_deadball,goal_assist_setplay,penalty_won,second_goal_assist,times_tackled,winning_goal,accurate_pull_back,clearance_off_line,att_cmiss_high_right,assist_penalty_won,gk_smother,att_goal_low_right,att_obx_left,assist_own_goal,accurate_goal_kicks,goal_kicks,own_goals,last_man_tackle,assist_attempt_saved,assist_free_kick_won,assist_handball_won,dangerous_play,att_obx_right,red_card,second_yellow,att_obxd_right,att_post_right,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_hd_post,att_freekick_post,assist_post,att_obp_goal,att_lg_right,fifty_fifty,rescinded_red_card
4007,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22040,274,165.0,19.0,0.0,0.0,189.0,1.0,4.0,16.0,354.0,2.0,9.0,8.0,20.0,10.0,62.0,36.0,5.0,9.0,7.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,7.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,9.0,9.0,1.0,2.0,5.0,1.0,0.0,2.0,71.0,46.0,1.0,2.0,1.0,14.0,5.0,11.0,1.0,2.0,1.0,10.0,4.0,46.0,53.0,1.0,3.0,2.0,1.0,1.0,86.0,3.0,13.0,2.0,167.0,6.0,1.0,19.0,17.0,2.0,1.0,0.0,0.0,0.0,2.0,32.0,10.0,10.0,74.0,74.0,41.0,15.0,2.0,628.0,1.0,3.0,4.0,3.0,442.0,79.0,39.0,27.0,1.0,129.0,129.0,3.0,15.0,28.0,14.0,140.0,6.0,101.0,348.0,9.0,7.0,183.0,56.0,3.0,8.0,1.0,6.0,5.0,156.0,275.0,9.0,4.0,49.0,1.0,452.0,14.0,4.0,14.0,27.0,3.0,2.0,579.0,9.0,9.0,9.0,13.0,1.0,5.0,4.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15013,274,17.0,2.0,,,29.0,,1.0,3.0,46.0,11.0,,,1.0,,10.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,18.0,1.0,,,,2.0,,,,1.0,,1.0,1.0,2.0,3.0,,1.0,,,,11.0,,,,18.0,1.0,,1.0,1.0,,,,,,,2.0,,,1.0,6.0,2.0,,,90.0,,1.0,0.0,,57.0,25.0,1.0,4.0,,18.0,18.0,1.0,,,2.0,21.0,1.0,14.0,45.0,,1.0,18.0,3.0,1.0,1.0,,1.0,1.0,23.0,41.0,2.0,1.0,7.0,,58.0,1.0,,,2.0,,12.0,83.0,1.0,2.0,2.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851,274,17.0,0.0,,,84.0,,11.0,,101.0,1.0,47.0,19.0,19.0,1.0,83.0,55.0,16.0,2.0,7.0,12.0,,1.0,1.0,1.0,,,,2.0,3.0,1.0,6.0,7.0,3.0,7.0,,2.0,2.0,,,,1.0,1.0,16.0,1.0,4.0,8.0,1.0,3.0,3.0,47.0,16.0,1.0,7.0,,9.0,1.0,3.0,,3.0,,7.0,6.0,70.0,41.0,,6.0,4.0,,,4.0,3.0,1.0,,14.0,7.0,2.0,7.0,6.0,1.0,2.0,1.0,,1.0,4.0,37.0,1.0,1.0,34.0,3.0,1.0,7.0,,812.0,,3.0,5.0,10.0,136.0,24.0,23.0,5.0,1.0,78.0,78.0,5.0,2.0,9.0,9.0,41.0,7.0,49.0,101.0,4.0,8.0,26.0,0.0,6.0,18.0,,3.0,3.0,64.0,113.0,0.0,13.0,0.0,3.0,136.0,18.0,5.0,12.0,4.0,2.0,1.0,257.0,39.0,19.0,19.0,12.0,6.0,6.0,2.0,3.0,,,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,274,78.0,6.0,,11.0,177.0,,9.0,3.0,244.0,8.0,16.0,7.0,25.0,7.0,104.0,50.0,23.0,8.0,16.0,7.0,,1.0,1.0,7.0,,,0.0,,1.0,9.0,6.0,6.0,1.0,1.0,2.0,4.0,2.0,3.0,,2.0,2.0,8.0,21.0,1.0,7.0,29.0,3.0,5.0,1.0,92.0,51.0,7.0,5.0,,33.0,12.0,12.0,2.0,29.0,11.0,22.0,5.0,74.0,54.0,,1.0,,,,37.0,4.0,9.0,,111.0,17.0,2.0,19.0,15.0,4.0,2.0,3.0,3.0,3.0,,29.0,8.0,8.0,121.0,21.0,8.0,10.0,2.0,1297.0,,9.0,10.0,10.0,353.0,10.0,140.0,44.0,2.0,222.0,222.0,4.0,16.0,31.0,33.0,30.0,9.0,118.0,243.0,13.0,19.0,98.0,19.0,1.0,32.0,2.0,42.0,40.0,189.0,298.0,8.0,9.0,15.0,10.0,354.0,31.0,16.0,8.0,13.0,5.0,10.0,616.0,70.0,38.0,38.0,17.0,10.0,17.0,12.0,8.0,1.0,4.0,2.0,1.0,10.0,1.0,1.0,,2.0,,,1.0,,,,1.0,1.0,,1.0,0.0,3.0,1.0,1.0,1.0,9.0,11.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14164,274,520.0,23.0,,14.0,836.0,14.0,2.0,33.0,1342.0,317.0,35.0,24.0,35.0,12.0,221.0,133.0,5.0,2.0,21.0,1.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,0.0,2.0,5.0,,1.0,5.0,,0.0,1.0,260.0,179.0,4.0,2.0,25.0,109.0,2.0,22.0,,94.0,9.0,44.0,11.0,148.0,226.0,25.0,58.0,26.0,,,165.0,2.0,21.0,,641.0,34.0,,33.0,30.0,3.0,,4.0,3.0,4.0,26.0,69.0,66.0,66.0,644.0,191.0,120.0,7.0,28.0,3072.0,13.0,10.0,15.0,1.0,1643.0,10.0,659.0,94.0,2.0,569.0,569.0,11.0,102.0,66.0,109.0,106.0,4.0,422.0,1335.0,33.0,25.0,650.0,58.0,58.0,82.0,,103.0,103.0,534.0,1104.0,59.0,2.0,100.0,1.0,1651.0,7.0,2.0,1.0,129.0,2.0,367.0,2726.0,41.0,34.0,34.0,19.0,17.0,54.0,16.0,80.0,8.0,,2.0,,3.0,,,,,,1.0,,,,,,,11.0,,13.0,7.0,,,,4.0,14.0,1.0,,,,,,,,4.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4617,274,586.0,76.0,41.0,58.0,820.0,11.0,17.0,81.0,1348.0,38.0,65.0,73.0,38.0,38.0,307.0,146.0,16.0,41.0,20.0,13.0,2.0,2.0,1.0,1.0,4.0,24.0,1.0,1.0,2.0,2.0,6.0,4.0,3.0,6.0,7.0,4.0,4.0,12.0,2.0,10.0,17.0,36.0,28.0,4.0,17.0,49.0,1.0,5.0,3.0,320.0,249.0,7.0,5.0,4.0,57.0,14.0,55.0,183.0,20.0,33.0,21.0,7.0,202.0,218.0,4.0,71.0,38.0,,1.0,265.0,4.0,57.0,39.0,551.0,38.0,5.0,60.0,55.0,5.0,1.0,3.0,3.0,1.0,38.0,209.0,60.0,60.0,427.0,199.0,115.0,16.0,17.0,3420.0,3.0,29.0,33.0,26.0,1555.0,192.0,335.0,311.0,3.0,601.0,601.0,18.0,103.0,128.0,57.0,368.0,17.0,361.0,1251.0,34.0,62.0,667.0,147.0,71.0,21.0,176.0,267.0,92.0,515.0,1266.0,55.0,17.0,169.0,,1666.0,57.0,,,92.0,2.0,50.0,2521.0,45.0,28.0,28.0,43.0,15.0,14.0,29.0,48.0,9.0,1.0,3.0,,,2.0,2.0,1.0,3.0,1.0,,,4.0,,,6.0,3.0,9.0,1.0,14.0,1.0,1.0,2.0,2.0,13.0,17.0,,,,,1.0,2.0,3.0,,2.0,2.0,,2.0,8.0,,8.0,1.0,39.0,1.0,2.0,12.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9363,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21702,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
